ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ARG,,480.47,485.53,509.2,504.33,492.37,478.95,424.03,463.64,502.53,658.44,840.08,1030.94,1348.86,1679.71,2158.74,
ARM,,,,,,15160,15528,16865,20990,30485,38131,48343,58101,68010,77127,79919,
AUS,1867.23,1923.89,1996.15,2043.6,2081.95,2187.25,2286.27,2347.15,2450.61,2552.77,2680.17,2790.67,2931.82,3047.2,3181.43,3341.43,3473.27
AUT,,,1357,1375.25,1407.33,1433.67,1461.5,1494.92,1520.58,1541.75,1583.75,1631,1684.83,1738.67,1783.58,1803.92,
AZE,,,,,20,27,30,36,46,58,75,91,140,184.5,,226.6,
BHR,,,,,,,,262.5,300.25,302,302.75,295.75,337.25,363,337.25,365.75,
BLR,900421,1449480,2926400,7304730,31051000,78700,150434,198805,265471,388228,495046,589475,694843,848048,924671,1373090,
BEL,,,,,1639,1719,1806,1834,1932,2003,2049,2106,2130,2242,2343,,
BWA,,,,,,,,,,,,,3606,,4214,4475,
BRA,300.14,354.13,376.66,394.69,398.83,,448.53,484.32,529.51,565.03,624.2,685.43,741.63,806.69,870.72,,
BGR,,,,,,193.583,209,227.167,245.667,264.75,292.583,327.333,391.083,490.333,544.333,579.417,
KHM,,,,,,,,,,165841,,,228832,,258207,,
CAN,,,2015.22,2048.76,2109.29,2172,2250.69,2318.59,2379.65,2460.55,2556.15,2649.49,2743.74,2857.75,2972.71,3036.41,3131.96
COL,212843,260200,321083,394930,431387,453552,,494526,504443,550941,623537,625285,817793,882040,860458,921469,
CRI,56229.8,69708.9,83668.1,94825.4,96611.4,111747,133788,139293,157937,171478,181968,213140,237808,271571,340767,368469,
HRV,,,,,,,,,5251,5540,5806,6149,6549,7016,7181,7233,
CYP,,,,,1078,1165,1225,1295,1374,1432,1510,1589,1651,1760,1824,,
CZE,,,,,,,,,,,18221,19305.2,20683.6,21938.9,22413.9,22666.4,22389
COD,,,,,,,,,,,7731,,,,,,
DNK,,,,,,,,,,,,,,,32345.9,33416.1,
ECU,150.97,161.673,192.329,158.344,105.445,107.72,143.69,214.04,236.35,303.73,279.17,300.14,327.31,348.84,367.23,416.51,460.38
EGY,,359.667,407.333,424.667,502.667,541.667,576.333,602.333,645.667,732.333,723.667,814.667,879.667,,,,
SLV,,,,,194.985,206.833,206.123,204.576,,206.75,217.33,230.27,231.88,240.96,247.06,246.7,
EST,,,,,,,,,,,450.326,531.193,640.966,728.914,,,
FIN,9413,9883,9912,10277,10312,11116,1957,2028,2107,2190,2275,2343,2433,2575,2667,2736,
FRA,,,,1820.24,1853.8,1890,1940,2080,2140,2120,2190,2250,2320,2401,2461,,
GEO,,,,,47.4,52.0786,63.5,75.7,85.7,108.267,131.1,177.556,240.208,367.69,398.259,426.556,
DEU,1858,1933,1985,2039,2105,2150,2216,2286,2359,2421,2475,2522,2590,2661,2729,2791,2861
GHA,,,,,,,,,,,86.6667,,,,,,
GTM,,,,,,,,,,,,,,,,,1707.15
GUY,,,,,,,,,,2548.17,2523.5,2448.33,2498,,,,
HND,1012.05,1272.05,1558.02,1953.09,2320.68,,3263.31,3481.57,4064.71,4054.79,4638.28,4924,5653.5,6197.25,7177.4,7221.06,
ISL,,,,107000,117000,129000,144000,157000,167000,177000,203000,226000,256000,279000,293000,309000,321000
IRQ,,,,,,,,,,,,,292000,,,,
IRL,,,,,,,,,1978.12,,,2446.82,2497.08,,,,
ISR,3008.14,3371.75,4050.25,4351.46,4657.16,5014.59,5160,5322,5232,5357,5419,5521,5949,6077,6280,6386.3,
JPN,,,,,230700,235100,237100,238800,239400,241700,239000,238600,241700,243100,243200,243600,
JOR,210,215,225,235,,201,211,219,226,218,231,249,277,314,327,359,
KAZ,,,,,,,,,17304,21444.6,25564,30983.7,41202.5,46922.3,53009,61104,
LVA,,,,,,,,,,200.008,204,244,323,417,432,391,412
LBN,,,,,,,,,,,,,,,660000,,
LTU,,,,,,955.975,961.85,1009.42,1049.35,1109.6,1229.7,1431.55,1676.32,1928.4,1924,1844,
LUX,2197,2709,2280.08,2338.92,2427.25,2544.33,2692.5,2710.33,2794.17,2872.83,2990,3111.75,3259.17,3384,3482,3563,3656
MLT,,,,,,753.994,777.76,839.566,871.707,877.087,899.506,962.997,945.873,1001.23,1048.22,1121.02,1145.16
MEX,1166.13,1469.97,1759.2,2120.83,2444.29,3057.1,3407.51,3670.07,3949.62,4134.23,4310.79,4573.64,4790.71,4821.22,5101.59,5067.75,5142.26
MNG,,,,,,59800,61000,67300,76000,88000,92300,117325,159325,258075,279875,314550,381325
MMR,,,,,,3963.96,3327.13,3729.44,3872.44,5182.32,5407.31,17276.3,22176.4,30239.7,,,
NPL,,,,,1368,,,,,,,,,3402,,,
NLD,,,,,,,,,,,,1422,1467,1529,1591,1612,
NZL,,,,1870,1937,2015,2094,2154,2267,2336,2425,2588,2739,2884,2979,3120,3180
NOR,,,18085,19418,20191,21213,22165,23736,24609,25579,26430,27653,29137,30800,32000,33400,34800
OMN,,,,,,,,,,,,177,195,211,222,222,
PAK,1838,,1879.75,2045.65,,2014.09,,2029.92,,2593.64,,3348.97,3567.05,3852.78,5188.56,5821,6422
PAN,360.961,374.456,378.438,394.703,409.043,428.262,409.355,414.553,414.439,412.724,412.016,421.56,434.693,465.493,508.247,546.44,
PRY,477383,518742,645623,,736440,775328,,738969,871226,854430,948638,1029510,1043390,1172000,,,
PER,478.13,,701.91,914.7,912.83,998.95,824.6,904.67,953.11,640.23,675.28,726.08,809.41,792.26,891.19,891.39,
PHL,,,,,,,5934,6028,6065,6196,6383,6719,6871,7266,7587,8068,8439
POL,634.54,747.24,1000.29,1162.05,1591.92,,1988.78,2015.79,,2150.44,,2385.68,,2892.88,,3256.06,
PRT,474.574,506.112,521.884,553.563,574.022,604.637,,696.487,719.55,745.821,776.193,799.272,827.654,871.646,899.3,,
QAT,,,,,,,,,,,,4131,4939,5800,6106,,6094
KOR,823143,935926,1015310,1006270,1089710,1178410,1256900,1392980,1500900,1579420,1696850,1811490,,,,,
ROU,,,,,,,,,591,743,891,1062,1312,1700,1775,1786,
SGP,1850,1979,2114,2256,2327,2530,2588,2617,2662,2773,2865,2966,3148,3332,3247,3434,3650
SVK,,,,,,,,,,,15394,16575.5,18340.6,20009.6,681.86,709,732
SVN,,,,,,,,,,256193,1132.33,1196.29,1263,1369,1454,1519,
ESP,,,,,,,,,,1247,1287,1359,1424,1555.5,1609.6,1623.86,1640.84
LKA,,,2925,3010.8,3190.2,3597.75,3888.3,4615.65,4808.7,5239.65,5803.2,6536.4,7314.45,8322.6,,,
SWZ,1100,1167,1365,1494,1776,1681,,,,,,,,,,,
SWE,14700,15500,16200,16800,17600,18400,19200,20000,20700,21500,22100,22800,23500,24700,25700,26200,26800
CHE,,4509,,4686,,4844,,5116,,5314,,5517,,5707,,5902,
SYR,,,,,,,,,,,,8834,9306,10977,11779,11981.3,15592
THA,,,,,,,6290.98,6183.83,6328.33,6533.15,7018.65,7571.02,7801.03,8692.88,8521.12,9084.94,9740.34
TLS,,,,,,,,,,,,,,,,176,
TUR,,,,,,,,,,,,1091.16,,,,1518.6,
UKR,66,114,132,131,149,191,256,310,379,485,675,885,1150,1565,1677,1974,2272
GBR,,,971.533,1016.6,1066.43,1105.43,1171.73,1231.1,1282.67,1337.27,1384.5,1443.87,1490.23,1553.93,1604.2,1634.1,1653.17
URY,,,,,,5312.62,5430.9,5480.62,5756.95,6081.93,6666.76,7692.22,9016.49,9608.99,11295.1,12281.6,14151.4
VEN,39.083,64.5292,114.892,149.349,173.994,188.418,234.133,261.648,283.586,381.695,504.187,654.245,852.075,1126.84,1427.74,1815.28,
VNM,,,,,,,,,,,,,1280000,,2175000,2297000,
ACE,,,,,,,,,,,,31068.1,,,,,
AME,74996.4,85282.8,95994.7,49635,105992,,13512.2,106795,129188,114049,126832,135102,151813,180874,102566,,
ECM,,,,,,,,,,,,2106,,,,,
LCM,478.13,480.47,701.91,509.2,504.33,,478.95,904.67,953.11,640.23,675.28,840.08,1030.94,1348.86,1427.74,,
ECE,,,,,,,,,,,,9069.98,,,,,
LCE,22126.5,26494.2,32834.2,32296.3,42928.3,,2006.37,48961.9,51514.2,55328.9,62431.4,63977.4,80009.9,87089.5,73403.8,,
# Series: MONWAGFE,,,,,,,,,,,,,,,,,
"# Name: Monthly wages for females, Female",,,,,,,,,,,,,,,,,
# Definition: Monthly wages of females in local currency units,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO),,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
