ISO,2010,2011,2012,2013
AFG,2.48,2.48,2.48,2.48
ALB,5.86,5.81,5.67,5.67
DZA,3.44,3.44,3.83,3.83
AGO,3.32,3.32,3.35,3.35
ARG,6.84,6.84,6.84,6.84
ARM,4.09,4.09,4.09,4.02
AUS,9.22,9.22,9.22,9.13
AUT,8.49,8.49,8.62,8.48
AZE,3.15,3.15,3.15,3.06
BHR,3.49,2.92,2.53,2.87
BGD,5.87,5.86,5.86,5.86
BLR,3.34,3.16,3.04,3.04
BEL,8.05,8.05,8.05,8.05
BEN,6.17,6.06,6,5.87
BTN,4.68,4.57,4.65,4.82
BOL,5.92,5.84,5.84,5.79
BIH,5.32,5.24,5.11,5.02
BWA,7.63,7.63,7.85,7.98
BRA,7.12,7.12,7.12,7.12
BGR,6.84,6.78,6.72,6.83
BFA,3.59,3.59,3.52,4.15
BDI,4.01,4.01,3.6,3.41
KHM,4.87,4.87,4.96,4.6
CMR,3.41,3.41,3.44,3.41
CAN,9.08,9.08,9.08,9.08
CPV,7.94,7.92,7.92,7.92
CAF,1.82,1.82,1.99,1.49
TCD,1.52,1.62,1.62,1.5
CHL,7.67,7.54,7.54,7.8
CHN,3.14,3.14,3,3
COL,6.55,6.63,6.63,6.55
COM,3.41,3.52,3.52,3.52
COG,2.89,2.89,2.89,2.89
CRI,8.04,8.1,8.1,8.03
CIV,3.02,3.08,3.25,3.25
HRV,6.81,6.73,6.93,6.93
CUB,3.52,3.52,3.52,3.52
CYP,7.29,7.29,7.29,7.29
CZE,8.19,8.19,8.19,8.06
PRK,1.08,1.08,1.08,1.08
COD,2.15,2.15,1.92,1.83
DNK,9.52,9.52,9.52,9.38
DJI,2.2,2.68,2.74,2.96
DOM,6.2,6.2,6.49,6.74
ECU,5.77,5.72,5.78,5.87
EGY,3.07,3.95,4.56,3.27
SLV,6.47,6.47,6.47,6.53
GNQ,1.84,1.77,1.83,1.77
ERI,2.31,2.34,2.4,2.4
EST,7.68,7.61,7.61,7.61
ETH,3.68,3.79,3.72,3.83
FJI,3.62,3.67,3.67,3.61
FIN,9.19,9.06,9.06,9.03
FRA,7.77,7.77,7.88,7.92
GAB,3.29,3.48,3.56,3.76
GMB,3.38,3.38,3.31,3.31
GEO,4.59,4.74,5.53,5.95
DEU,8.38,8.34,8.34,8.31
GHA,6.02,6.02,6.02,6.33
GRC,7.92,7.65,7.65,7.65
