ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
IRQ,526179,530511,422119,368580,311890,262299,1450900,2279240,1903520,1785210,1683580,1428310,746206,401362
IRL,3,3,7,6,3,21,4,10,7,7,8,8,9,7
ISR,416,363,564,625,672,632,882,1541,1494,1310,1301,1335,1340,1021
ITA,48,34,224,207,192,217,105,90,62,45,50,58,66,59
JAM,37,37,147,259,350,489,660,766,826,909,1057,1252,1407,1491
JPN,5,5,19,19,21,13,168,521,185,150,152,176,172,154
JOR,919,775,1293,1162,1170,1789,1603,1786,1890,2129,2254,2250,2368,1602
KAZ,2537,2803,6315,6559,6121,4316,7377,5235,4825,3744,3640,3500,3571,2113
KEN,2373,2559,3087,3163,3847,4640,5357,7546,9688,9620,8602,8745,8950,8558
KIR,,,3,16,32,33,41,38,38,33,33,33,33,16
KWT,692,701,712,616,398,381,617,746,854,938,988,1120,1197,956
KGZ,748,685,2950,3141,3284,3122,2488,2254,2517,2612,2744,3162,3489,2291
LAO,16094,12631,11235,10363,16114,24442,26447,10013,8598,8398,8414,8088,7984,7736
LVA,491,619,3082,3177,2826,2430,1424,662,763,791,713,709,662,223
LBN,10215,8763,26292,24932,19865,18323,12252,13093,12967,16260,15869,15013,15106,3805
LSO,4,1,4,6,7,6,8,7,8,10,11,11,13,10
LBR,266930,244608,275438,353344,335441,231139,160548,91537,75213,71599,70117,66780,23428,17510
LBY,619,888,1455,1570,1713,1575,1573,1954,2084,2202,2309,,,
LTU,163,216,1371,1541,1476,1448,942,466,490,501,515,528,491,212
LUX,,,,,6,1,2,2,,,,,,
MKD,2176,12197,8072,5982,5104,8600,7940,8077,7521,7926,7890,7684,7589,1608
MDG,54,40,53,88,135,203,260,284,277,274,270,289,301,278
MWI,33,25,48,59,94,101,113,97,106,130,171,222,277,313
MYS,82,79,129,239,292,394,584,615,608,532,552,537,531,478
MDV,4,3,3,1,3,13,16,17,16,16,19,21,24,20
MLI,364,311,531,461,483,520,594,994,1758,2926,3663,4295,149943,152833
