ISO,1997,2002,2007
AFG,14.893,15.167,15.53
ALB,19.033,20.404,20.35
DZA,17.462,17.591,17.7
AGO,14.213,15.059,15.405
ATG,19.935,20.436,20.983
ARG,19.839,20.273,20.864
ARM,18.193,19.184,19.68
AUS,22.419,23.573,24.609
AUT,21.31,22.393,23.226
AZE,17.477,17.284,17.917
BHS,20.368,21.338,22.027
BHR,18.109,18.596,19.071
BGD,17.538,17.722,17.916
BRB,18.525,18.835,19.16
BLR,16.121,16.112,16.842
BEL,21.355,22.043,22.932
BLZ,19.611,20.426,20.906
BEN,15.055,15.087,15.485
BTN,17.004,18.012,19.168
BOL,17.492,17.898,18.414
BIH,18.562,19.302,19.7
BWA,15.851,15.532,15.677
BRA,19.822,20.509,21.096
BRN,19.832,20.348,20.852
BGR,17.434,17.978,18.483
BFA,14.244,14.46,14.889
BDI,15.221,15.482,15.744
KHM,19.761,21.331,23.426
CMR,15.944,15.926,16.13
CAN,22.126,23.025,23.797
CPV,17.405,18.22,19.114
CAF,15.255,15.306,15.465
TCD,14.959,15.067,15.287
CHL,21.017,22.325,22.75
CHN,17.933,19.256,19.634
COL,19.604,20.197,20.805
COM,15.388,15.552,15.715
COG,16.196,16.211,16.594
CRI,22.071,22.657,23.06
CIV,13.658,12.954,13.642
HRV,19.137,19.302,19.999
CUB,21.119,21.593,22.309
CYP,20.689,21.031,21.369
CZE,18.653,19.559,20.553
PRK,15.804,16.376,16.405
COD,14.57,14.866,15.006
DNK,20.079,20.972,21.919
DJI,16.647,16.813,17.077
DOM,20.602,20.963,21.337
ECU,21.82,22.657,22.912
EGY,17.111,17.144,17.2
SLV,20.698,21.135,21.576
GNQ,15.049,15.128,15.484
ERI,13.473,14.083,14.615
EST,18.052,18.858,19.848
ETH,15.58,16.295,17.221
FJI,15.783,16.181,16.658
FIN,21.133,22.127,23.186
FRA,22.691,23.506,24.528
GAB,17.539,17.585,17.966
GMB,14.568,14.792,15.002
GEO,18.709,19.2,19.42
DEU,21.109,22.082,22.889
GHA,14.783,14.741,15.357
GRC,21.719,22.436,22.909
GRD,16.892,17.458,18.062
GTM,19.339,20.63,20.965
GIN,14.716,14.076,14.685
GNB,14.667,14.632,14.793
GUY,15.707,15.866,16.285
HTI,15.786,15.933,16.841
HND,20.548,20.957,21.36
HUN,17.876,18.769,19.395
ISL,22.088,23.331,23.74
IND,15.724,16.238,16.752
IDN,16.698,17.067,17.428
IRN,17.632,18.459,19.104
IRQ,18.36,18.017,17.223
IRL,19.68,21.114,22.662
ISR,21.761,22.688,23.603
ITA,22.216,23.23,24.089
JAM,20.152,20.419,20.725
JPN,23.644,24.849,25.506
JOR,17.899,18.209,18.528
KAZ,15.757,15.785,16.342
KEN,16.911,17.131,17.435
KIR,16.422,16.737,17.009
KWT,16.832,17.099,17.355
KGZ,17.031,16.959,16.559
LAO,15.774,16.261,16.672
LVA,17.93,18.526,18.842
LBN,18.645,19.842,21.54
LSO,15.459,14.626,15.061
LBR,15.176,14.025,15.066
LBY,17.79,18.447,19.141
LTU,18.492,19.033,18.768
LUX,21.088,22.114,22.687
MKD,17.833,18.305,18.584
MDG,15.582,16.189,16.59
MWI,15.645,16.151,16.652
MYS,17.804,18.133,18.566
MDV,16.153,18.13,19.602
MLI,14.246,14.627,15.075
MLT,20.296,20.994,21.671
MRT,15.969,16.09,16.278
MUS,17.36,18.406,18.87
MEX,21.125,21.465,22.075
FSM,16.874,16.987,17.146
MNG,14.165,14.86,15.983
MNE,20.337,18.591,18.884
MAR,17.32,17.457,17.608
MOZ,15.134,15.81,16.29
MMR,15.988,16.224,16.433
NAM,16.19,15.93,16.762
NPL,15.815,16.268,16.653
NLD,21.208,21.848,22.952
NZL,21.534,22.579,23.577
NIC,19.076,20.434,21.376
