ISO,2000,2009,2012
ALB,,,0.79
ARG,,,0.94
AUS,,,0.98
AUT,,,0.98
AZE,,0.88,
BEL,,,0.97
BRA,,,0.92
BGR,,,0.95
CAN,,,0.99
CHL,,,1
COL,,,0.92
CRI,,,0.99
HRV,,0.98,
CZE,,,0.99
DNK,,,0.99
EST,,,1
FIN,,,0.99
FRA,,,0.98
GEO,,0.8,
DEU,,,1
GRC,,,0.98
HUN,,,0.99
ISL,,,0.94
IDN,,,0.87
IRL,,,1
ISR,,,0.93
ITA,,,0.98
JPN,,,0.98
JOR,,,0.96
KAZ,,,0.98
KGZ,,0.76,
LVA,,,1
LTU,,,0.99
LUX,,,0.94
MKD,0.95,,
MYS,,,0.94
MLT,,0.94,
MUS,,0.93,
MEX,,,0.96
MNE,,,0.89
NLD,,,0.98
NZL,,,0.99
NOR,,,0.92
PAN,,0.93,
PER,,,0.92
POL,,,1
PRT,,,0.99
QAT,,,0.65
KOR,,,0.99
MDA,,0.93,
ROU,,,0.96
RUS,,,0.99
SRB,,,0.9
SGP,,,1
SVK,,,0.95
SVN,,,0.99
ESP,,,0.98
SWE,,,0.95
CHE,,,1
THA,,,0.98
TTO,,0.83,
TUN,,,0.9
TUR,,,0.99
ARE,,,0.94
USA,,,0.99
URY,,,0.93
VEN,,0.97,
VNM,,,1
ACE,,,0.967576
HIA,,,0.968919
AME,,,0.9475
ASA,,,0.99
ECM,,,0.98
HIM,,,0.99
LCM,,,0.93
NAN,,,0.99
ECE,,,0.76432
HWW,,,0.899935
LCE,,,0.717852
NAE,,,0.99
# Series: PISCFEHQ,,,
"# Name: PISA science scores, female, highest income quintile",,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100, by household wealth index.",,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
