ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,601,650,,955,1115,,,,,,,4672,4310,
DZA,,,,,,,,24288,25334,,,,32766,,,
AGO,,138,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,3,
ARG,,,,,,,,51796,56557,60244,65959,69046,73703,73016,,
AUS,17126,17481,17946,18562,21475,22170,22480,22643,22782,23743,25467,25628,26379,26833,,
AUT,,7800,,,,6169,6170,6149,6366,7591,9632,10492,11984,12561,,
AZE,,,,,,,,,,,1858,2003,2063,2065,2144,
BHR,,,,,,509,,359,333,,,,,,,
BGD,,,,1188,1366,1531,3521,6779,,7209,7434,7602,,12008,,
BRB,,,,,,,,,,,,,,24,,
BLR,,,,,,,,38319,40440,,39723,40659,42584,44204,44397,
BEL,,,7712,7561,8519,8006,10106,8498,10075,7462,8116,9834,10844,9831,,
BEN,,,,,,,,,,,,469,,409,,
BTN,,,,,,,,,,,156,,169,234,,
BIH,,,,,,,,,,,,,,3632,3947,
BRA,,,,,75512,79351,84177,90064,,106475,124439,152121,179155,,,
BRN,,33,54,93,,76,65,84,122,139,170,305,305,379,451,
BGR,,19908,20201,19482,17972,17256,16263,16170,16259,15900,15925,16733,17145,16779,,
BFA,,,,,,,,,733,26,36,50,113,284,417,
BDI,,,,,43,,,,,,,,,,,
KHM,,,,40,33,,45,,,,,,,,,
CMR,,,,,,,,,,,669,881,1193,3452,,
CAN,23096,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,107,149,314,,,
CAF,,,,,,,,,,,,,94,,,
CHL,,,,,40565,37050,21171,25915,29137,24853,28006,30585,32965,35413,36768,
COL,,,,94787,,,102624,115575,155073,123647,156881,161322,105263,164272,140219,
COM,,,,,,,,,,,,,,,33,
COG,,,,,12,,,,,,,,,,,
CRI,,,,,,,4626,,,,,,,,,
CIV,,,,,,,,,,1905,,1694,1894,,,
HRV,,5163,,4957,5385,5165,,5400,5651,5830,5955,5925,6179,6486,,
CUB,,,,,,,,,,3517,3841,,3949,4324,4418,
CYP,,201,74,43,39,49,85,130,177,281,428,615,771,899,,
CZE,,9976,10551,10709,12359,12154,13348,14061,11661,12746,14478,14609,15513,15529,,
COD,,,,,,,,,,,,,,2274,3156,
DNK,,5103,5308,5175,5989,7130,7555,7951,7596,7801,7755,7787,8464,,,
DJI,,,,,,,7,,24,,,164,,,,
ECU,,,,,,,,,,,16556,,,,,
SLV,,,,,3485,4030,,3765,3722,3791,3933,3990,4209,4465,3295,
ERI,,,,,,,123,,,,,385,,,,
EST,,2005,1987,2055,2061,2044,2111,2270,2292,2353,2320,2296,2199,,,
ETH,,516,454,991,765,1077,1932,2433,,,3022,,6447,,,
FIN,10250,11252,12306,13163,13797,14457,14841,15082,15077,14883,14633,14326,14344,13989,,
FRA,,,,,,,,,59215,67358,68398,71000,74846,77204,,
GEO,,5400,5168,7308,8803,11384,11236,10512,2948,4417,,2273,2809,,1227,
DEU,,,60054,60847,62636,64661,,,,,,,,91124,,
GHA,,,,,,,,,,,1915,2152,,2920,2847,
GRC,,,,,19629,,25431,29547,,26430,,,29854,,,
GRD,,,,,,,,,,,,113,,,,
GIN,,,,,,,141,,201,,1768,,,,,
GUY,,,,,,,58,,74,66,89,,82,86,75,
HND,,,,,,7266,,,,,,,,,6823,
HUN,,10625,,10295,9884,11195,10142,10285,10179,9180,9507,9699,9897,10434,,
ISL,90,103,126,156,182,244,305,320,368,388,468,526,561,534,,
IRN,,,,,,,78101,119744,189291,227298,332433,296843,369319,414898,476039,
IRQ,,,,,,,14707,,,,,,,,,
IRL,2611,,,,,,,,,,3850,3568,3780,3419,,
ISR,,10902,9584,14230,17467,13103,15904,15216,15109,16192,16371,19406,20191,,,
ITA,,78998,78381,79478,80140,83367,86809,88784,89599,91302,,,,116389,,
JAM,,,,,,,,,,,,,14,109,,
JPN,75219,77278,77674,79201,80825,81260,80682,79468,76922,73569,70731,68730,68129,69095,,
JOR,,,,,,6858,6858,6149,7326,8746,10461,11951,13215,15047,,
KAZ,,,,,,,,,,,,,,,45762,
KEN,,,2168,2229,,,,,,,,,,,,
KGZ,,,,6143,14954,6091,3240,6161,6649,8942,10467,,10403,9862,,
LAO,,,,,,,,,,553,1456,907,1840,1358,1326,
LVA,,3192,2480,2520,2582,2531,2570,2648,2735,2835,2965,2888,3033,3081,,
LBN,,,3155,3030,3364,3561,3496,3769,4137,4677,5334,6407,7272,8988,10059,
LSO,,,,,,,,19,,,,,,,,
LBR,,143,499,,,,,,,,,,92,,256,
LIE,,,,,,32,43,42,,60,65,73,97,101,,
LTU,,7855,8540,9013,8796,9292,9896,9446,9000,8771,8528,7960,7077,6203,,
LUX,,,,,,,,,,,25,,77,,,
MKD,,1833,2196,2194,2580,2619,2646,2835,2869,2796,2663,2821,2600,2715,,
MDG,,,,,,,,424,537,875,1046,1068,1310,1233,1061,
MWI,,174,,,,,,,,,,,,,,
MYS,,,,,46037,,57921,50240,59566,60003,66399,72069,81787,82126,,
MLI,,,,,,,,,,,334,113,,103,19,
MLT,,97,95,107,145,186,188,209,,226,226,247,268,256,,
MUS,,,,,,,,,,,,,,619,642,
MEX,,67007,73806,79806,91200,99133,128011,107270,111726,116981,132300,136012,155643,207339,,
MNG,,5311,6095,6960,7914,8775,8058,8253,8674,8527,8932,9269,9197,9499,10474,
MAR,,1267,1628,5686,,3024,3091,4018,5804,7161,7080,10394,,,,
MOZ,,,,,,,245,278,,,707,811,,1479,,
MMR,,,,,,,,,,,,,,48790,,
NAM,63,,,,,97,,,,,103,,,,,
NPL,,,,,,,,961,702,,2358,2357,2499,1746,,
NLD,,6267,6306,6408,6448,6230,6009,5991,7107,7180,7711,8331,8841,10835,,
NZL,2943,3000,3422,3083,3452,3953,3390,3518,3977,4093,4327,4479,4586,4694,,
NER,,,,,,,,,,,,,83,91,70,
NOR,3689,3975,3231,2974,2973,3230,3305,3550,,3759,4157,4547,4825,4920,,
OMN,,,,,,,,,,,,,,4428,,
PAN,,,,,6221,5540,4274,4537,4473,4891,4967,4913,5008,9561,,
PNG,671,,,,,,,,,,,,,,,
PHL,,,,,,90816,,,,,,,,,,
POL,52163,41910,44274,50907,57491,59657,61478,63715,73133,73263,74025,78589,84038,89998,94539,
PRT,,,19745,,22118,22658,22785,21599,20720,20543,21187,20946,21592,,,
QAT,,,,,,50,68,,,,,,,,884,
KOR,185728,195251,175300,188797,189299,160346,165982,156216,150038,146579,143713,144672,149059,156124,157480,
ROU,,22141,25100,28876,32608,40704,43752,44003,45247,48315,52035,56150,54258,54474,,
RWA,,,,,,,,,,,,,,,1017,
WSM,,,2,,,,,,,,,,,,,
SMR,,,36,,,,,,,,,,,,,
SAU,508,3416,199,220,289,345,2841,3022,742,1903,2010,2129,9586,9460,3755,
SRB,,,,,,,,,,15560,11250,10397,10106,10012,11044,
SLE,,,14,20,,,,,,,,,,,,
SGP,,,,,,,,,,,15693,16867,17474,17863,17443,17691
SVK,,7287,7378,8022,8315,8081,8207,8821,9247,9973,10124,10049,10226,10096,9734,
SVN,,3667,3869,3960,4056,4056,4143,4287,4335,4782,5266,5522,5528,5807,5017,
ESP,,71211,75065,77229,83606,88124,89946,88796,89280,88093,89338,88766,90024,97890,,
LKA,,,,,,,,,,,,,2636,2909,4529,
SUR,,,,,174,,,,,,,,,,,
SWZ,,25,19,41,,,48,24,15,,,,,,,
SWE,,17536,18789,19967,20270,20628,20260,19611,19116,18726,18476,20175,22031,22206,,
CHE,,2631,2722,2954,3176,3435,3708,3746,3984,4100,4251,4600,5189,5816,,
TJK,,,,,,,,,,,,,,,2527,
TZA,,294,,,,,,,,,,,,,1278,
THA,,,,,,,,,,,,,,58696,,
TTO,,,317,379,,,803,,,,,,,,,
TUN,,,,,,,,,,,,,21134,,,
TUR,34002,,,45960,47708,48258,53182,53253,58147,62403,65561,74607,85809,89394,,
UGA,,741,561,596,,,1196,,,,,,,,,
UKR,,,,,,,,,,,,,,142166,,
GBR,,,,36088,35980,32921,34105,35448,37881,40480,36698,38456,40422,40628,,
USA,,,,,,,,,,,235312,239833,256003,262852,,
URY,,,,,,,,,,5967,6352,6391,,,,
UZB,,,,,,,,,5175,4635,4548,4459,4735,4825,,
VEN,,,,,,,,,,,116541,,,,,
VNM,,14936,15619,,22355,23576,,,,87298,85237,96953,115518,161277,,
ZMB,385,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,2081,2428,2436,
ECZ,,,,,,,,,672528,699138,,,,1040780,,
HIS,,,,,,,,,,,967227,991152,1067280,1232970,,
LCS,,,,,,,345744,398922,,450432,659864,564493,559991,,,
NAS,,,,,,,,,,,235312,239833,256003,262852,,
# Series: TEDENGFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, engineering, manufacturing and construction, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
