ISO,1995,2000,2005,2010
ARG,7.859,8.21863,8.5735,8.916
ARM,9.534,9.81392,10.0804,10.3418
AUS,10.361,10.9801,11.361,11.7884
AUT,11.221,11.2777,11.3275,11.3787
BHS,10.578,10.9752,11.1583,11.3416
BHR,8.21,8.86454,9.22303,9.52113
BGD,3.68,4.36344,4.95,5.5813
BEL,9.911,10.3849,10.7929,11.1492
BLZ,6.899,7.27285,7.61325,7.95046
BEN,2.465,2.75065,3.18723,3.67007
BOL,8.245,9.07664,9.67624,10.2319
BRA,5.299,5.72011,6.14744,6.55981
BGR,9.911,10.2732,10.527,10.7461
BFA,1.013,1.37175,1.77645,2.15119
KHM,3.685,4.10948,4.31638,4.64259
CMR,4.644,5.39903,6.00268,6.62476
CAN,12.179,12.9339,13.024,13.0844
CAF,2.955,3.55099,4.07412,4.6406
TCD,1.51,1.94097,2.43988,2.8878
CHL,9.626,10.1657,10.5288,10.9003
CHN,6.313,6.89832,7.28082,7.64654
COL,6.201,7.16826,7.65097,8.09501
COM,2.866,3.67354,4.40283,5.11383
CRI,7.193,7.51123,7.77982,8.08072
CIV,2.478,3.09219,3.53397,3.98693
HRV,7.253,7.68001,8.07016,8.46472
CUB,8.952,9.21184,9.45731,9.72537
CYP,8.52,9.09335,9.49034,9.8843
CZE,9.089,9.43508,9.71006,9.95033
DNK,11.709,11.8815,12.0049,12.1217
DOM,7.522,7.89815,8.26229,8.62105
ECU,6.969,7.59311,7.9655,8.34342
EGY,4.606,5.63712,6.37654,7.04751
SLV,5.813,6.48951,7.09205,7.59396
ERI,2.308,3.24517,4.26166,4.89254
EST,10.595,10.8838,11.0408,11.178
ETH,0.866,1.19525,1.52365,1.79933
FJI,12.544,12.751,,
FIN,,12.6794,12.8678,13.0622
FRA,7.989,8.5614,8.95198,9.32111
GAB,5.886,6.90406,7.56377,8.18818
DEU,12.638,12.7211,12.7582,12.8001
GHA,5.784,6.47807,7.07755,7.66889
GRC,7.366,8.45463,8.95894,9.408
GRD,1.625,1.861,,
GTM,,4.57367,4.98012,5.43346
GIN,,2.0378,2.39174,2.80272
GUY,7.932,8.32356,8.45792,8.56805
HTI,3.061,3.83536,4.61008,5.39725
HND,4.383,4.69825,5.00041,5.33078
HUN,9.692,10.0971,10.4224,10.6886
IND,3.756,4.22871,4.69332,5.18673
IDN,5.738,6.38861,6.97423,7.49873
IRN,5.059,5.85166,6.58745,7.28068
IRL,9.331,9.99412,10.4823,10.8733
ITA,7.915,8.48711,8.92796,9.3364
JPN,10.14,10.7204,11.1314,11.5129
JOR,6.454,7.14758,7.77332,8.28076
KAZ,9.305,10.3072,10.641,10.9026
KEN,5.662,6.43554,6.9833,7.48273
KGZ,8.749,9.82132,10.1344,10.5367
LVA,10.892,11.1816,11.3691,11.5249
LTU,9.321,10.0785,10.4921,10.8464
LUX,9.133,9.49658,9.74118,9.94349
MKD,7.037,7.17606,7.50257,7.82851
MDG,5.066,5.41072,5.45018,5.54683
MWI,3.694,3.99317,4.41213,4.91548
MYS,7.128,7.98034,8.65482,9.26497
MDV,3.997,4.92281,6.03053,7.05321
MLI,1.22,1.42115,1.65065,1.94532
MLT,8.143,8.91667,9.39507,9.83314
MRT,1.91,2.66762,3.15723,3.63242
MUS,6.071,6.63074,7.07095,7.45335
MEX,6.512,7.21402,7.69096,8.12881
MNG,8.929,9.54334,9.74845,9.9137
MAR,2.773,3.40763,3.98554,4.66358
MOZ,2.121,2.37438,2.64003,3.07007
NAM,6.571,6.72232,6.79753,6.91094
NPL,1.665,2.25565,2.93898,3.68948
NLD,10.395,10.7186,10.9263,11.131
NZL,12.843,12.8974,12.95,13.0117
NIC,7.415,7.75894,8.03739,8.33839
NER,0.749,0.977809,1.3587,1.71024
NGA,3.655,4.67217,5.40007,6.10955
NOR,12.43,12.6623,12.759,12.8506
PAK,3.025,3.43452,3.9316,4.46632
PAN,7.714,8.31943,8.68156,9.02523
PRY,6.791,7.21974,7.67784,8.17893
PER,7.148,7.81128,8.18583,8.54637
PHL,8.021,8.5088,8.91843,9.29733
POL,8.951,9.45553,9.87959,10.2663
PRT,5.707,6.51302,7.13434,7.67834
KOR,9.431,10.3314,10.8844,11.3917
RUS,8.755,9.15677,9.4451,9.68438
RWA,3.13,3.53868,4.16538,4.79052
SAU,5.89,6.60544,7.35308,7.91644
SGP,7.27,8.07031,8.46848,8.84472
SVK,9.28,9.70124,10.0915,10.4252
SVN,10.206,10.6787,10.8923,11.0985
ZAF,6.495,7.08014,7.56438,8.0441
ESP,6.478,7.11524,7.57618,7.97992
LKA,8.675,9.24692,9.6867,10.231
SWZ,,11.9215,11.9661,12.0081
SWE,9.715,10.5522,10.9197,11.2337
CHE,11.808,11.915,,
SYR,4.847,5.12282,5.42917,5.73449
TZA,3.617,3.96843,4.24496,4.47025
THA,6.162,6.63889,7.14289,7.61694
TGO,3.082,3.59727,4.15338,4.74251
TUR,4.575,5.08607,5.56473,5.98059
TKM,9.827,10.1626,10.3593,10.5026
UGA,4.534,5.27227,5.77159,6.2974
UKR,8.758,9.15436,9.49672,9.79096
GBR,8.804,9.44883,9.84581,10.2241
USA,11.319,11.5871,11.6915,11.7887
URY,7.439,7.75601,8.06011,8.35921
UZB,9.656,10.561,10.7989,10.9863
VNM,5.002,5.32773,5.587,5.85813
ZMB,5.535,6.22191,6.61861,7.02642
ZWE,6.151,7.07084,7.82029,8.53276
# Series: YRSCTOIN,,,,
"# Name: Mean years of schooling, 25+ years, total",,,,
"# Definition: Provides the average number of years of education completed by a country’s adult population (25 years and older), excluding years spent repeating grades.",,,,
"# Source: World Bank, IIASA",,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
