ISO,1990,1995,2000,2005,2010
PRT,5.49,2.31,1.54,0.86,0.7
QAT,2.67,2.1,2.07,1.58,0.91
KOR,4.08,2.1,1.36,0.8,0.5
MDA,25.99,19.66,12.71,6.57,5.39
ROU,22.94,17.87,13.72,7.92,4.26
RUS,19.62,14.93,14.32,8.94,5.58
RWA,570.24,854.46,575.39,236.06,102.24
LCA,40.63,20.49,7.8,8.57,5.99
VCT,41.75,20.94,13.34,11.54,8.81
WSM,14.34,13.46,8.93,5.74,3.88
STP,470.38,405.25,284.34,161.03,114.97
SAU,32.43,21.29,13.7,8.91,6.17
SEN,739.71,726.26,772.6,390.71,259.52
SRB,2.72,4.1,1,0.58,0.43
SYC,4.24,4.83,5.06,4.9,4.17
SLE,675.37,581.49,514.13,332.13,161.01
SGP,2.29,0.76,0.4,0.27,0.27
SVK,1.62,1.42,1.58,1.25,0.82
SVN,1.04,0.65,0.55,0.44,0.24
SLB,92.02,71.22,61.06,50.18,34.12
SOM,843.03,765.93,555.65,383.79,352.03
ZAF,335.92,261.51,259.84,284.13,222.84
ESP,1.02,0.45,0.42,0.45,0.34
LKA,51.96,26.88,11.77,6.1,3.9
SDN,382.02,320.82,267.42,251.3,176.09
SUR,157.33,103.38,43.68,21.21,16.01
SWZ,500.35,457.18,552.6,621.14,464.42
SWE,0.23,0.17,0.28,0.37,0.36
CHE,2.21,1.84,2.17,1.7,1.31
SYR,26.73,12.08,5.08,3.36,2.59
TJK,631.43,591.54,369.4,194.27,144.42
TZA,471.66,409.12,218.17,111.05,89.13
THA,17.26,9.07,6.75,5.3,4.61
TLS,499.92,402.57,377.69,234.66,159.63
TGO,514.09,454.89,338.86,362.39,329.91
TON,19.69,18.79,18.98,15.89,12.27
TTO,26.24,21.75,19.82,13.3,8.66
TUN,132.37,83.22,44.49,27.81,18.16
TUR,131.6,72.34,25.12,10.53,6.57
TKM,448.21,393.28,254.1,116.91,63.66
UGA,643.66,465.63,292.03,140.46,63.97
UKR,9.18,9.36,8.11,6.3,5.74
ARE,12.25,7.32,5.27,4.41,2.68
GBR,2.53,1.86,0.95,0.5,0.4
USA,1.06,1.03,0.64,0.54,0.51
URY,25.5,16.36,9.26,7.44,5.02
UZB,145.96,121.25,44.05,18.93,16.14
VUT,77.17,56,57.75,62.59,43.81
VEN,108.93,92.4,54.84,39.52,27.13
VNM,81.97,44.91,23.82,11.61,6.74
YEM,885.65,845.07,650.69,455.58,348.02
ZMB,667.36,558.64,454.43,305.05,234.16
ZWE,176.24,161.82,146.52,169.75,259.26
HIA,18.1771,14.9377,10.8281,6.59788,4.68596
LIA,753.18,628.079,478.541,324.023,268.709
LMA,348.115,276.859,212.999,158.547,126.554
UMA,120.049,89.2694,61.7515,41.8569,29.3723
HIM,1.78,1.31,0.95,0.67,0.51
LIM,642.35,587.22,383.84,273.06,200.98
LMM,324.63,257,168.43,102.62,73.01
UMM,63.04,31.25,21.63,13.61,10.03
HWW,,3.50227,2.90862,1.90522,1.32949
LIW,,520.387,382.484,259.845,208.665
LMW,,277.437,193.928,146.075,120.185
UMW,,59.0534,35.5993,21.9776,14.9019
WLD,,224.31,168.77,125.57,105.01
EAS,,69.01,60.94,47.6,31.32
ECS,,76.65,42.87,21.78,15.06
