ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2010,2013
AGO,,,,,,,,,,,,yes,,
ARG,,,,,,,,,,,,yes,yes,
AUT,yes,,,,,,,,,,,,,
BHS,,,,,,,,,,,,yes,,
BRB,,,,,yes,,,,,,,,,
BLR,,yes,,,,,,,,,,,,
BWA,,,,,,yes,,,,,,,,
DNK,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,
ECU,yes,yes,,,,,,,,,,,,
SLV,,,,,,,,yes,,,,,,
FIN,yes,yes,yes,yes,,,,,,,,,,
GUY,,,,yes,,,,,,,,,,
HND,,,,,yes,yes,yes,yes,,,,yes,,
KEN,,,,,,,,,,,,yes,,
LAO,yes,yes,yes,yes,,,,,,,,,,
MYS,,,,,,yes,,,,,,,,
PAK,,,,,,,,,,,,yes,,
PRY,,,,,,,,,,,,yes,,
POL,yes,yes,yes,yes,yes,yes,,,,,,,,
RUS,yes,,,,,,,,,,,,,
STP,,,,,yes,yes,yes,yes,yes,yes,yes,,,
SRB,,,,,,,,,yes,,,,,
THA,,,,,,,,,,,,yes,,
TON,,,,,,,,,,,,yes,,
TKM,,,,,,,,,yes,,,,,
USA,,,,,,,,,,,,,,yes
VEN,,,,,yes,,,,,,,,,
# Series: CBGOVFEM,,,,,,,,,,,,,,
"# Name: Central bank governor, female",,,,,,,,,,,,,,
"# Definition: Female national bank governors. A country receives a 'yes' for every year that it had a female national bank governor, even if it is the same female for all years. National bank presidents are not included.",,,,,,,,,,,,,,
# Source: Center for Asia-Pacific Women in Politics,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
