ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NOR,15559,16830,13988,22841,22646,24223,22184,20149,,18968,18155,18691,18444,19533,,
OMN,,,,,,,,,,,,,,19233,,
PAN,,,,,4434,9013,10724,11230,10506,10959,10991,10874,11281,17784,,
PNG,772,,,,,,,,,,,,,,,
PHL,,,,,,299666,286769,,,,,,,,,
POL,21645,48413,71689,89143,107299,128145,138839,174751,207455,203200,193606,181643,173037,165393,160494,
PRT,,,35207,,32106,31685,30968,28982,26833,26720,28348,27411,28076,,,
QAT,,,,930,,936,1343,,,,,,,,1239,
KOR,179913,208691,276551,306009,334288,330451,264259,266356,275051,281720,285642,286608,287386,285803,284257,
ROU,,23302,25273,26662,28973,34105,34177,34713,39116,57823,59033,53823,48507,45187,,
RWA,,,,,,,,,,,,,,,9652,
WSM,,,111,,,,,,,,,,,,,
SMR,,,112,,,,,,,,,,,,,
SAU,16162,46568,26489,27765,30766,42894,62067,85391,130946,132509,139640,148066,138979,156426,174383,
SRB,,,,,,,,,,12347,21878,22648,20885,22599,23788,
SYC,,,,,,,,,,,,,,16,10,
SLE,,,138,606,,,,,,,,,,,,
SGP,,,,,,,,,,,30994,31134,32273,35450,35339,36069
SVK,,10853,9918,11144,13113,13713,14903,16419,17910,19500,19383,20130,19631,19264,18618,
SVN,,3721,4223,4588,4606,4877,5358,6029,6241,6446,6827,7066,7685,7530,7779,
ESP,,221130,229785,237402,242703,247891,241763,220659,203595,186479,176967,186727,171415,190393,,
LKA,,,,,,,,,,,,,24646,29060,30926,
SUR,,,,,435,,,,,,,,,,,
SWZ,,243,240,252,,,274,279,327,,,,,,,
SWE,,36251,39710,38971,40743,41924,41379,40520,40910,38879,36226,37442,39255,42501,,
CHE,,16243,16944,18848,19696,21457,22656,22230,21983,22476,22308,22892,24063,25325,,
TJK,,,,,,,,,,,,,,,25217,
TZA,,664,,,,,,,,,,,,,8318,
THA,,,,,,,,,,,,,,205897,,
TTO,,,750,776,,,2301,,,,,,,,,
TUN,,,,,,57788,,,48019,,,,89970,,,
TUR,103282,,,113673,122543,134537,144889,157930,175757,184422,191852,208561,228901,277037,,
UGA,,1741,1232,1499,,,2933,,,,,,,,,
UKR,,105248,,81078,92293,98786,102692,109424,111847,114458,116039,120251,164418,163299,,
GBR,,,,360106,366670,307783,325026,324561,319351,316348,300840,312645,330460,335916,,
USA,,,,,,,,,,,1635230,1635100,1747480,1798750,,
URY,,,,,,,,,,18514,18939,19145,,,,
UZB,,,,,,,,,16286,17825,19548,20384,20098,20191,,
VEN,,,,,,,,,,,161849,105703,,,,
ZMB,1836,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,4852,8213,8240,
ECZ,,,,1652310,1855990,1834240,,,1913170,2042140,1837180,1882090,2037070,2544300,,
HIS,,,,,,,,,,,3775940,3817100,4017500,4524700,,
LCS,,,,,,874494,786181,1024880,,1076490,1352900,1217150,1096030,,,
NAS,,,,,,,,,,,1635230,1635100,1747480,1798750,,
# Series: TEDSCNTO,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, science, total",,,,,,,,,,,,,,,,
"# Definition: Number of total males and females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
