ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SRB,,,,,,,,,,5658,4790,4645,4365,4275,4212,
SLE,,,163,1093,,,,,,,,,,,,
SGP,,,,,,,,,,,,23,37,43,31,37
SVK,,3623,3841,3759,4433,4242,3510,3590,3346,3228,3180,2863,2589,2547,2400,
SVN,,1131,1266,1350,1248,1326,1447,1607,1561,1590,1559,1556,1617,1511,1474,
ESP,,32911,33216,32973,27179,25986,24289,22367,28015,18813,17975,17006,17521,16714,,
LKA,,,,,,,,,,,,,1932,1813,2528,
SUR,,,,,19,,,,,,,,,,,
SWZ,,163,153,145,,,240,214,284,,,,,,,
SWE,,1497,1457,1423,1434,1423,1493,1446,1527,1588,1550,1541,1650,1692,,
CHE,,1560,1396,1411,1355,1456,1407,1534,1221,1195,1091,1081,1346,1392,,
TJK,,,,,,,,,,,,,,,5146,
TZA,,989,,,,,,,,,,,,,1343,
THA,,,,,,,,,,,,,,28200,,
TTO,,,167,189,,,276,,,,,,,,,
TUN,,,,,,,,,,,,,2519,,,
TUR,34281,,,35180,36744,36370,39665,36768,45727,47684,51528,58518,66363,58599,,
UGA,,755,1275,1531,,,1093,,,,,,,,,
UKR,,,,,,,,,,,,,,70085,,
GBR,,,,11452,10980,8174,7452,7358,8467,8682,8434,8811,8990,9808,,
USA,,,,,,,,,,,65081,64925,69473,71658,,
URY,,,,,,,,,,2814,2812,3078,,,,
UZB,,,,,,,,,9066,10021,10446,10608,11551,12612,,
VEN,,,,,,,,,,,24860,,,,,
VNM,,27206,30196,,30503,36195,,,,61676,61311,64168,72821,65233,,
ZMB,357,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,1451,1618,1618,
ECZ,,,,,,,,,250942,241869,,,,350298,,
HIS,,,,,,,,,,,278706,278068,299297,322194,,
LCS,,,,,,,117201,176186,,196390,243624,203118,220845,,,
NAS,,,,,,,,,,,65081,64925,69473,71658,,
# Series: TEDAGRMA,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, agriculture, male",,,,,,,,,,,,,,,,
"# Definition: Number of males enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
