ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NOR,26197,25737,28016,29143,31543,37369,39352,38389,,39759,38780,41366,41133,42202,,
OMN,,,,,,,,,,,,,,9714,,
PAN,,,,,33599,36709,35135,32144,33887,34830,34437,35282,36017,31512,,
PNG,243,,,,,,,,,,,,,,,
PHL,,,,,,482653,,,,,,,,,,
POL,285643,351996,421603,479118,520288,525084,521783,526149,547631,537500,537865,543459,541256,509670,477369,
PRT,,,79421,,76343,76009,74172,71321,68839,68284,69691,69183,70677,,,
QAT,,,,1904,,2067,2902,,,,,,,,3125,
KOR,188637,198248,220515,224358,224927,234340,241346,243134,246488,254181,262961,272720,285004,294006,296620,
ROU,,98971,113466,138874,156913,173554,191401,217195,258134,294643,366652,390724,346142,270223,,
RWA,,,,,,,,,,,,,,,20817,
WSM,,,152,,,,,,,,,,,,,
SMR,,,181,,,,,,,,,,,,,
SAU,6017,29984,9880,12547,24156,16697,38119,38141,56222,64438,68500,72548,79855,98356,118909,
SRB,,,,,,,,,,54625,55864,55661,52358,51984,51441,
SYC,,,,,,,,,,,,,,48,12,
SLE,,,210,210,,,,,,,,,,,,
SGP,,,,,,,,,,,36178,41177,47028,52701,54559,58958
SVK,,17439,19825,21884,24074,25754,26511,30630,35353,40713,44170,46904,47789,46159,44314,
SVN,,21014,21908,24638,26926,28136,28755,31837,32876,32128,30447,29363,29044,25127,23186,
ESP,,389458,387539,373613,367816,361210,360841,343101,335057,330217,328004,333566,341543,353562,,
LKA,,,,,,,,,,,,,34363,22948,28584,
SUR,,,,,1247,,,,,,,,,,,
SWZ,,618,723,734,,,1263,1006,1269,,,,,,,
SWE,,48865,53031,56134,60646,66322,69274,68610,67483,66352,65583,68911,75888,76708,,
CHE,,21964,23414,25247,27470,31105,33464,34418,35163,37146,38469,39965,43232,43912,,
TJK,,,,,,,,,,,,,,,11457,
TZA,,1505,,,,,,,,,,,,,26184,
THA,,,,,,,,,,,,,,777438,,
TTO,,,1092,1486,,,3111,,,,,,,,,
TUN,,,,,,,,,,,,,60443,,,
TUR,252555,,,339765,356403,449542,389609,479685,496993,531224,553403,676588,850568,954798,,
UGA,,4405,6149,7708,,,14438,,,,,,,,,
UKR,,,,,,,,,,,,,,634491,,
GBR,,,,261393,272127,319873,337443,340843,347931,349623,339882,356627,374024,379314,,
USA,,,,,,,,,,,2928380,2909930,3108540,3192070,,
URY,,,,,,,,,,41149,41285,42153,,,,
UZB,,,,,,,,,14016,13135,12320,11293,10580,10146,,
VEN,,,,,,,,,,,393724,,,,,
VNM,,156075,151414,,147200,157354,,,,319179,329377,352602,402047,455632,,
ZMB,2589,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,12416,17249,17457,
ECZ,,,,,,,,,4038660,4182620,,,,5729000,,
HIS,,,,,,,,,,,6772360,6873800,7278840,7865520,,
LCS,,,,,,,1826180,2444740,,2948560,3721940,3317840,3476750,,,
NAS,,,,,,,,,,,2928380,2909930,3108540,3192070,,
# Series: TEDSBLFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, social sciences, business and law, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
