ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MKD,,,,,,4.17,,0.53,0.45,0.52,0.28,0.92,,0.28,,,,,
MDG,,,72.04,,82.37,,76.34,,,,82.43,,,,,87.67,,,
MWI,,,,83.22,,,,,,74.95,,,,,,72.16,,,
MYS,2.09,,0.54,,,,,,,0.54,,,,,,,,,
MDV,,,,25.59,,,,,,1.48,,,,,,,,,
MLI,,,,,,,61.18,,,,,51.43,,,,50.61,,,
MRT,,23.4,,,,21.16,,,,25.41,,,,23.43,,,,,
MUS,,,,,,,,,,,,0.21,,,,,,0.43,
MEX,,7.86,,8.62,,5.53,,3.9,,1.6,4.93,0.68,,1.15,,0.72,,1.03,
FSM,,,,,,31.15,,,,,,,,,,,,,
MNE,,,,,,,,,,,0.25,0.14,0.37,0.09,,,0.21,,
MAR,,,,,6.76,,6.27,,,,,,2.57,,,,,,
MOZ,,80.59,,,,,,,74.69,,,,,,60.71,,,,
NAM,,,,,,,,,,31.91,,,,,,23.54,,,
NPL,,67.97,,,,,,,53.13,,,,,,,23.74,,,
NLD,,,,,0.34,,,,,0.68,,,0.37,,,0.35,,,
NIC,,,,12.51,,,14.37,,,,2.84,,,,8.54,,,,
NER,,,,,,,,,,,51.25,,,42.06,,,40.81,,
NGA,,68.65,,,,,,,,61.84,,,,,,62.03,,,
NOR,0.36,,,,,0.34,,,,0.34,,,0.33,,,0.67,,,
PAK,,,48.14,,29.05,,,35.87,,,22.59,22.58,,17.15,,,12.74,,
PAN,15.69,,14.57,14.77,12.66,13.82,,11.07,10.67,9.92,9.49,10.18,7.2,4.73,2.99,3.82,3.55,3.99,
PNG,,35.79,,,,,,,,,,,,,,,,,
PRY,11.5,,,9.6,9.35,,8.09,12.52,7.81,5.58,6.1,8.7,7.46,4.32,5.7,5.32,4.43,3.03,
PER,,,0.97,14.36,15.8,12.51,13.39,11.56,8.95,6.75,7.83,6.43,6.31,4.84,3.5,2.73,2.97,2.89,
PHL,,,23.7,,,24.59,,,22.88,,,22.58,,,18.1,,,18.96,
POL,,1.4,,,0.04,0.05,0.05,0.02,,0.05,0.08,0.01,0.02,0.01,,,,,
MDA,,,15.66,25.54,35.67,,25.01,14.96,6.25,6.67,12.49,2.17,1.01,1.07,0.78,0.42,0.23,,
ROU,,,,1.69,2.89,,2.46,2.63,1.57,,,,,,,,,,
RUS,,2.81,,,2.72,,0.89,0.51,0.38,0.7,0.22,0.17,0.09,,0.03,,,,
RWA,,,,,,79.37,,,,,,71.97,,,,,63.02,,
LCA,20.96,,,,,,,,,,,,,,,,,,
STP,,,,,,,28.18,,,,,,,,,43.53,,,
SEN,,,,,,,44.13,,,,33.5,,,,,,34.06,,
SRB,,,,,,,,0.26,0.31,0.41,0.59,0.25,0.12,0.04,0.07,0.05,,,
SYC,,,,,,,,,,,,,0.25,,,,,,
SLE,,,,,,,,,59.44,,,,,,,,56.63,,
SVK,,0.18,,,,,,,,0.17,0.05,,,,,0.4,0.3,,
SVN,,,,0.02,,,,0.05,,0.06,0.08,0.05,,0.01,,0.01,,,
ZAF,21.43,,,,,26.2,,,,,,16.72,,,13.67,,9.42,,
ESP,1.67,,,,,0.33,,,,1.34,,,1,,,2.34,,,
LKA,,16.32,,,,,,13.95,,,,,7.04,,,4.11,,,
SDN,,,,,,,,,,,,,,,19.8,,,,
SUR,,,,,15.54,,,,,,,,,,,,,,
SWZ,78.59,,,,,,43.02,,,,,,,,,39.3,,,
SWE,0.34,,,,,0.34,,,,,0.35,,,,,,,,
CHE,,,,,,0.34,,0.34,,0.67,,,,,,,,,
SYR,,,,,,,,,,1.71,,,,,,,,,
TJK,,,,,50.08,,,,35.42,20.7,,,12.18,,6.47,,,,
TZA,,,,,,84.23,,,,,,,67.87,,,,,43.48,
THA,,2.86,,2.08,3.61,3.03,,1.64,,,,1.01,,0.32,,0.31,,,
TLS,,,,,,,,,,,,,34.87,,,,,,
TGO,,,,,,,,,,,,53.15,,,,,52.46,,
TUN,6.47,,,,,2.55,,,,,1.38,,,,,0.74,,,
TUR,,,,,,,,1.15,2.87,1.41,1.45,1.35,0.95,0.1,0.36,0.59,0.08,,
TKM,,,,24.82,,,,,,,,,,,,,,,
UGA,,63.01,,,59.43,,,56.57,,,,51.72,,,37.91,,,,37.78
UKR,1.96,1.93,,,2.03,,,0.42,0.11,0.04,0.05,0.14,0.06,,0.06,,,,
GBR,1.35,,,,0.67,,,,,0.67,,,1.01,,,1.01,,,
USA,,,1,,,0.67,,,,1,,,1.33,,,1.67,,,
URY,0.55,0.68,0.61,0.81,,0.48,0.61,0.79,0.95,1.19,1.31,0.73,0.48,0.26,0.27,0.2,0.25,0.31,
VEN,9.56,,,9.88,11.41,,9.57,15.85,19.06,15.88,13.17,6.63,,,,,,,
VNM,,,,49.36,,,,40.07,,31.4,,21.44,,16.82,,3.93,,2.44,
YEM,,,,10.47,,,,,,,9.78,,,,,,,,
ZMB,,62.07,,55.67,,,,,64.6,64.29,,68.51,,,,74.32,,,
WLD,,30.4,,,29.1,,,26.1,,,21.1,,,18.6,,16.3,14.5,,
LIC,,65.2,,,64.24,,,61.14,,,55.84,,,51.49,,48.6,46.83,,
LMC,,43.63,,,40.2,,,37.31,,,32.72,,,29.05,,25.15,22.05,,
UMC,,25.63,,,24.83,,,20.01,,,11.88,,,8.83,,6.78,5.04,,
SAS,,48.55,,,44.96,,,44.1,,,39.28,,,34.05,,28.96,24.5,,
# Series: POVCNTD1,,,,,,,,,,,,,,,,,,,
# Name: Poverty headcount ratio at $1.25 a day (PPP) (% of population),,,,,,,,,,,,,,,,,,,
"# Definition: Population below $1.25 a day is the percentage of the population living on less than $1.25 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",,,,,,,,,,,,,,,,,,,
# Source: World Bank,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
