ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,39.5,,,88.5,,,
ARM,,,,,,67.9,,,,,52.2,,,,,79.5,
AZE,,,,,,,,,,,,14.1,,,,,
BGD,,56.1,,,63.4,,,,,73.4,,85.9,81.2,,,,
BLR,,,,,,,,,,,92.2,,,,,,
BLZ,,,,,,,,,,,,35,,,,,
BEN,,54.7,,,,,60.5,,,,,46.6,,,,,
BOL,,,,26.5,,,,,49.6,,,,,66.9,,,
BIH,,,,,,,,,,,,80,,,,,
BRA,,73,,,,,,,,,,,,,,,
BFA,,,,30.3,,,,,42.4,,,67.5,,,,,
BDI,,,,,,,,,,,46.1,,,,,,
KHM,,,,,,42.7,,,,,69,,,,,77.1,
CMR,,,,36.6,,,,,,47.4,,62.6,,,,,
CAF,,,,,,,,,,,,32.7,,,,,
TCD,,12.9,,,,,,,,11,,,,,,,
COL,68.7,,,,,55.1,,,,,60.5,,,,,70.1,
COM,,53.5,,,,,,,,,,,,,,,
COG,,,,,,,,,,,51.9,,,,,,
CIV,,,,50.7,,,,,,,,78,,,,,
CUB,,,,,,,,,,,,49.8,,,,,
COD,,,,,,,,,,,,,29.6,,,,
DJI,,,,,,,,,,,,39.4,,,,,
DOM,,36.2,,,49.5,,,34.1,,,,,52.5,,,,
EGY,78.8,,,,,92.1,,,,,82.1,,,90.8,,,
ETH,,,,,,14.9,,,,,22.7,,,,,,23.2
GAB,,,,,,19.4,,,,,,,,,,,
GMB,,,,,,,,,,,75.9,,,,,,
GEO,,,,,,,,,,,21.9,,,,,,
GHA,,,,62.4,,,,,70.6,,,74.6,,80,,,
GTM,41.7,,,59.3,,,,,,,,,,,,,
GIN,,,,,32.4,,,,,,38.8,,,,,,
GNB,,,,,,,,,,,,52.6,,,,,
GUY,,,,,,,,,,,,82.5,,,56.6,,
HTI,,,,,,33,,,,,39.7,,,,,,
HND,,,,,,,,,,,75.6,,,,,,
IND,,,,40.6,,,,,,,45.5,,,,,,
IDN,,,53.5,,,,,50.9,,,,,56.6,,,,
IRQ,,,,,,,,,,,,50.9,,,,,
JAM,,,,,,,,,,,60.9,,,,,,
JOR,,,20.3,,,,,27.2,,,,,85.5,,,,
KAZ,37.5,,,,73.7,,,,,,,95.2,,,,,
KEN,,,,60.7,,,,,51.1,,,,,71.3,,,
KGZ,,,71.6,,,,,,,,25.8,,,,,,
LAO,,,,,,,,,,,,28.7,,,,,
LSO,,,,,,,,,,67.4,,,,,59.1,,
LBR,,,,,,,,,,,,,36.1,,,,
MKD,,,,,,,,,,,54.7,,,,,,
MDG,,,37.6,,,,,,46.6,,,,,61.4,,,
MWI,,,,,,70,,,,66.3,,71.5,,,,81.4,
MDV,,,,,,,,,,,,,,,93.4,,
MLI,32.4,,,,,,28.7,,,,,51.8,,,,,
MRT,,,,,,,,,,,,,36,,,,
MNG,,,,,,,,,,,76,,,,,,
MNE,,,,,,,,,,,3.6,,,,,,
MAR,,,,,,,,,87,,,,,,,,
MOZ,,,47.5,,,,,,64.1,,,,,61.5,,,
NAM,,,,,,62,,,,,,66.9,,,,,
NPL,,46.7,,,,,67.5,,,,,84.9,,,,,88.5
NIC,,,73.9,,,,64.2,,,,,,,,,,
NER,,,,19.8,,,,,,,,29.3,,,,,
NGA,,,,,16.5,,,,9.6,,,,17.2,22.7,,,
PAK,,,,,,,,,,,,49.8,,,,,
PER,,61.9,,,,55.6,,,,53.6,,,,,,,
PHL,,,,71.9,,,,,68.4,,,,,80.5,,,
MDA,,,,,,,,,,,37.3,,,,,,
RWA,,,,,,77,,,,,75.3,,,,,90.2,
STP,,,,,,,,,,,,,,78.1,,,
SEN,,,,,,,,,,,58.3,,,,,62.9,
SRB,,,,,,,,,,,6,,,,,,
SLE,,,,,,,,,,,56.7,,,39.7,,,
SOM,,,,,,,,,,,,14.3,,,,,
ZAF,,,,65.5,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,81.8,,,,,
SYR,,,,,,,,,,,,67.3,,,,,
TJK,,,,,,,,,,,32.4,,,,,,
TZA,,71.6,,,71,,,,,70.3,,,,,,75.8,
THA,,,,,,,,,,,92.6,,,,,,
TLS,,,,,,,,,,,,,,,54.3,,
TGO,,,,31.9,,,,,,,,48.6,,,,,
TUR,,,,46.2,,,,,57.7,,,,,,,,
UGA,48.5,,,,,36.5,,,,,,46.3,,,,,
UZB,,78.1,,,,,,,,,,83.8,,,,,
VUT,,,,,,,,,,,,,37.2,,,,
VNM,,,49.1,,,,,66.5,,,,64.3,,,,,
YEM,,,,,,,,,,,,35.4,,,,,
ZMB,,78.4,,,,,69.1,,,,,,69.2,,,,
ZWE,,,,,65.2,,,,,,52.1,,,,79.5,64.6,
ASE,,,,40.6,,,,,,,45.5,,,,,,
SAM,,,,40.6,,,,,,,45.5,,,,,,
SAE,,,,30.3871,,,,,,,33.9456,,,,,,
# Series: IFULMAIN,,,,,,,,,,,,,,,,,
"# Name: Full immunization, male",,,,,,,,,,,,,,,,,
"# Definition: The percentage of one-year-olds who have received one dose of Bacille Calmette-Guérin (BCG) vaccine, three doses of polio vaccine, three doses of the combined diphtheria, tetanus toxoid and pertussis (DTP3) vaccine, and one dose of measles vaccine.",,,,,,,,,,,,,,,,,
# Source: WHO; aggregates MICS and DHS,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
