ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NER,,,,,,,,,254,219,197,339,355,381,915,
NOR,31727,32464,33133,30871,31467,32327,31152,31380,,30288,30914,30691,32268,33667,,
OMN,,,,,,,,,,,,,,3328,,
PAN,,,,,18342,14274,14135,18340,19433,15934,16129,17384,18094,13647,,
PNG,734,,,,,,,,,,,,,,,
PHL,,,,,,423407,409623,,,,,,,,,
POL,173860,198122,199807,211820,233863,248263,262074,269749,310170,292026,295071,276338,291866,279964,260782,
PRT,,,53684,,48309,47249,40085,32928,26277,21381,19361,18553,20750,,,
QAT,,,,1979,,1307,1174,,,,,,,,374,
KOR,140218,150752,161182,168434,176573,184230,191473,199125,202797,203284,199566,198823,197900,196993,194419,
ROU,,9120,5401,8667,24709,21583,17729,16389,18988,22966,18063,15946,15983,17554,,
RWA,,,,,,,,,,,,,,,2850,
WSM,,,273,,,,,,,,,,,,,
SMR,,,89,,,,,,,,,,,,,
SAU,138287,47783,201046,210009,216046,276584,210357,143886,27549,31059,34122,36465,43810,64884,78539,
SRB,,,,,,,,,,9927,14758,14589,15250,16764,16088,
SYC,,,,,,,,,,,,,,115,59,
SLE,,,4503,3856,,,,,,,,,,,,
SGP,,,,,,,,,,,5794,6157,6595,6221,6054,6226
SVK,,20967,23357,25338,24077,25124,26698,29819,32570,33688,34496,32438,29360,27880,27664,
SVN,,8642,9011,9455,13348,10393,10199,10183,10118,9703,9298,8822,8497,8234,8258,
ESP,,145791,150997,147918,153526,150530,157423,155204,164672,164342,174808,178345,204169,208421,,
LKA,,,,,,,,,,,,,7276,7851,15259,
SUR,,,,,1969,,,,,,,,,,,
SWZ,,1488,1334,681,,,1716,1386,610,,,,,,,
SWE,,41706,43486,47416,54784,62299,64778,64532,64096,62062,59433,56659,60096,59536,,
CHE,,16328,16846,16684,16474,17853,18579,19851,21128,21931,21809,20800,22676,23748,,
TJK,,,,,,,,,,,,,,,17903,
TZA,,2707,,,,,,,,,,,,,57276,
THA,,,,,,,,,,,,,,243428,,
TTO,,,1512,1520,,,821,,,,,,,,,
TUN,,,,,,3283,,,3400,,,,1658,,,
TUR,144992,,,197229,214998,229335,265700,248765,289112,281553,270922,274103,292058,293909,,
UGA,,17680,23523,27381,,,28392,,,,,,,,,
UKR,,148184,,163062,172690,184713,204551,225438,244460,252888,225897,200051,171123,145589,,
GBR,,,,166109,197874,171793,192585,200904,207706,216328,202274,217197,222526,220941,,
USA,,,,,,,,,,,1599330,1603430,1713720,1761250,,
URY,,,,,,,,,,25487,27509,23701,,,,
UZB,,,,,,,,,92150,98892,100450,102914,96376,84839,,
VEN,,,,,,,,,,,598862,516984,,,,
VNM,,210048,163420,,180435,190645,,,,405757,402653,400291,446030,437924,476858,
ZMB,7275,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,17198,17314,16676,
ECZ,,,,1667570,1869940,1919690,,,2190660,2276730,2063160,2010020,2083320,2331620,,
HIS,,,,,,,,,,,3659510,3656470,3875140,4165740,,
LCS,,,,,,1476800,1341950,1614450,,2039960,2887390,2709060,2441100,,,
NAS,,,,,,,,,,,1599330,1603430,1713720,1761250,,
# Series: TEDEDUTO,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, education, total",,,,,,,,,,,,,,,,
"# Definition: Number of total males and females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
