ISO,1995,2000,2005,2010
ARG,7.891,8.29752,8.71278,9.1173
ARM,9.279,9.7191,10.0465,10.3636
AUS,10.246,10.9792,11.402,11.8588
AUT,11.215,11.2645,11.3196,11.3796
BHS,10.648,11.1174,11.3369,11.5568
BHR,6.998,7.97053,8.60769,9.1249
BGD,2.347,2.94249,3.6143,4.36407
BEL,9.601,10.094,10.5735,11.0089
BLZ,6.838,7.26127,7.63271,8.0141
BEN,1.451,1.67935,1.98121,2.37153
BOL,7.128,8.0421,8.75147,9.42406
BRA,5.312,5.8112,6.27918,6.73223
BGR,9.673,10.1483,10.4972,10.8081
BFA,0.568,0.793659,1.11205,1.46526
KHM,2.586,3.05961,3.30027,3.67286
CMR,3.644,4.34806,5.00074,5.69916
CAN,12.049,12.7881,12.8586,12.9106
CAF,1.766,2.24925,2.74585,3.31858
TCD,0.636,0.874888,1.2532,1.59537
CHL,9.427,9.9936,10.3834,10.7902
CHN,5.305,5.99275,6.46401,6.9165
COL,6.109,7.06892,7.60492,8.1014
COM,1.899,2.68202,3.4084,4.14961
CRI,7.181,7.51704,7.80697,8.14273
CIV,1.553,2.03705,2.51795,2.98108
HRV,6.404,6.94595,7.44944,7.96759
CUB,8.677,9.04413,9.31612,9.61509
CYP,7.864,8.61559,9.06062,9.50582
CZE,8.214,8.70987,9.11927,9.47199
DNK,11.68,11.9012,12.0576,12.2091
DOM,7.577,8.05156,8.47655,8.89592
ECU,6.727,7.42221,7.84951,8.28687
EGY,3.394,4.29435,5.0856,5.83906
SLV,5.377,6.10186,6.74641,7.29657
ERI,1.413,2.04417,3.0095,3.68473
EST,10.445,10.8141,11.0564,11.283
ETH,0.326,0.553909,0.87207,1.18793
FJI,12.587,12.877,,
FIN,,12.814,13.0763,13.3479
FRA,7.698,8.31365,8.73742,9.14576
GAB,4.981,6.03984,6.7565,7.44755
DEU,12.211,12.3239,12.3721,12.4352
GHA,4.449,5.07351,5.78332,6.50446
GRC,6.713,7.97547,8.56797,9.0869
GRD,0.792,0.948,,
GTM,,4.04235,4.47771,4.96714
GIN,,1.03978,1.2894,1.60984
GUY,7.859,8.33794,8.59892,8.81669
HTI,2.425,3.10067,3.8764,4.70113
HND,4.285,4.67656,5.03189,5.42419
HUN,9.252,9.7645,10.2018,10.5694
IND,2.381,2.82771,3.31774,3.87502
IDN,4.901,5.68273,6.37572,7.00351
IRN,3.948,4.73802,5.52898,6.30883
IRL,9.389,10.0756,10.5886,11.0017
ITA,7.424,8.03904,8.5267,8.9891
JPN,9.765,10.3738,10.8251,11.2486
JOR,6.006,6.8025,7.47117,8.01441
KAZ,8.864,10.0851,10.5463,10.9155
KEN,4.714,5.55371,6.2077,6.82867
KGZ,8.42,9.66337,10.0926,10.586
LVA,10.774,11.1895,11.4724,11.7165
LTU,9.039,9.89268,10.3899,10.8345
LUX,8.617,9.03941,9.35816,9.62148
MKD,6.204,6.48019,6.91617,7.35844
MDG,4.549,4.92792,5.07004,5.25888
MWI,2.667,3.0014,3.43666,4.00174
MYS,6.399,7.37583,8.18307,8.91428
MDV,3.553,4.44706,5.60566,6.69461
MLI,0.757,0.91446,1.08199,1.32339
MLT,7.733,8.48861,9.00101,9.49005
MRT,1.003,1.59296,2.08989,2.61492
MUS,5.255,5.95254,6.51359,6.99641
MEX,6.003,6.74078,7.27397,7.7738
MNG,8.622,9.4669,9.89837,10.2598
MAR,1.898,2.50723,3.04997,3.73201
MOZ,1.447,1.70697,1.93012,2.3196
NAM,6.446,6.61763,6.71922,6.86739
NPL,0.587,0.902074,1.45699,2.12916
NLD,9.907,10.3036,10.5739,10.8428
NZL,12.909,12.9869,13.0465,13.1191
NIC,7.368,7.75256,8.08091,8.43264
NER,0.401,0.584654,0.779596,0.982973
NGA,2.479,3.34059,4.07217,4.82749
NOR,12.371,12.654,12.7988,12.9427
PAK,1.609,2.00256,2.5147,3.10289
PAN,7.822,8.46945,8.86357,9.24603
PRY,6.498,6.97256,7.53201,8.1384
PER,6.336,7.14299,7.59671,8.04722
PHL,7.961,8.5234,9.00754,9.45896
POL,8.615,9.23017,9.77102,10.2773
PRT,5.415,6.31567,7.00085,7.60139
