ISO,2003,2004,2005,2006,2007,2008,2010,2011,2012
DZA,,,,,0.6,,,,
ARG,,,,0.94,,,,,
ARM,,,,,,,,0.88,
AUS,,,,,,,,0.97,
AUT,,,,,,,,1,
AZE,,,,,,,,0.87,
BHR,,,,,,,,0.85,
BEN,,,0.39,,,,,,
BWA,,,,,0.96,,,,
BRA,,,,0.93,,,,,
BFA,,,,,0.83,,,,
BDI,,,,,,0.61,,,
CMR,,,0.87,,,,,,
TCD,,0.59,,,,,,,
CHL,,,,,,,,0.9,
COL,,,,,0.41,,,,
COM,,,,,,0.49,,,
COG,,,,,0.48,,,,
CRI,,,,0.95,,,,,
CIV,,,,,,0.22,,,
HRV,,,,,,,,0.98,
CUB,,,,0.96,,,,,
CYP,0.96,,,,,,,,
CZE,,,,,,,,1,
DNK,,,,,,,,1,
DOM,,,,0.49,,,,,
ECU,,,,0.8,,,,,
SLV,,,,,0.43,,,,
FIN,,,,,,,,1,
GAB,,,,0.66,,,,,
GEO,,,,,,,,0.92,
DEU,,,,,,,,1,
GTM,,,,0.75,,,,,
HUN,,,,,,,,1,
IND,,,,,,,,,0.41
IRN,,,,,,,,0.89,
IRL,,,,,,,,0.99,
ITA,,,,,,,,0.99,
JPN,,,,,,,,1,
KAZ,,,,,,,,0.97,
KEN,,,,,0.94,,,,
KWT,,,,,,,,0.45,
LVA,,,,,1,,,,
LBN,,,,,,,0.83,,
LSO,,,,,0.73,,,,
LTU,,,,,,,,0.99,
MDG,,,1,,,,,,
MWI,,,,,0.4,,,,
MLT,,,,,,,,0.94,
MRT,,0.31,,,,,,,
MUS,,,,,0.99,,,,
MNG,,,,,0.83,,,,
MAR,,,,,,,,0.48,
MOZ,,,,,0.79,,,,
NAM,,,,,0.79,,,,
NLD,,,,,,,,1,
NZL,,,,,,,,0.97,
NIC,,,,0.69,,,,,
NOR,,,,,,,,0.97,
OMN,,,,,,,,0.66,
PAK,,,,,,,,,0.54
PAN,,,,0.78,,,,,
PRY,,,,0.83,,,,,
PER,,,,0.87,,,,,
PHL,0.53,,,,,,,,
POL,,,,,,,,0.99,
PRT,,,,,,,,0.99,
QAT,,,,,,,,0.74,
KOR,,,,,,,,1,
MDA,0.96,,,,,,,,
ROU,,,,,,,,0.96,
RUS,,,,,,,,1,
SAU,,,,,,,,0.78,
SEN,,,,,0.73,,,,
SRB,,,,,,,,0.96,
SYC,,,,,0.96,,,,
SGP,,,,,,,,1,
SVK,,,,,,,,0.99,
SVN,,,,,,,,0.99,
ZAF,,,,,0.9,,,,
ESP,,,,,,,,0.97,
SWZ,,,,,0.93,,,,
SWE,,,,,,,,1,
TZA,,,,,0.96,,,,
THA,,,,,,,,0.9,
TGO,,,,,,,0.46,,
TUN,,,,,,,,0.58,
TUR,,,,,,,,0.95,
UGA,,,,,0.76,,,,
UKR,,,,,0.95,,,,
ARE,,,,,,,,0.78,
USA,,,,,,,,1,
URY,,,,0.98,,,,,
YEM,,,,,,,,0.15,
ZMB,,,,,0.46,,,,
ZWE,,,,,0.93,,,,
ACE,,,,,,,,0.975385,
HIA,,,,,,,,0.934062,
ASA,,,,,,,,1,
ASE,,,,,,,,,0.475
ECM,,,,,,,,0.99,
HIM,,,,,,,,0.99,
NAN,,,,,,,,1,
SAM,,,,,,,,,0.41
ECE,,,,,,,,0.667765,
HWW,,,,,,,,0.818917,
NAE,,,,,,,,0.900357,
SAE,,,,,,,,,0.365485
# Series: WDMTQHFE,,,,,,,,,
"# Name: Achieving basics in mathematics, female, highest income quintile",,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics by hosehold wealth index. (Primary level),,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
