ISO,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010
ALB,,,2.9,,,,,,,,
ARM,,,,,,,,,,3.3,
AUS,,,,8,,,,,,,
AZE,,,,,,,2.9,,,,
BGD,,,,,,,,17.8,,,
KHM,,,,,,2.7,,,,,
CMR,,,,,13.9,,,,,,
CPV,,,,,,3.6,,,,,
CHL,,,,,15.6,,,,,,
COL,,,,,,11.5,,,,,
CRI,,,,15,,,,,,,
CZE,,,,11,,,,,,,
COD,,,,,,,,35.3,,,
DNK,,,,6,,,,,,,
DOM,,,,,,,,5.5,,,
ECU,,,,,12,,,,,,
EGY,,,,,,6.6,,,,,
SLV,,,,,,,,,11.5,,
FIN,,,,,,4.3,,,,,
GEO,,,,,,1.5,,,,,
DEU,,,,7,,,,,,,
GHA,,,,,,,,,8.2,,
HTI,,,,,,,10.8,,,,
IND,,,,,,,10,,,,
IRL,,,,8,,,,,,,
ITA,,,,,,,6.1,,,,
JOR,,,,,,,,7.6,,,
KEN,,,,17.2,,,,,,,
KIR,,,,,,,,,46.4,,
LBR,,,,,,,,10.8,,,
LTU,,7.5,,,,,,,,,
MWI,,,,,13.4,,,,,,
MDV,,,,,,,6.7,,,,
MAR,,,,,,,,,,,6.6
MOZ,,,,,12,,,,,,
NIC,,,,,,,13.1,,,,
NGA,,,,,,,,,3.9,,
NOR,,,,,,,,,9.4,,
PRY,,,,,7.6,,,,,,
PER,,,,,,,,,,8,
PHL,,,,,,,,,8,,
POL,,,,,5,,,,,,
KOR,,,,,,,,12.6,,,
MDA,,,,,,4,,,,,
ROU,,,,,3.1,,,,,,
RWA,,,,,,12.9,,,,,
WSM,,19.5,,,,,,,,,
SVK,,,,,,,,,9,,
SLB,,,,,,,,,,54.7,
ZAF,4.4,,,,,,,,,,
CHE,,,,3,,,,,,,
TLS,,,,,,,,,,,2.9
TUR,,,,,,,,,,15.3,
UGA,,,,,,,35.5,,,,
UKR,,,,,,,,3.3,,,
GBR,,,,,,3.8,,,,,
USA,,7.7,,,,,,,,,
VNM,,,,,,,,,,9.9,
ZMB,,,,,,,,16.7,,,
ZWE,,,,,,,18.9,,,,
ASA,,7.7,,,,,,,,,
ASE,,,,,,,8.35,,,,
NAN,,7.7,,,,,,,,,
SAM,,,,,,,6.7,,,,
NAE,,6.94452,,,,,,,,,
SAE,,,,,,,7.46286,,,,
# Series: IPVSFECP,,,,,,,,,,,
"# Name: Intimate partner violence, sexual, % women who experienced in a lifetime",,,,,,,,,,,
# Definition: Country-specific data on % of women who are victims of intimate partner sexual violence in a lifetime.,,,,,,,,,,,
"# Source: UN Women - from DHS, WHO Multi-country study, International Violence Against Women Surveys",,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,
