ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,5344,5637,,,,,17163,,23662,,
ALB,14921,16172,19376,20367,23032,24017,25069,26124,27180,32846,38128,43479,50419,50979,52610,68079,74718,88512,
DZA,,,,,,,,,,365409,437426,448056,517357,,667702,667146,694699,713475,
AND,,,,,,,,133,149,161,174,213,,264,,,,299,
AGO,,,,3425,3060,,,5009,,,,,,,,,39110,,
ATG,,,,,,,,,,,,,,,732,861,726,1244,
ARG,,,,,987167,1066340,1136290,1202090,1253530,1230720,1221780,1315310,1318550,1366480,1420580,1498820,1603800,,
ARM,,,,,,53533,53024,58471,60523,64973,68589,74039,78358,81476,83077,82676,79066,67856,
AUS,483596,507091,529335,470230,457686,458538,470652,546544,544603,543347,558062,570726,596702,618216,669218,715920,747413,,
AUT,111844,115657,117274,121674,126534,133122,137222,117881,121778,127206,131144,136240,140125,151771,164060,185908,193033,,
AZE,56005,57738,56996,,,,,,,,,92430,92635,89827,89456,89245,90065,92481,
BHS,2869,,,,,,,,,,,,,,,,,,
BHR,4535,4877,,,6630,,,,11810,11684,12781,12578,,,,18859,19564,18489,
BGD,,,,,228860,234797,297265,273799,280951,259165,304935,366900,399696,454782,585012,,812430,,
BRB,,,,,4786,5838,5640,,,,,,7757,,9834,9064,8588,,
BLR,,168000,182200,199560,216261,231169,246071,263271,278862,289517,299984,309293,319811,317320,322636,328463,335472,334512,
BEL,174332,178833,,,185306,185908,189813,194843,199796,207756,211974,215784,216315,221043,233037,245759,255564,,
BLZ,,,,,,,2315,2736,2642,2585,2781,3064,3318,3563,4364,4322,4517,5166,
BEN,1904,2051,2657,,3787,4445,5568,,,,,,,,23014,,23407,,
BTN,,,,,539,,,,,,1237,1287,1384,1755,1803,2012,2729,2960,
BOL,,,,,,,,,,,,,158793,,,,,,
BIH,,,,,,,,,,,47075,50352,55155,58624,59028,58814,59886,59411,
BWA,3763,4197,,,4584,5189,5873,6648,7871,8187,8294,8638,,,,,,,
BRA,,,,1211170,1365160,1562150,1753480,2022910,2254290,2408720,2554180,,2938240,3322910,3483040,3727200,3935850,,
BRN,,,,1883,2442,2580,2830,2794,2941,3247,3341,3365,3410,3679,3820,3655,4096,5160,
BGR,134958,155226,161049,158703,160614,149671,139081,123261,121709,119890,123940,130156,138954,146324,152480,159377,157215,,
BFA,2087,2264,2022,,2251,2529,3130,3946,4078,,8587,9449,10340,13641,15289,16298,19886,22432,
BDI,,,,1282,1488,1643,1712,3211,3795,4353,4680,5482,,,,10352,,,
