ISO,1990,1995,2000,2005,2010
QAT,2.23,1.73,1.2,0.64,0.3
KOR,0.25,0.22,0.13,0.06,0.06
MDA,1.87,1.52,0.73,0.41,0.4
ROU,1.97,1.08,0.71,0.48,0.55
RUS,1.82,1.54,1.12,0.77,0.62
RWA,21.33,19.78,15.81,7.27,3.95
LCA,3.7,2.09,2.6,2.63,2.12
VCT,2.63,2.91,1.96,1.36,1.01
WSM,4.08,3.59,3.12,2.45,1.77
STP,32.75,32.16,26.98,17.95,13.22
SAU,1.86,1.27,0.78,0.46,0.38
SEN,41.67,36.47,28.97,22.67,21.56
SRB,0.44,0.45,0.2,0.15,0.18
SYC,1.64,1.27,1.2,1.18,1.21
SLE,43.01,43.04,52.22,45.18,40.3
SGP,0.17,0.13,0.11,0.08,0.05
SVK,0.28,0.18,0.13,0.09,0.07
SVN,0.45,0.33,0.25,0.17,0.15
SLB,15.48,11.95,9.76,8.99,7.15
SOM,51.46,51.62,49.62,44.87,46.55
ZAF,6.4,3.33,6.73,13.26,7.84
ESP,0.14,0.07,0.09,0.08,0.07
LKA,2.89,1.83,1.91,1.53,1.25
SDN,27.37,24.91,19.37,16.46,13.46
SUR,3.17,2.32,3.22,2.22,1.73
SWZ,17.36,18.59,31.01,56.75,32.18
SWE,0.09,0.06,0.06,0.06,0.05
CHE,0.07,0.07,0.06,0.06,0.05
SYR,6.32,3.58,1.32,0.45,0.26
TJK,3.74,4.22,2.73,1.57,1.36
TZA,35.29,40.79,49.16,38.63,22.94
THA,1.5,0.84,0.7,0.74,0.5
TLS,21.13,20.51,18.59,17.5,15.23
TGO,18.18,20.27,18.29,14.21,10.89
TON,4.57,3.96,3.86,2.9,2.16
TTO,2.06,2.1,1.37,1.11,0.92
TUN,2.02,1.2,0.66,0.5,0.41
TUR,3.19,1.95,1.16,0.76,0.59
TKM,2.02,1.9,1.19,0.87,0.64
UGA,32.69,37.31,31.55,24.22,17.16
UKR,1.55,1.28,0.74,0.54,0.53
ARE,4.39,2.7,1.65,0.8,0.49
GBR,0.23,0.2,0.18,0.19,0.18
USA,0.44,0.37,0.36,0.42,0.41
URY,1.71,1.32,1.05,1,0.77
UZB,2.26,2.12,1.63,1.19,0.97
VUT,9.86,8.1,6.97,6,4.6
VEN,4.81,4.23,3.08,2.77,2.15
VNM,4.15,2.53,1.2,0.66,0.45
YEM,28.22,25.31,24.19,19.16,16.67
ZMB,34.67,58.99,60.28,42.83,19.48
ZWE,9.22,18,43.05,45.27,19.94
HIA,1.82615,1.47115,0.893077,0.663269,0.605385
LIA,34.6843,34.1629,34.3691,30.6463,24.5851
LMA,18.7554,17.1148,15.6387,14.6959,10.4552
UMA,5.78462,4.89923,5.11192,4.73327,2.72058
HIM,0.27,0.22,0.15,0.12,0.11
LIM,36.87,37.31,32.35,30.82,22.95
LMM,14.42,10.65,8.81,8.03,6.4
UMM,3.17,2.17,1.83,1.31,1.11
HWW,,0.438579,0.339642,0.282667,0.258025
LIW,,30.5411,29.0432,24.5426,18.6866
LMW,,26.0924,20.4636,15.7138,12.1064
UMW,,2.78659,2.31771,2.02635,1.4747
WLD,,14.72,12.46,10.11,8.31
EAS,,4.88,3.66,2.92,2.3
ECS,,1.62,1.09,0.79,0.68
LCN,,4.72,4.27,3.71,3.07
MEA,,6.67,4.57,2.98,2.83
SAS,,34.05,25.66,17.76,13.28
SSF,,32.09,32.45,30.45,23.31
# Series: DEMD15FE,,,,,
"# Name: Deaths per 100,000, maternal disorders, ages 15-19, female",,,,,
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
