ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
PHL,,,,,,315489,,,,,,,,,,
POL,144223,150976,148399,155931,171042,180790,189050,193688,226114,212993,219143,209259,225979,222324,210999,
PRT,,,42914,,39812,39305,33501,27660,21598,17622,16198,15667,17173,,,
QAT,,,,1803,,1184,1044,,,,,,,,346,
KOR,95051,101562,108807,113992,121406,128447,135112,140523,142514,141833,138305,136911,135923,135450,133560,
ROU,,5641,1985,4410,18823,16277,13571,12691,14195,20276,16254,14708,14905,15818,,
RWA,,,,,,,,,,,,,,,1161,
WSM,,,182,,,,,,,,,,,,,
SMR,,,72,,,,,,,,,,,,,
SAU,102777,36252,164231,172743,180330,237613,170451,101932,19991,18868,20700,22158,24196,40658,49002,
SRB,,,,,,,,,,8778,12655,12463,12887,12946,12196,
SYC,,,,,,,,,,,,,,87,56,
SLE,,,1961,1260,,,,,,,,,,,,
SGP,,,,,,,,,,,4048,4269,4432,4504,4517,4644
SVK,,15611,16872,18705,17789,18744,19652,22101,24517,25634,26323,24661,22058,20917,20667,
SVN,,6936,7236,7596,10812,8237,8187,8186,8102,7854,7540,7058,6917,7481,6858,
ESP,,110423,114788,112419,118305,116641,124053,121558,128825,128409,136920,139531,157904,161344,,
LKA,,,,,,,,,,,,,4978,5560,11416,
SUR,,,,,1177,,,,,,,,,,,
SWZ,,788,683,294,,,884,714,326,,,,,,,
SWE,,31884,33427,36670,42652,48502,49716,49459,48555,47088,45312,43730,46372,46107,,
CHE,,11217,11523,11474,11527,12535,13037,13858,14996,15493,15639,15164,16230,17095,,
TJK,,,,,,,,,,,,,,,9988,
TZA,,561,,,,,,,,,,,,,21837,
THA,,,,,,,,,,,,,,163244,,
TTO,,,1056,1057,,,563,,,,,,,,,
TUN,,,,,,,,,,,,,1366,,,
TUR,62291,,,93687,104276,112943,140648,122282,152316,149024,144501,146771,159077,170732,,
UGA,,6059,8025,8991,,,11042,,,,,,,,,
UKR,,,,,,,,,,,,,,114541,,
GBR,,,,117373,137964,123277,142120,148596,153911,162195,153644,164233,167911,166822,,
USA,,,,,,,,,,,1234290,1235820,1319860,1355060,,
URY,,,,,,,,,,19903,21319,18727,,,,
UZB,,,,,,,,,52643,56019,55840,58331,53570,45349,,
VEN,,,,,,,,,,,470935,,,,,
VNM,,117726,86289,,100242,106111,,,,245293,230142,238917,266943,252943,,
ZMB,3424,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,11348,11576,11693,
