ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
GRC,0.26,0.2225,0.235,0.2725,0.27,0.2625,0.25,0.245,0.22,0.195,0.1725,0.2025,0.1975
GTM,0.0225,0.005,0.0125,0.0175,0.0125,0.0275,0.0125,0.035,0.0175,0.015,0.005,0.01,0.0125
GIN,0.0125,0.0075,0.0375,0.0475,0.0475,0.045,0.0425,0.035,,,0.0025,0.0025,
GNB,0.0075,,0.005,0.005,,,0.005,0.005,,,,,
GUY,0.005,,,,,,,,,,0.0025,0.0025,0.0025
HTI,0.0075,0.0025,,,,,0.0025,,,,,,
HND,0.065,0.0175,0.0125,0.01,0.0025,0.0325,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.0025
HUN,0.4925,0.4875,0.495,0.4975,0.495,0.4975,0.5,0.495,0.4175,0.39,0.3725,0.4475,0.3925
IND,0.4525,0.5,0.55,0.585,0.5975,0.6225,0.6425,0.665,0.6775,0.6875,0.695,0.705,0.7075
IDN,0.095,0.0975,0.1,0.0875,0.1,0.1075,0.15,0.14,0.13,0.1,0.09,0.105,0.1325
IRN,0.1375,0.12,0.14,0.13,0.125,0.1175,0.11,0.1425,0.155,0.1575,0.14,0.155,0.1825
IRQ,0.2525,0.285,0.2825,0.23,0.2225,0.225,0.305,0.36,0.395,0.44,0.4475,0.4475,0.4575
IRL,0.0325,0.0025,,0.005,0.005,,,,,,,,
ISR,0.23,0.2275,0.2275,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.2475,0.2475,0.27
ITA,0.39,0.3525,0.3625,0.37,0.3775,0.3675,0.3425,0.305,0.2325,0.225,0.2275,0.26,0.24
JAM,0.1,,,,,,,,,,,,
JPN,0.2175,0.235,0.26,0.2825,0.2625,0.265,0.265,0.2825,0.2875,0.27,0.225,0.22,0.215
JOR,0.1025,0.1825,0.12,0.105,0.1075,0.1125,0.12,0.1475,0.1625,0.23,0.2225,0.225,0.2625
KAZ,0.0175,0.015,0.0075,0.0175,0.025,0.0525,0.0525,0.0425,0.025,0.0325,0.0275,0.03,0.0225
KEN,0.0025,,,,,,,,,,,,
KWT,0.17,0.2275,0.2075,0.2225,0.1925,0.19,0.285,0.295,0.3825,0.3375,0.42,0.42,0.4925
KGZ,0.0575,0.0275,0.0375,0.0425,0.0475,0.1025,0.07,0.0725,0.0475,0.0475,0.04,0.0425,0.045
LAO,0.41,0.2925,0.285,0.3,0.3575,0.4075,0.415,0.4025,0.3425,0.3775,0.3975,0.415,0.485
LVA,0.16,0.0925,0.095,0.1875,0.185,0.11,0.1475,0.1775,0.1475,0.0925,0.11,0.095,0.0425
LBN,0.25,0.2475,0.225,0.225,0.2375,0.2425,0.25,0.2675,0.275,0.275,0.2475,0.2525,0.3225
LBR,0.0025,,0.0075,0.0025,,0.0025,0.005,0.005,,,,0.0025,
LBY,0.065,0.055,0.1025,0.13,0.16,0.175,0.1475,0.085,0.05,0.04,0.0425,0.0825,0.06
LIE,0.0925,0.305,0.3725,0.3725,0.1975,0.1975,0.2725,0.2725,0.25,0.25,0.235,0.1875,0.2625
LTU,0.305,0.2775,0.275,0.2975,0.275,0.27,0.31,0.3125,0.21,0.195,0.2225,0.22,0.1925
LUX,0.495,0.44,0.3375,0.255,0.25,0.2575,0.26,0.2575,0.2275,0.2225,0.1075,0.2425,0.2425
MKD,0.4075,0.385,0.385,0.41,0.395,0.425,0.42,0.43,0.385,0.35,0.24,0.38,0.355
MWI,,,,,,,,,,,,,0.0025
MYS,0.07,0.135,0.1175,0.0825,0.1175,0.15,0.2075,0.165,0.1125,0.09,0.1175,0.135,0.17
MLT,,0.0025,0.02,0.02,0.02,0.02,,,,0.0025,,,
MEX,0.255,0.1725,0.21,0.215,0.2,0.2025,0.185,0.1875,0.1675,0.16,0.1475,0.1575,0.1625
MCO,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
MNG,0.0075,0.0025,,0.0025,0.0025,,,,,,,,
MNE,0.0925,0.1575,0.1775,0.175,0.2075,0.275,0.3075,0.3225,0.26,0.1875,0.1675,0.2,0.22
MAR,0.045,0.0325,0.025,0.015,0.0125,0.015,0.015,0.0325,0.0125,0.0125,0.01,0.01,0.01
MMR,0.0775,0.0975,0.0875,0.09,0.1175,0.145,0.175,0.1925,0.1825,0.2575,0.245,0.2775,0.3025
NAM,0.0925,0.0775,0.025,0.0225,0.0225,0.01,0.01,0.0075,0.0025,,0.005,0.0075,
NPL,0.505,0.5625,0.5775,0.6125,0.62,0.6375,0.6475,0.65,0.6925,0.7075,0.7075,0.69,0.7225
NLD,0.4475,0.3925,0.39,0.45,0.44,0.41,0.3975,0.38,0.3425,0.2875,0.315,0.3375,0.325
NIC,0.0125,0.0025,,,,0.005,,,,0.0025,0.0025,0.0025,0.0025
NER,,,,0.0025,0.0025,0.0025,0.0025,0.0025,0.005,0.01,0.0125,0.0125,0.0125
NGA,0.0225,0.0375,0.0475,0.075,0.075,0.1125,0.125,0.1175,0.095,0.1,0.1125,0.09,0.055
NOR,0.01,0.0075,,,,0.0025,,,,,,,
OMN,,0.015,0.015,0.02,0.02,0.0325,0.04,0.05,0.0575,0.075,0.07,0.03,0.03
PAK,0.5575,0.585,0.655,0.695,0.695,0.715,0.725,0.73,0.7325,0.705,0.715,0.705,0.7125
PNG,,,0.0025,,,,,,0.0025,0.0025,,,0.005
PER,0.1125,0.105,0.09,0.085,0.09,0.0975,0.1275,0.13,0.1025,0.0825,0.0775,0.0775,0.09
PHL,0.0275,0.025,0.03,0.0375,0.0275,0.055,0.04,0.0475,0.035,0.0225,0.03,0.0325,0.0375
POL,0.45,0.4475,0.4725,0.51,0.5075,0.4775,0.4725,0.47,0.38,0.3625,0.355,0.415,0.38
PRT,0.1275,0.0875,0.0775,0.08,0.0675,0.07,0.05,0.0325,0.015,0.0075,0.0075,0.0075,0.0075
QAT,0.085,0.1525,0.1425,0.1375,0.1425,0.1575,0.2475,0.26,0.2975,0.32,0.3025,0.3025,0.3225
KOR,0.4725,0.49,0.5075,0.5375,0.55,0.5625,0.5625,0.575,0.56,0.5375,0.51,0.5025,0.49
MDA,0.4075,0.365,0.3775,0.385,0.37,0.34,0.38,0.355,0.29,0.2525,0.2625,0.3425,0.3275
ROU,0.4275,0.425,0.455,0.4575,0.44,0.4425,0.4675,0.4625,0.3575,0.315,0.335,0.3925,0.36
RUS,0.11,0.0825,0.105,0.1225,0.1375,0.155,0.2175,0.21,0.1225,0.105,0.125,0.135,0.1175
RWA,0.3175,0.1625,0.1325,0.0425,0.035,0.09,0.105,0.0975,0.0475,0.0575,0.0475,0.0775,0.085
SMR,0.25,0.25,0.25,0.255,0.255,0.25,0.25,0.245,,,,,
SAU,0.05,0.0675,0.0825,0.0875,0.105,0.1225,0.1275,0.15,0.185,0.1975,0.21,0.2,0.215
SRB,0.3675,0.3575,0.3925,0.4175,0.4,0.435,0.455,0.4525,0.3225,0.28,0.2925,0.365,0.3175
SLE,0.0225,0.025,0.015,0.035,0.03,0.0075,0.005,0.005,,,,,
SVK,0.4275,0.4175,0.405,0.44,0.4275,0.4325,0.445,0.4375,0.3525,0.3275,0.3325,0.385,0.3825
SVN,0.435,0.395,0.45,0.4575,0.475,0.4675,0.47,0.455,0.25,0.255,0.2575,0.3475,0.2925
SOM,0.015,0.015,0.02,0.03,0.035,0.0275,0.03,0.0275,0.03,0.03,0.0275,0.0275,0.03
ZAF,,,,,,,,,0.0125,0.03,0.0325,0.025,0.0125
ESP,0.135,0.115,0.1125,0.1,0.1025,0.0825,0.0625,0.04,0.0275,0.0275,0.0275,0.02,0.02
LKA,0.02,0.0225,0.01,0.0025,0.0025,,0.0175,0.04,0.045,0.06,0.08,0.075,0.0875
SDN,0.0025,0.0025,,,0.0025,0.005,0.005,0.005,0.0025,0.0025,0.0025,0.0025,0.0025
SWE,0.0325,0.03,0.0225,0.0325,0.025,0.025,0.0375,0.0375,0.02,0.0175,0.0225,0.035,0.025
