ISO,1990,2000,2010
AFG,25.25,27.9,35.12
ALB,55.16,66.25,71.51
DZA,43.28,52.14,58.34
AND,79.35,80.79,82.31
AGO,20.57,22.85,30.36
ATG,63.78,66.63,71.48
ARG,65.41,70.17,73.92
ARM,59.09,67.98,72.92
AUS,74.87,77.6,79.98
AUT,77.49,79.33,81.09
AZE,46.68,52.71,61.13
BHS,49.56,44.49,54.08
BHR,47.01,56,56.5
BGD,29.89,37.88,49.32
BRB,69.64,72.8,74.48
BLR,73.63,73.39,75.1
BEL,77.26,79.07,80.21
BLZ,50.68,53.84,57.71
BEN,22.4,25.35,32.01
BTN,28,38.58,49.14
BOL,35.27,42.23,49.06
BIH,67.65,71.17,75.16
BWA,36.96,33.23,40.68
BRA,50.33,60.15,67.76
BRN,59.22,61.32,65.89
BGR,72.65,74.03,76.44
BFA,19.15,20.82,20.57
BDI,27.46,31.67,37.57
KHM,31.02,37.65,50.97
CMR,28.83,29.38,32.66
CAN,75.27,77.56,79.27
CPV,41.05,49.45,61.06
CAF,33.43,33.8,37.31
TCD,21.53,22.22,22.54
CHL,67,71.93,73.99
CHN,58.92,64.55,69.56
COL,51.79,57.85,63.83
COM,32.82,36.36,39.18
COG,37.95,35.02,38.75
CRI,61.17,66.41,70.81
CIV,21.84,27.52,29.86
HRV,73.22,75.27,78.24
CUB,68.15,73.34,76.45
CYP,74.63,76.99,78.47
CZE,74.69,76.27,78.05
PRK,53.99,49.13,67.27
COD,23.05,24.1,26.32
DNK,76.53,78.33,79.59
DJI,26.04,34.33,40.59
DMA,58.83,63.39,67.81
DOM,41.85,53.33,62.37
ECU,44.83,52.44,61.39
EGY,37.72,50.71,58.2
SLV,47.81,59.38,68.44
GNQ,31.16,25.3,26.66
ERI,31.07,32.73,38.31
EST,73.83,74.9,78.17
ETH,26.71,30.51,39.85
FJI,48.63,52.61,56.23
FIN,76.56,78.69,80.42
FRA,78.19,80.08,81.31
GAB,42.17,42.63,44.94
GMB,18.26,21.83,25.13
GEO,66.92,70.62,73.57
DEU,77.35,79.43,80.64
GHA,29.21,33.49,40.31
GRC,76.99,79.68,81.2
GRD,60.32,67.44,69.98
GTM,35.64,41.6,51.31
GIN,20.95,23.8,29.52
GNB,21.71,23.94,29.4
GUY,54.16,53.01,57.59
HTI,36.93,42.95,40.56
HND,38.89,49.08,58.38
HUN,72.89,74.52,77.03
ISL,76.42,78.02,80.05
IND,36.35,42.56,50.71
IDN,43.31,52.32,58.54
IRN,36.17,51.94,59.5
IRQ,42.08,48.58,46.23
IRL,75.22,76.75,78.31
ISR,72.19,76.34,78.59
ITA,77.13,80.11,82.06
JAM,64.33,64.5,69.38
JPN,75.51,79.13,83.17
JOR,47.42,49.02,56.58
KAZ,60.23,63.53,63.57
KEN,28.46,28.65,33.72
KIR,35.8,42.29,49.36
KWT,45.27,47.66,50.15
KGZ,51.61,56.24,54.61
LAO,32.84,39.93,47.64
LVA,73.96,75.04,77.18
LBN,55.62,62.59,67.04
LSO,40.81,38.59,37.56
LBR,16.5,23.05,27.16
LBY,40.17,53.01,57.94
LTU,73.8,74.68,76.6
LUX,75.91,77.68,79.37
MKD,65.26,70.6,74.23
MDG,26.48,32.77,40.33
MWI,21.43,28.54,31.7
MYS,57.39,61.78,64.3
MDV,28.91,43.07,57.71
MLI,19.41,19.41,22.5
MLT,72.34,75.39,77.88
MHL,34.58,41.67,49.45
MRT,29.28,30.01,34.66
MUS,61.65,65.61,70.55
MEX,49.31,59.63,65.95
FSM,46.68,56.22,60.04
MNG,39.43,50.55,55.1
MNE,71.99,72.66,74.13
MAR,39.93,50.08,57.16
MOZ,21.25,26.11,32.66
MMR,44.89,50.59,55.5
NAM,40.27,41.37,45.9
NPL,28.4,36.44,46.56
NLD,76.86,78.06,79.62
NZL,73.59,76.37,78
NIC,33.81,47.42,59.47
NER,12.28,15.17,19.06
NGA,21.58,23.84,26.93
NOR,78.02,79.92,81.51
OMN,36.73,53.24,59.8
PAK,29.66,37.11,40.13
PAN,55.54,54.82,63.61
PNG,37.63,41.88,47.32
PRY,49.95,56.77,62.63
PER,39.71,54.44,62.43
PHL,39.74,47.8,53.36
POL,72.48,74.68,77.14
PRT,75.07,77.71,80.06
QAT,42.34,47.84,48.71
KOR,66.61,71.49,76.26
MDA,66.01,69.1,71.52
ROU,69.06,71.98,75.31
RUS,71.51,71.69,73.38
RWA,28.37,26.63,34.4
LCA,57.96,67.67,70.17
VCT,57.75,63.61,64.98
WSM,53.34,57.04,63.35
STP,35.24,37.8,45.34
SAU,42.19,49.99,57.82
SEN,22.83,23.57,31.65
SRB,68.8,72.35,75.28
SYC,54.18,56.91,58.49
SLE,15.71,17.1,25.35
SGP,66.02,69.97,72.7
SVK,72.54,74.49,76.44
SVN,74.14,76.26,79.4
SLB,44.73,47.72,51.51
SOM,25.91,29.06,32.85
ZAF,45.24,42.84,43.6
ESP,76.82,79.84,81.83
LKA,54.92,62.72,67.51
SDN,29.03,30.27,36.04
SUR,54.67,56.45,60.85
SWZ,34.29,35.5,40.25
SWE,78.52,80.87,82.2
CHE,77.91,80.12,81.96
SYR,46.21,55.26,59.77
TJK,36.98,41.49,49.24
TZA,23.99,28.07,32.22
