ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
POL,162674,161185,168851,183731,200992,210069,211163,184827,196677,196643,194377,200639,199173,200536,201486,
PRT,,,47262,,59530,61868,62629,61480,59877,61258,62854,61699,63085,,,
QAT,,,,,,262,364,,,,,,,,2047,
KOR,833975,901053,870979,890787,847442,833588,856863,815506,776983,747013,723737,713180,712404,741285,738684,
ROU,,69309,73864,79796,84636,98205,101354,106200,106929,110869,121904,130192,124302,120836,,
RWA,,,,,,,,,,,,,,,2883,
WSM,,,55,,,,,,,,,,,,,
SMR,,,105,,,,,,,,,,,,,
SAU,21080,25118,32601,37974,45083,43888,12880,16758,32886,28676,30371,32182,95113,58492,67646,
SRB,,,,,,,,,,30975,23697,23000,22166,22516,23829,
SLE,,,35,60,,,,,,,,,,,,
SGP,,,,,,,,,,,40619,41652,42932,45784,44529,44145
SVK,,18865,20832,21615,20754,20198,20414,22700,23192,24166,24251,24436,24893,24293,22958,
SVN,,11313,11581,12066,12474,13400,13365,13466,13627,14592,15686,16265,16206,15108,15010,
ESP,,210549,220201,225893,230460,234808,234990,230544,229601,225220,225572,226840,235644,248203,,
LKA,,,,,,,,,,,,,7333,8800,11223,
SUR,,,,,352,,,,,,,,,,,
SWZ,,336,308,227,,,257,201,159,,,,,,,
SWE,,47098,47498,48239,49140,51108,51689,50478,49730,47839,45871,48471,53803,55233,,
CHE,,22007,20583,20339,21079,21949,22914,22630,23434,24105,24357,24855,27390,29686,,
TJK,,,,,,,,,,,,,,,30394,
TZA,,3112,,,,,,,,,,,,,4568,
THA,,,,,,,,,,,,,,189187,,
TTO,,,983,1020,,,2985,,,,,,,,,
TUN,,,,,,,,,,,,,34513,,,
TUR,133840,,,165489,172535,210811,228804,239370,254273,259431,263014,276728,297709,309402,,
UGA,,3615,3916,2770,,,5136,,,,,,,,,
UKR,,,,,,,,,,,,,,399756,,
GBR,,,,181441,189804,144243,146551,149835,153301,158362,153763,162495,169984,171320,,
