ISO,1995,1996,1997,1998,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,27.8,,,,,,,,,,,,28.1,,,,
AGO,,,,,,,24.7,,,,,,,,,,
ARM,26.3,,,,,,,,,,,,,,28.4,,
AUS,27.3,,,,,,,,,,,,,,29.6,,
AUT,,,,29.2,,,,,,,,,,,31.9,,
AZE,27.5,,,,,,,,,,,,,,27.3,,
BGD,,,22.3,,,,,,,,,,,,,23.8,
BLR,23.7,,,,,,,,,,,,,,26.5,,
BEL,27.8,,,,,,,,,,,,,,31.2,,
BEN,,25,,,,,,,,,23.8,,,,,,
BOL,,,,,,,,,,,,,24.7,,,,
BIH,,,,,,,,,,,,,,,28.9,,
BRA,,24.3,,,,,,,,,,,,,29.5,,
BGR,26,,,,,,,,,,,,,,30,,
BFA,,,,,,,,,,,,,,,24.3,,
BDI,,,,,,,,,,,,,,,23.6,,
KHM,,,,,,,,,,,,,,,23.4,,
CMR,,,,,,,,,,,,,,,,25.8,
CAN,29,,,,,,,,30.2,,,,,,,,
CPV,,,,,,,,,,26.2,,,,,,,
CAF,23.3,,,,,,,,,,,,,,,,
TCD,,,22.7,,,,,,22.4,,,,,,,,
CHL,,,,,,,,,28.8,,,,,,,,
COM,,25.6,,,,,,,,,,,,,,,
COG,,,,,,,,,,,,,,25.1,,,
CRI,26.8,,,,,,,,,,,,,,31.7,,
CIV,,,,,,,,,,26.7,,,,,,,
HRV,27.8,,,,,,,,,,,,,,30.1,,
CYP,27.9,,,,,,,,,,,,,30.8,,,
CZE,26.7,,,,,,,,,,,,,,31,,
COD,,,,,,,,,,,,24.2,,,,,
DNK,31.7,,,,,,,,,,,,,,34.6,,
DOM,,24.1,,,,,,,,,,23.7,,,,,
ERI,24.7,,,,,,,,,,,,,,,,
EST,25.7,,,,,,,,,,,,,,30.4,,
ETH,,,,,,,,,,,,,,,,23.9,
FIN,29.7,,,,,,,,,,,,,,32.6,,
FRA,29.2,,,,,,,,,,,,,,31.8,,
GAB,,,,,,24.7,,,,,,,,,,,
GEO,27.1,,,,,,,,,,,,,,29.5,,
DEU,29.7,,,,,,,,,,,,,,33.2,,
GHA,,,,,,,,,,,,,25.7,,,,
GRC,28.9,,,,,,,,,,,,31.8,,,,
GIN,,,,,,,,,,24.6,,,,,,,
GUY,,,,,,,,,,,,,,24.5,,,
HTI,,,,,,,,,,,26.6,,,,,,
HUN,25.5,,,,,,,,,,,,,,31.4,,
ISL,31.1,,,,,,,,,,,,,,34.2,,
IND,,,,,,,,,,,23.7,,,,,,
IDN,,,,,,,,,,,,23.5,,,,,
IRL,30,,,,,,,,,,,,,,32.8,,
ISR,26.4,,,,,,,,,,,,,,31.5,,
ITA,29.6,,,,,,,,,,,,,33.1,,,
JPN,28.5,,,,,,,,,,,,,,30.5,,
KAZ,24.6,,,,,,,,,,,,,,26.9,,
KEN,,,,,,,,,,,,,,24.8,,,
KGZ,24.4,,,,,,,,,,,,,,26.9,,
LVA,25.4,,,,,,,,,,,,,,29.4,,
LSO,,,,,,,,,,,,,,25.5,,,
LBR,,,,,,,,,,,,23.4,,,,,
LTU,24.3,,,,,,,,,,,,,,28.7,,
LUX,28.9,,,,,,,,,,,,32.1,,,,
MKD,26.1,,,,,,,,,,,,,,28,,
MDG,,,,,,,,,,,,,22.3,,,,
MWI,,,,,,,,,,,,,,,22.3,,
MYS,,,,,,,,,,,,,,,28,,
MDV,,,,,,,,,,,,,,24.1,,,
MLI,,24.5,,,,,,,,,24.1,,,,,,
MLT,28,,,,,,,,,,,,29.6,,,,
MRT,,,,,,,27.1,,,,,,,,,,
MUS,,,,,,29.8,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,30.8,,
MOZ,,,21.2,,,,,,,,,,,21.7,,,
MMR,,,,,,,,,,,,24,,,,,
NAM,,,,,,,,,,,,31.7,,,,,
NPL,,,,,,,,,,,,,,,,22.1,
NLD,29.6,,,,,,,,,,,,,,,,33
NZL,27.8,,,,,,,,,,,,,,29.9,,
NIC,,,,21.2,,,,,,,,,,,,,
NER,,,,,,,,,,,23.1,,,,,,
NGA,,,,,,,,,,,,,26.9,,,,
NOR,31.4,,,,,,,,,,,,,,33.2,,
PAK,,,,,,,,,,,,21.8,,,,,
PHL,,,,,,,,,,,,,24.8,,,,
POL,25.1,,,,,,,,,,,,,,27.5,,
PRT,26.8,,,,,,,,,,,,,,30.8,,
KOR,,,,,29.1,,,,,,,31.4,,,,,
MDA,23.9,,,,,,,,,,,,,,26,,
ROU,26,,,,,,,,,,,,,,29.1,,
RUS,24.8,,,,,,,,,,,,,,,,
RWA,,,,,,,,,,,,,,,24.8,,
STP,,,,,,,,,,,,,,23.8,,,
SEN,,,,,,,,,,,,,,,,28.9,
SRB,27.5,,,,,,,,,,,,,,30.2,,
SLE,,,,,,,,,,,,,24.4,,,,
SGP,,,,28.3,,,,,,,,,,,30,,
SVK,25.4,,,,,,,,,,,,,,29.5,,
SVN,27.9,,,,,,,,,,,,,,31.2,,
ZAF,,,,,,,,,,,,,32,,,,
ESP,29.2,,,,,,,,,,,,,,33.2,,
SWZ,,,,,,,,,,,,28.8,,,,,
SWE,31.5,,,,,,,,,,,,,,35.5,,
CHE,29.7,,,,,,,,,,,,,,31.6,,
TJK,23.9,,,,,,,,,,,,,,26.3,,
TZA,,24.4,,,,,,,,,,,,,23.8,,
TLS,,,,,,,,,,,,,,,25,,
TUR,,,,,,,,,,,,,,,26.5,,
TKM,23.4,,,,,,,,,,24.6,,,,,,
UGA,22.6,,,,,,,,,,,,,,,22.4,
UKR,24.1,,,,,,,,,,,,,,27.1,,
GBR,32,,,,,,,,,,,,,32.1,,,
USA,,,,,,,,,,,,,,,28.2,,
URY,27.5,,,,,,,28.6,,,,,,,,,
UZB,23.4,,,,,,,,,,25.2,,,,,,
ZMB,,23.4,,,,,,,,,,23.7,,,,,
ZWE,,,,,,,,,,,,,,,,24.6,
ACE,27.25,,,,,,,,,,,,,,30.1105,,
HIA,28.3029,,,,,,,,,,,,,,31.263,,
ASA,,,,,,,,,,,,,,,28.2,,
ASE,,,,,,,,,,,23.7,,,,,,
ECM,27.1,,,,,,,,,,,,,,30.1,,
HIM,28,,,,,,,,,,,,,,31.2,,
NAN,,,,,,,,,,,,,,,28.2,,
SAM,,,,,,,,,,,23.7,,,,,,
ECE,24.9143,,,,,,,,,,,,,,18.7927,,
HWW,19.1474,,,,,,,,,,,,,,19.3674,,
NAE,,,,,,,,,,,,,,,25.398,,
SAE,,,,,,,,,,,17.6837,,,,,,
# Series: MAFMMWFR,,,,,,,,,,,,,,,,,
"# Name: Mean age at first marriage, male",,,,,,,,,,,,,,,,,
# Definition: The mean age at first marriage is the mean age of men or women at first marriage if subject throughout their lives to the age-specific marriage rates of first marriages only in a given year.,,,,,,,,,,,,,,,,,
