ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
COM,35,38,38,38,40,38,41,43,45,44,47,48,54,50,50,48,48,49,49
COG,52,45,72,75,77,71,53,55,54,51,51,51,51,53,54,54,55,56,57
CRI,18,16,16,16,16,16,17,14,19,19,18,20,19,19,19,18,19,18,18
CIV,74,74,74,74,74,77,66,68,65,69,65,68,66,67,66,68,70,61,55
HRV,58,63,63,63,63,50,33,33,37,37,39,37,36,38,40,41,40,40,40
CUB,90,95,95,94,94,94,96,94,96,96,96,96,94,94,93,92,91,92,90
CYP,16,18,18,16,16,18,18,18,18,22,22,22,22,22,22,22,22,25,25
CZE,19,19,19,20,20,24,25,23,23,22,20,18,18,18,18,19,19,19,20
PRK,100,100,100,100,100,100,96,96,98,97,97,97,98,98,99,97,97,96,97
COD,84,84,84,90,90,83,86,82,80,81,81,80,81,81,81,81,83,83,79
DNK,9,9,9,9,9,9,9,11,8,10,10,11,10,11,11,13,12,12,12
DJI,52,52,62,62,63,63,67,65,66,67,69,69,72,73,73,73,74,74,75
DMA,16,16,16,16,16,16,16,14,17,17,19,20,22,22,23,23,23,24,25
DOM,38,32,30,30,30,30,30,33,39,38,37,40,39,40,39,40,41,40,41
ECU,38,40,40,40,44,40,40,41,42,41,41,41,41,44,47,52,58,61,62
EGY,80,70,69,69,69,69,77,79,76,68,61,62,59,60,60,65,57,62,68
SLV,41,53,53,53,40,37,35,38,42,41,43,42,42,42,43,42,40,41,39
GNQ,78,78,78,78,78,79,80,81,89,88,88,89,89,90,90,90,91,91,90
ERI,68,68,69,68,68,68,79,83,89,91,91,94,94,94,94,94,94,94,94
EST,24,22,20,20,20,20,18,17,17,17,16,16,16,15,17,18,18,16,16
ETH,57,62,62,64,62,64,61,64,66,68,75,77,76,76,78,78,81,82,81
FJI,57,60,60,59,58,44,33,29,29,30,28,39,37,40,54,57,58,56,54
FIN,15,15,15,15,15,14,10,10,9,9,9,9,9,10,10,10,10,11,11
FRA,30,26,26,27,24,21,17,17,19,20,21,21,22,22,23,23,24,22,22
GAB,49,50,50,52,55,55,52,58,62,66,67,69,69,69,71,69,70,71,70
GMB,62,65,65,70,70,70,65,65,63,72,73,77,79,79,81,81,81,83,83
GEO,68,55,56,57,47,53,53,54,54,56,57,57,60,60,59,55,52,49,47
DEU,21,11,11,13,13,13,15,15,16,16,16,16,16,16,17,17,17,17,17
GHA,62,59,60,61,61,55,27,30,28,26,28,26,27,26,26,26,28,28,28
GRC,29,27,30,30,30,30,30,28,28,28,28,25,27,29,29,30,30,41,46
GRD,20,20,20,20,20,20,16,14,16,20,23,23,24,24,24,24,24,23,24
GTM,56,56,59,60,54,49,49,58,62,58,58,59,58,60,60,59,60,59,60
GIN,61,63,69,71,71,71,74,74,71,73,67,67,66,66,71,59,62,62,64
GNB,49,57,57,57,56,56,56,60,63,55,47,48,53,52,54,57,57,65,67
GUY,26,26,22,22,22,22,23,21,20,23,27,29,31,30,30,30,33,33,34
HTI,59,59,59,58,58,59,72,79,79,66,68,59,56,53,49,49,50,49,50
HND,34,47,47,48,48,45,43,51,52,51,52,51,51,52,59,61,62,62,64
HUN,34,31,28,28,30,28,23,23,20,21,21,21,21,21,23,30,36,36,35
ISL,12,12,12,12,12,12,8,8,8,9,9,9,9,9,10,12,14,14,12
IND,48,40,37,37,42,42,42,45,41,38,37,35,35,36,33,35,37,38,39
IDN,74,77,77,53,49,47,53,56,55,58,58,54,54,54,52,53,49,49,49
IRN,80,80,78,76,68,72,75,76,79,80,84,84,85,85,89,91,92,92,90
IRQ,100,100,100,98,98,100,96,95,66,70,71,70,69,67,65,68,69,67,69
IRL,18,19,21,20,21,18,16,16,16,15,15,16,15,15,15,16,16,16,16
ISR,30,28,28,28,30,30,30,27,28,28,28,29,28,31,29,29,30,31,30
ITA,30,27,27,28,27,27,27,28,33,35,35,29,29,32,33,34,33,33,31
JAM,11,11,11,11,11,11,17,20,17,15,17,15,15,15,16,18,18,18,17
JPN,21,20,19,19,19,23,17,17,18,20,20,21,21,21,21,21,22,24,25
JOR,45,48,60,65,57,60,60,65,63,62,61,61,63,64,63,63,63,63,68
KAZ,62,64,66,68,68,70,69,73,74,75,75,76,78,78,78,80,81,84,85
KEN,62,59,63,70,70,70,67,68,60,61,58,59,60,60,57,54,52,53,57
KIR,18,18,17,17,17,22,21,26,27,26,28,26,26,27,27,27,27,27,29
KSV,,,,,,,,,,,,,,,53,51,49,49,49
KWT,42,44,44,45,48,48,49,54,57,58,56,56,54,55,55,57,57,59,59
