ISO,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012
ARG,,,,,79.12,,,,,
ARM,,,,,,,,,80.67,
AUS,,,,,,,,,94.29,
AZE,,,,,,,,,78.99,
BHR,,,,,,,,,77.87,
BEN,,,,26.85,,,,,,
BWA,,,,,,79.95,,,,
BRA,,,,,72.74,,,,,
BFA,,,,,,42.02,,,,
BDI,,,,,,,56.52,,,
CMR,,,,65.98,,,,,,
CAN,,,,,56.04,,,,,
TCD,,,31.96,,,,,,,
CHL,,,,,,,,,84.15,
COL,,,,,,34.32,,,,
COM,,,,,,,33.25,,,
COG,,,,,,36.77,,,,
CRI,,,,,88.7,,,,,
CIV,,,,,,,15.3,,,
HRV,,,,,,,,,95.64,
CUB,,,,,93.34,,,,,
CYP,,93.35,,,,,,,,
CZE,,,,,,,,,96.14,
DNK,,,,,,,,,98.16,
DOM,,,,,38.53,,,,,
ECU,,,,,57.76,,,,,
SLV,,,,,,24.06,,,,
FIN,,,,,,,,,99.53,
GAB,,,,,58.43,,,,,
GEO,,,,,,,,,81.71,
DEU,,,,,,,,,98.7,
GTM,,,,,56.94,,,,,
HUN,,,,,,,,,93.82,
IND,,,,,,,,,,21.84
IRN,,,,,,,,,72.6,
IRL,,,,,,,,,97.17,
ITA,,,,,,,,,96.34,
JPN,,,,,,,,,99.84,
KAZ,,,,,,,,,94.23,
KEN,,,,,,87.59,,,,
KWT,,,,,,,,,42.73,
LVA,,,,,,98.57,,,,
LBN,,,,,,,,73.16,,
LSO,,,,,,58.59,,,,
LTU,,,,,,,,,98.23,
MDG,,,,79.89,,,,,,
MWI,,,,,,35.61,,,,
MLI,,,,,,,,,92.48,
MRT,,,14.79,,,,,,,
MUS,,,,,,91.19,,,,
MNG,,,,,,75.1,,,,
MAR,,,,,,,,,30.71,
MOZ,,,,,,63.58,,,,
NAM,,,,,,52.24,,,,
NLD,,,,,,,,,99.87,
NZL,,,,,,,,,90.57,
NIC,,,,,58.55,,,,,
NER,24.2,,,,,,,,,
NGA,,,,,,48.85,,,,
NOR,,,,,,,,,96.08,
OMN,,,,,,,,,58.09,
PAK,,,,,,,,,,45.72
PRY,,,,,65.2,,,,,
PER,,,,,65.22,,,,,
PHL,,41.39,,,,,,,,
POL,,,,,,,,,91.4,
PRT,,,,,,,,,98.53,
QAT,,,,,,,,,65.01,
KOR,,,,,,,,,100,
MDA,,92.43,,,,,,,,
RUS,,,,,,,,,98.9,
SAU,,,,,,,,,69.3,
SEN,,,,,,50.47,,,,
SRB,,,,,,,,,93.04,
SYC,,,,,,87.9,,,,
SGP,,,,,,,,,99.51,
SVK,,,,,,,,,93.59,
SVN,,,,,,,,,97.18,
SOM,,,,,,,,,83.3,
ZAF,,,,,,62.05,,,,
ESP,,,,,,,,,92.65,
SWZ,,,,,,90.07,,,,
SWE,,,,,,,,,96.73,
TZA,,,,,,83.96,,,,
THA,,,,,,,,,87.25,
TGO,,,,,,,,28.59,,
TUN,,,,,,,,,43.47,
TUR,,,,,,,,,83.99,
UGA,,,,,,59.14,,,,
UKR,,,,,,86.29,,,,
ARE,,,,,,,,,73.82,
USA,,,,,,,,,98.18,
URY,,,,,91.54,,,,,
YEM,,,,,,,,,11.24,
ZMB,,,,,,29.08,,,,
ZWE,,,,,,74.76,,,,
ACE,,,,,,,,,93.8037,
HIA,,,,,,,,,89.94,
ASA,,,,,,,,,98.18,
ASE,,,,,,,,,,33.78
ECM,,,,,,,,,96.08,
HIM,,,,,,,,,96.14,
NAN,,,,,,,,,98.18,
SAM,,,,,,,,,,21.84
ECE,,,,,,,,,61.11,
HWW,,,,,,,,,79.4465,
NAE,,,,,,,,,88.3971,
SAE,,,,,,,,,,21.3292
# Series: PRMAFEIN,,,,,,,,,,
"# Name: Achieving basics in mathematics, female",,,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics. (Primary level),,,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
