ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUT,,,32,36,46,50,56,61,65,67,70,74,76,77
AZE,,,,,,5,6,7.8,12.3,14.2,15.2,,,
BLR,,,,,,,14.9,19.4,22.8,,,,,
BEL,,,,,,53,58,63,65,71,74,79,79,80
BGR,,,,,15,,24,30,34,40,43,47,51,52
CAN,,,,,,68,,72,,,,,,
HRV,,,,,,,,34,36,44,46,52,55,60
CYP,,,,,28,29,32,36,36,45,51,53,58,64
CZE,,,,25,29,29,42,46,56,58,63,68,72,73
DNK,,,60,68,73,76,81,79,82,85,87,89,91,94
EST,,,,,51,57,61,63,66,72,75,77,78,79
FIN,,,61,64,71,72,76,78,82,83,85,88,90,91
FRA,,,,,,,44,59,69,70,75,77,80,80
DEU,,,44,49,57,60,65,68,71,73,76,78,79,81
GRC,,,12,13,16,19,24,28,33,38,40,49,52,56
HUN,,,,,26,37,44,51,58,58,60,67,69,71
ISL,,,,80,81,85,87,89,90,91,92,94,95,96
IRL,,,,30,33,39,50,56,64,66,69,76,77,78
ISR,,,29,33.9,37.9,42.3,47.4,,56.2,64.2,68.3,,,
ITA,,,23,24,26,28,31,33,37,41,46,50,51,54
KAZ,,,,,,,,,,34.5,32.4,,,
LVA,,,,,33,41,49,54,59,64,65,69,72,75
LTU,,,,,29,34,41,48,52,57,60,63,66,68
LUX,,,35,48,57,58,61,71,71,82,86,86,89,92
MKD,,,,,14,,20,,37,48,49,,54,
MLT,,,,,,35,35,42,46,56,58,66,66,67
NLD,,,54,58,63,75,77,81,85,86,88,90,91,93
NOR,,,,69,71,76,78,83,87,88,90,93,94,94
POL,,,,,28,33,38,43,48,54,57,60,62,62
PRT,,,15,23,27,29,32,36,38,42,46,53,56,58
ROU,,,,,12,,19,23,27,32,35,39,44,48
RUS,,,,,,68,,72,,,,,,
SRB,,,,,,,,25,,34,,,,
SVK,,,,,42,46,47,54,64,69,73,73,74,78
SVN,,,,,35,44,47,52,54,61,66,64,66,71
ESP,,,18,33,36,40,44,48,53,56,61,64,67,69
SWE,,,68,72,80,78,84,77,86,89,90,92,92,94
CHE,31.2,42.8,50.8,57.9,62.9,67,72,76,78,81,83,86.3,,
TUR,,,,,8,9,,18,41,24,28,,,33
GBR,,,54,57,59,62,61,68,73,79,82,84,87,89
USA,,,,,,,,62.1,,67.9,,,,
ACE,,,,,,48.2414,,52.2914,56.8265,59.9057,63.4882,,,73.6667
HIA,,,,,,,,59.1,,66.67,,,,
ASA,,,,,,,,67.05,,67.9,,,,
ECM,,,,,,46,,54,58,61,65,,,75
HIM,,,,,,,,61,,67,,,,
NAN,,,,,,,,62.1,,67.9,,,,
ECE,,,,,,34.7137,,45.2743,38.4264,39.7724,41.8313,,,44.6708
HWW,,,,,,,,47.3297,,42.1098,,,,
NAE,,,,,,,,63.0745,,61.179,,,,
# Series: PFMPINTM,,,,,,,,,,,,,,
# Name: % of female population using Internet over 3 month period - all age groups,,,,,,,,,,,,,,
"# Definition: Use of Internet includes any kind of use, whether at home, at work or from anywhere else, for private or professional purposes, using a computer or any other means.",,,,,,,,,,,,,,
"# Source: UN Economic Commission for Europe (UNECE) Statistical Database, compiled from national and international (Eurostat) official sources.",,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
