ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,268,292,,416,574,,,,,,,6381,5466,
DZA,,,,,,,,33058,29037,,,,35470,,,
AND,,,,,85,80,91,84,88,,87,,,,61,
AGO,,475,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,186,186,190,97,
ARG,,,,,,,,109048,106670,110632,113559,118294,126838,134955,,
AUS,61634,63216,65217,75883,87992,86744,83689,78159,71742,67903,66651,69766,72360,73317,,
AUT,,22957,,,,17423,18659,19383,20584,20511,21580,22167,24779,25472,,
AZE,,,,,,,,,,,11078,11313,10939,10985,11279,
BHR,,,,,,580,,423,422,,,,,,,
BGD,,,,59415,56700,75437,90643,104760,,86431,165142,175672,,190469,,
BRB,,,,,,,,,,,,,1207,879,,
BLR,,,,,,,,6213,6375,,6573,6728,6744,6868,,
BEL,,,22924,24333,28063,21646,25535,15946,18497,18001,18737,17580,18155,17812,,
BEN,,,,,,,,,,,,8141,,8064,,
BTN,,,,,,,,,,,,,292,249,,
BIH,,,,,,,,,,,,,,5226,4806,
BRA,,,,,191848,217015,233634,249395,,276923,312117,310598,294601,,,
BRN,,73,90,128,,97,149,132,144,169,178,300,292,522,833,
BGR,,5354,5551,5349,5015,5640,5796,6557,6201,7038,6887,7071,7765,8090,,
BFA,,,,,,,,,4651,3717,5746,5733,4167,6141,8728,
BDI,,,,,422,,,,,,,,,,,
KHM,,,,2613,3752,,6401,,,,,,,,,
CMR,,,,,,,,,,,19373,22506,26895,25098,,
CAN,68823,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,314,519,391,,,
CAF,,,,,,,,,,,,,1156,,,
CHL,,,,,3881,4596,47359,48868,35970,41918,44463,48237,53616,53510,52361,
COL,,,,12256,,,16351,22095,22172,14916,27271,,,47530,52561,
COM,,,,,,133,,,,,,,,,521,
COG,,,,1387,1038,,,,,,,,,,,
CRI,,,,,,,5959,,,,,,,,,
CIV,,,,,,,,,,18816,,14276,11893,,,
HRV,,2859,,3523,4434,4690,,5998,5885,6318,6690,6788,4720,7283,,
CUB,,,,,,,,,,10779,12450,,12870,12298,10725,
CYP,,610,671,1000,1125,1614,1753,1678,1669,1712,1622,1757,1740,1729,,
CZE,,10594,26253,27623,15627,19311,19403,20394,19460,21228,27304,29049,31044,32281,,
COD,,,,,,,,,,,,,,9223,15569,
DNK,,12636,12827,12395,13154,12164,13473,12951,12413,13027,12349,13238,13658,,,
DJI,,,,97,,,182,,341,,,394,,495,,
ECU,,,,,,,,,,,26647,,,,,
SLV,,,,,6748,6757,,8536,8823,9497,13632,13714,13711,14260,14570,
ERI,,,,,,,340,,,,,898,,,,
EST,,2219,2466,3061,3393,3889,3956,4302,4177,4261,4024,3981,4453,,,
ETH,,1988,2046,2664,2418,7270,11610,11978,,,14282,,52794,,,
FIN,14399,15490,16795,17740,18805,19801,20440,21060,21217,20880,20416,18777,18955,19318,,
FRA,,,,,,,,,173297,172952,169936,174620,177634,178214,,
GMB,,,,,,,271,,,,,,,,,
GEO,,2127,3273,2503,2492,2079,2653,2814,2857,3116,,4098,5444,,7390,
DEU,,,177139,190803,206306,218394,,,,,,,,253930,,
GHA,,,,,,,,,,,18654,16308,,19699,21108,
GRC,,,,,52985,,61741,62366,,51681,,,53591,,,
GRD,,,,,,,,,,,,191,,,,
GIN,,,,,,,3127,,6902,,9806,15567,,,,
GUY,,,,,,,482,,406,251,414,,429,489,492,
HND,,,,,,3828,,,,,,,,,6064,
HUN,,6952,,10942,12159,17141,16025,16045,15855,21318,19719,19011,18606,18457,,
ISL,567,552,675,774,860,891,875,835,781,777,784,796,901,1062,,
IRN,,,,,,,105533,93731,78926,110952,116761,106904,95976,98253,101269,
IRQ,,,,,,,10425,,,,,,,,,
IRL,12524,,,,,,,,,,13115,14108,16703,17799,,
ISR,,17422,22343,20029,19552,19088,18618,18111,17831,17717,17533,18312,18690,,,
ITA,,70280,66910,68436,70295,74864,78777,79554,80358,79948,,,,76550,,
JAM,,,,,,,,,,,,,1393,1915,,
JPN,81251,82753,85248,86833,88231,88328,89117,88793,88989,88430,87128,85293,84479,84624,,
JOR,,,,,,16570,16570,14330,12645,16805,17654,15886,14874,9616,,
KAZ,,,,,,,,,,,,,,,7106,
KEN,,,6730,7074,,,,,,,,,,,,
KGZ,,,,4294,5617,5691,7106,7301,9958,6906,9002,,7104,7907,,
LAO,,,,,,,,,,1405,2167,3500,3404,3498,4604,
LVA,,1650,3099,4035,5074,5602,5874,4795,4722,4622,4229,4204,4215,4318,,
LBN,,,9355,12206,13329,13734,13666,10797,11304,11249,11355,10646,9143,9913,9950,
LSO,,,,,,,,842,,,,,,,,
LBR,,204,1895,,,,,,,,,,2024,,2638,
LIE,,,,,,37,,,,,,,,,,
LTU,,3306,3514,3896,4868,6059,7218,7945,8066,7991,7529,7266,6678,6196,,
LUX,,,,,,,,,,,329,,405,,,
MKD,,2240,1814,1761,1530,1465,1842,1634,1673,3263,4268,4655,4657,5166,,
MDG,,,,,,,,4512,3978,4505,4394,5941,6316,6795,7303,
MYS,,,,,51320,,59159,59877,64470,60416,62563,64484,58709,63637,,
MLI,,,,,,,,,,,5081,5768,,1352,4382,
MLT,,206,231,245,251,311,313,366,,658,566,562,938,882,,
MRT,,,,,,803,,,,,,,,,,
MUS,,,,,,,,,,,,,,2616,2503,
MEX,,125024,135396,141175,157378,164887,176404,184988,184302,186653,176281,190512,182393,106566,,
MNG,,1860,2145,2350,2823,3375,3623,4343,4813,5384,5686,6232,6748,7183,7148,
MAR,,36642,33373,32102,,32462,32477,39185,37310,48432,48286,51007,,,,
