ISO,1997,2002,2007
AFG,15.562,15.856,16.247
ALB,21.028,22.67,23.078
DZA,18.305,18.485,18.62
AGO,14.71,15.585,15.939
ATG,21.324,21.791,22.255
ARG,22.094,22.63,23.258
ARM,19.799,21.111,21.781
AUS,24.37,25.322,26.183
AUT,23.199,24.156,24.971
AZE,19.083,18.756,19.695
BHS,21.751,22.729,23.499
BHR,18.611,19.044,19.483
BGD,17.733,18.025,18.346
BRB,19.954,20.345,20.73
BLR,18.269,18.425,19.477
BEL,23.558,24.078,24.836
BLZ,21.293,22.131,22.506
BEN,15.6,15.578,15.97
BTN,16.873,17.89,19.093
BOL,18.37,18.79,19.38
BIH,19.88,20.854,21.258
BWA,17.261,17.052,17.202
BRA,21.155,21.92,22.53
BRN,21.054,21.619,22.177
BGR,19.175,19.775,20.475
BFA,14.771,14.862,15.181
BDI,15.752,16.034,16.323
KHM,21.001,22.383,24.524
CMR,16.474,16.449,16.665
CAN,24.116,24.775,25.405
CPV,18.722,19.83,21.056
CAF,16.005,16.036,16.17
TCD,15.457,15.54,15.754
CHL,22.66,24,24.52
CHN,19.283,20.399,20.788
COL,20.55,21.22,21.98
COM,16.153,16.307,16.46
COG,16.767,16.766,17.165
CRI,23.4,24.01,24.49
CIV,13.803,13.292,13.93
HRV,21.045,21.265,22.161
CUB,22.275,22.708,23.638
CYP,22.047,22.46,22.878
CZE,20.59,21.463,22.457
PRK,18.369,18.75,18.85
COD,15.036,15.345,15.538
DNK,21.797,22.53,23.406
DJI,17.213,17.373,17.647
DOM,21.79,22.19,22.66
ECU,22.77,23.69,24.06
EGY,18.399,18.421,18.46
SLV,21.84,22.12,22.49
GNQ,15.612,15.689,16.089
ERI,14.75,15.454,16.107
EST,20.369,21.4,22.559
ETH,16.142,16.864,17.82
FJI,17.096,17.753,18.437
FIN,23.265,24.149,25.299
FRA,25.157,25.848,26.793
GAB,18.069,18.124,18.515
GMB,15.15,15.39,15.619
GEO,20.252,20.901,21.238
DEU,23.034,23.947,24.657
GHA,15.197,15.14,15.783
GRC,23.324,24.049,24.392
GRD,17.817,18.427,19.078
GTM,20.3,21.45,21.89
GIN,14.934,14.245,15.102
GNB,15.168,14.807,15.239
GUY,17.263,17.286,17.269
HTI,16.328,16.463,17.467
HND,21.754,22.243,22.724
HUN,20.029,20.937,21.63
ISL,23.746,24.688,24.994
IND,16.607,17.201,17.794
IDN,17.637,18.035,18.427
IRN,17.59,18.467,19.445
IRQ,19.734,19.264,18.873
IRL,21.632,22.897,24.296
ISR,22.904,23.88,24.816
ITA,24.351,25.246,25.991
JAM,21.134,21.616,21.98
JPN,26.053,27.407,28.11
JOR,18.896,19.308,19.704
KAZ,17.993,18.176,18.736
KEN,17.627,17.832,18.116
KIR,17.368,17.677,17.983
KWT,17.211,17.419,17.632
KGZ,18.672,18.672,18.4
LAO,16.497,17.006,17.435
LVA,20.297,20.946,21.415
LBN,19.789,21.355,23.6
LSO,16.211,15.34,15.805
LBR,15.442,14.373,15.495
LBY,18.818,19.644,20.593
LTU,21.092,21.845,21.873
LUX,23.32,24.12,24.598
MKD,19.036,19.747,19.903
MDG,16.101,16.695,17.183
MWI,16.369,16.948,17.514
MYS,18.642,19.064,19.698
MDV,15.958,19.419,20.227
MLI,14.255,14.619,15.116
MLT,21.657,22.412,23.166
MRT,16.546,16.69,16.864
MUS,19.33,20.249,20.727
MEX,21.908,22.299,23.03
FSM,17.537,17.646,17.819
MNG,15.135,16.47,17.591
MNE,22.656,20.145,20.262
MAR,18.138,18.294,18.468
MOZ,15.684,16.459,16.969
MMR,16.84,17.077,17.29
NAM,17.179,16.988,17.854
NPL,16.509,17.003,17.433
NLD,23.329,23.71,24.651
NZL,23.367,24.19,24.95
NIC,19.81,21.24,22.44
NER,15.146,15.223,15.495
NGA,13.459,13.167,13.56
NOR,23.703,24.29,25.072
OMN,19.092,20.052,21.072
PAK,17.79,17.744,17.709
PAN,22.825,23.584,24.583
PNG,15.412,15.764,16.273
PRY,20.4,21.18,21.66
PER,20.545,21.405,22.141
PHL,17.77,17.974,18.175
POL,20.885,22.085,22.714
PRT,22.713,23.484,24.298
QAT,20.6,20.858,21.092
KOR,21.853,23.289,25.187
MDA,17.363,17.537,17.6
ROU,19.14,19.98,20.779
RUS,18.817,18.695,19.701
RWA,15.134,16.278,17.813
LCA,20.407,20.793,22.317
VCT,19.835,20.044,20.314
WSM,19.098,19.877,20.571
STP,18.162,18.313,18.668
SAU,19.171,19.64,20.125
SEN,16.262,16.317,16.676
SRB,19.309,19.494,19.887
SYC,20.911,21.171,21.436
SLE,10.594,11.482,12.352
SGP,22.659,23.887,25.66
SVK,20.379,21.038,21.595
SVN,22.114,23.218,24.317
SLB,16.618,17.261,17.566
SOM,15.897,16.183,16.474
ZAF,17.43,17.395,17.191
SSD,15.56,15.962,16.382
ESP,24.62,25.298,26.365
LKA,18.312,21.667,20.522
SDN,17.202,17.535,17.869
SUR,19.136,19.134,19.757
SWZ,16.611,16.693,16.97
SWE,24.113,24.515,25.129
CHE,24.763,25.433,26.203
SYR,19.472,20.408,21.332
TJK,19.881,19.911,20.294
TZA,16.606,17.25,18.015
THA,21.325,21.676,22.056
TLS,16.004,16.776,17.261
TGO,14.6,14.513,14.599
TON,19.2,19.866,20.473
TTO,19.344,19.587,19.747
TUN,20.55,21.033,21.215
TUR,20.796,21.359,22.075
TKM,18.537,18.404,18.661
UGA,16.211,16.917,17.573
UKR,18.745,19.028,19.481
ARE,18.755,19.216,19.671
GBR,22.447,23.33,24.324
USA,23.066,23.329,24.167
URY,22.609,23.204,23.797
UZB,19.511,19.518,19.657
VUT,17.649,18.086,18.588
VEN,20.913,21.237,21.862
VNM,23.545,24.031,24.43
YEM,16.657,16.756,16.838
ZMB,15.314,16.143,16.954
ZWE,18.763,18.792,19.197
AAE,19.2839,19.9725,20.6347
ACE,21.2262,21.783,22.4232
HIA,21.9117,22.6248,23.3623
AME,20.7598,21.3376,21.9372
LIA,16.1056,16.3924,16.9007
LMA,17.7363,18.1834,18.5991
ANE,19.0781,19.5665,20.0926
ASA,23.591,24.052,24.786
ASE,16.918,18.1006,18.4214
AEE,16.0446,16.2483,16.7186
UMA,19.6971,20.2011,20.7739
EAM,18.369,18.75,18.85
ECM,20.885,21.4,22.161
HIM,22.114,23.218,24.296
LCM,21.134,21.616,22.317
LIM,15.752,16.183,16.46
LMM,17.368,17.677,17.869
MEM,18.818,19.264,19.671
NAN,23.066,23.329,24.167
SAM,16.607,17.744,17.794
SSM,15.897,16.183,16.474
UMM,19.33,20.044,20.593
EAE,19.7427,20.6541,21.0777
ECE,21.3139,21.89,22.7044
HWW,22.8039,23.4607,24.328
LCE,21.2676,21.9039,22.5476
LIW,16.617,16.9744,17.4239
LMW,17.1645,17.5615,17.9684
MEE,18.4965,18.8669,19.2614
NAE,23.1697,23.4708,24.2889
SAE,16.8497,17.3781,17.8427
SSE,15.554,15.7553,16.205
UMW,19.6731,20.545,21.0078
WLD,19.998,20.601,21.164
# Series: LE60FEIN,,,
"# Name: Life expectancy at 60 years, female",,,
# Definition: The average number of remaining years of life expected by a hypothetical cohort of males or females alive at age 60 who would be subject during the remaining of their lives to the age- and sex-specific mortality rates of a given period. It is expressed as years.,,,
# Source: United Nations Population Division (UNPD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
