ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,0.000832685,0.000884925,0.00195074,0.00189759,0.00184965,0.00360904,0.0052821,,
ALB,,,,,,,,0.00851029,,0.315834,2.02749,2.91954,3.34966,4.0641,5.05996
DZA,,,,,,0.0545398,0.107587,0.397516,0.492651,0.817844,1.35758,2.24828,2.42831,2.6481,2.88735
AND,,,,,1.60248,4.76052,7.94586,12.7316,17.8512,22.7894,25.85,29.1651,31.4503,33.0868,34.3351
AGO,,,,,,,,,0.043557,0.0660538,0.0870461,0.105671,0.102306,0.123882,0.150332
ATG,,,,,,,0.122372,0.953188,1.84624,2.68493,5.8419,7.39282,8.1609,6.80643,4.63685
ARG,,,,0.3,0.393329,0.681712,1.41711,2.39786,4.06196,6.6105,8.02822,8.68,9.26978,10.5173,10.8926
ARM,,,,0,0.000262553,0.000329377,0.0330507,0.0660051,,0.13044,0.372059,1.05416,2.87421,5.19264,6.74963
AUS,,,,0.6,1.30918,2.59007,5.00532,9.82421,18.6911,,23.7929,23.1064,23.9907,23.7989,24.3422
AUT,,0.6,2.4,4,5.57354,7.38119,10.6186,14.25,17.3001,19.5152,20.7261,22.0457,24.1492,24.6416,25.0238
AZE,,,,,0.0120776,,,0.0255039,0.0456434,0.166474,0.675853,1.11281,5.05788,10.3025,14.1437
BHS,,,,1.4,2.43982,3.46647,3.97115,4.06639,4.94336,5.99329,7.32043,8.91106,6.85219,4.23005,
BHR,,,,0.2,0.679825,1.26117,1.82278,2.43674,4.06204,6.46145,6.88731,6.37688,5.40346,14.156,13.2011
BGD,,,,,,,,,,0.0298449,0.0337906,0.211834,0.274321,0.307499,0.388157
BRB,,,,,,10.0866,10.8852,11.6761,14.113,17.0601,17.7269,20.539,20.0395,21.5196,23.0915
BLR,,,,,0.000202987,0.00125714,0.00771606,0.0161826,0.118696,1.77145,5.0001,11.4667,17.5522,22.1924,26.9104
BEL,0.1,0.2,1.4,4.5,7.88684,11.9685,15.5153,19.1337,23.155,25.4289,27.4999,28.8524,30.6783,32.061,33.2655
BLZ,,,,,,0.363853,1.06663,1.84687,2.59691,2.61359,2.74133,2.77062,2.8889,3.06627,3.07752
BEN,,,,,0.00028322,0.000273948,0.00102237,0.0023954,0.0177411,0.0081539,0.0108656,0.0262207,0.0375297,0.0398475,0.0500662
