ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
HRV,6.8,6,6.5,2.6,-0.3,6.4,3.7,4.9,5.4,4.1,4.3,4.9,5.1,2.1,-6.9,-2.3,-0.2,-1.9,-1
CUB,2.5,7.8,2.8,0.2,6.2,5.9,3.2,1.4,3.8,5.8,11.2,12.1,7.3,4.1,1.4,2.4,2.8,3,2.7
CYP,,1.8,2.3,5,4.8,5,4,2.1,1.9,4.2,3.9,4.1,5.1,3.6,-1.9,1.3,0.4,-2.4,-5.4
CZE,5.9,4.2,-0.9,-0.2,1.5,4.6,3.1,2.1,3.8,4.6,6.8,7.2,5.7,2.9,-4.4,2.3,1.8,-0.9,-0.9
PRK,-4.4,-3.4,-6.5,-0.9,6.1,0.4,3.8,1.2,1.8,2.1,3.8,-1,-1.2,3.1,-0.9,-0.5,0.8,0.3,0
COD,0.8,-1.1,-5.6,-1.8,-4.2,-6.9,-2,3.4,5.6,6.6,8,5.5,6.5,6.1,2.8,7.1,6.9,7.2,7.9
DNK,3.1,2.8,3.2,2.2,2.6,3.5,0.7,0.5,0.4,2.3,2.4,3.4,1.6,-0.8,-5.7,1.4,1.1,-0.4,0.4
DJI,-3.5,-4.1,-0.7,0.1,2.2,0.4,2,2.6,3.2,3.8,3.2,4.8,5.1,5.8,5,3.5,4.5,4.8,5.5
DMA,2,3.5,2.5,3.2,0.6,0.6,-3.7,-4,2.2,6.3,3.4,6.3,4.8,3.6,-0.8,-0.5,1.2,0.6,1.1
DOM,5.5,7.1,8,7,6.7,5.7,1.8,5.8,-0.3,1.3,9.3,10.7,8.5,5.3,3.5,7.8,4.5,3.9,4.1
ECU,1.7,2.4,4.1,2.1,-6.3,5.3,4,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.8,5.1,4.5
EGY,4.4,4.5,4,3.3,4.9,5.1,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,2.1
SLV,6.4,1.7,4.2,3.7,3.4,2.2,1.7,2.3,2.3,1.9,3.6,3.9,3.8,1.3,-3.1,1.4,2.2,1.9,1.7
GNQ,14.3,29.1,71.2,21.9,41.4,12.5,63.4,19.5,14,38,9.7,-16.2,21.9,16.8,0.8,-1.7,4.9,2.5,-1.5
