ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
DZA,,,,,,,,,13.4,,5.6,5.4,3.3
AGO,,,,,,,,25.2,,31,,30.6,20.4
ARG,5.7,11.5,13.1,9,7.4,6.6,11.3,15.9,11.4,12.3,17.1,14.2,12.9
AUS,9.4,5.6,9.6,11,7.4,9.7,,,,7.8,8.4,,
AUT,,,,,3.7,,1.8,,,,,8.1,
BGD,,,,,,,,,,,4.3,,
BRB,,,,,,,,,,,5.5,16.1,
BEL,2.8,1.5,2,2,2.4,1,2,1.7,2.5,3.3,4.5,2.6,3.4
BOL,,,,,,,,27.9,,36.5,,,
BIH,,,,,,,,6.9,3,4.2,5.2,5.1,7.1
BWA,,,,,,,,,,,,25.4,19.9
BRA,10.2,11.1,11.7,11.3,10.8,9.6,12.7,11,15.8,16.4,14.5,14.7,17.4
CAN,8,6.4,5.4,6.1,5.5,6,,,,,,,9.9
CHL,,9.5,16,,8.2,7,10.4,11.2,12.6,14.4,21,19.1,19
CHN,,10.3,11.6,,11.6,15,13.4,,16.5,12.4,22.4,11,12.2
COL,,,,,,17.3,18.8,19.1,19.9,18.4,16.3,17.6,17.3
CRI,,,,,,,,,,13.6,,10.7,
HRV,,1.8,1.4,1.7,2.6,4.9,5.1,4.5,2.8,3.9,4.7,4.9,5.1
CZE,,,,,,4.9,,,,,4.2,,4.1
DNK,4.3,4.2,2.9,3.2,3,3.3,4.6,2.7,2.5,2.3,2.9,3.1,
DOM,,,,,,,14.5,15.5,14.9,,,,
ECU,,,,24.4,,,,15.9,15.6,19,,27.4,32.6
EGY,,,,,,,,5.9,,4.4,,2.4,
SLV,,,,,,,,,,,,14.3,
EST,,,,,,,,,,,,9.7,9.4
ETH,,,,,,,,,,,,12.9,
FIN,6,3.5,1.3,3,4.4,4,4.8,4.5,4.2,3.9,4.3,4.1,4
FRA,3.5,2.1,1.6,3.8,3.3,2.5,2.2,3.3,2,4.8,2.9,4,3.1
DEU,3.9,3.4,3.3,2.6,3.8,2.6,,3.4,3.7,2.9,4.5,3.5,3.9
GHA,,,,,,,,,,37.1,,38,27.9
GRC,,,4,2.9,3.4,4.7,3.5,7.7,6,4.1,5.8,4.4,3.2
GTM,,,,,,,,,18,14.7,19.2,,10.5
HUN,7.9,4.4,,3.5,2.3,4.1,4.5,5.3,6.4,4.3,4.3,5.8,7
ISL,,7.9,7.6,9.5,6.4,5.4,7.4,7.2,8,7.1,,,
IND,4.9,12.3,,,,8.9,7.5,7.1,,,,,6.4
IDN,,,,,,18.7,,,,,,,25.1
IRN,,,,,,,,4.5,6.5,4.1,4.6,5.9,6.5
IRL,6.8,5.5,3.7,5,5.5,4.2,5.9,4,,3.9,4.2,4,6.4
ISR,2.3,3.1,,4.6,,,3.7,4,4.2,3.4,,5.5,6.6
ITA,9,4,3,2.3,3.7,3.1,3.3,2.8,1.8,2,,2.9,2.1
JAM,,,,,15.7,18.1,,14.4,19.4,9.2,12.6,,12.3
JPN,2,0.5,1.3,1.2,1.2,2.6,5.2,3,1.5,1.5,3.2,2.1,2.7
JOR,,,,13.2,,,,,4.5,,,,
KAZ,,,,,,,7.6,,,,,,
LVA,,,,,5,3.9,1.4,3.7,7.5,6.5,8.3,8.2,10.1
LBN,,,,,,,,,10.2,,,,
LBY,,,,,,,,,,,,,7.2
