ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
PNG,124,,,,,,,,,,,,,,,
PHL,,,,,,160963,,,,,,,,,,
POL,41112,23359,24824,28007,34004,40174,48949,62079,89303,95719,104838,112617,122213,126524,126036,
PRT,,,20853,,30650,34938,39108,42446,45268,46443,47944,48037,48373,,,
QAT,,,,268,,256,365,,,,,,,,893,
KOR,93834,106871,115551,125353,135548,144632,155805,164999,176367,185653,193471,200022,210184,221703,227846,
ROU,,19597,20576,21830,21606,25789,29161,30104,31688,35290,46497,48570,51114,56108,,
RWA,,,,,,,,,,,,,,,2340,
WSM,,,25,,,,,,,,,,,,,
SMR,,,67,,,,,,,,,,,,,
SAU,3735,5962,5395,6701,8102,9240,12121,13828,18870,28033,29858,31573,32521,37311,42434,
SRB,,,,,,,,,,16670,15716,14693,14092,14280,14412,
SLE,,,81,101,,,,,,,,,,,,
SGP,,,,,,,,,,,7360,8786,9231,11271,11749,13303
SVK,,9509,10414,11389,13873,15161,17740,20421,24443,29020,32764,34101,33084,30698,30553,
SVN,,4692,4795,4852,5024,5352,5593,6397,6748,6622,6882,7263,7709,8637,8627,
ESP,,111423,116141,119966,124053,127749,130698,147959,134513,154996,162945,167302,173228,180113,,
LKA,,,,,,,,,,,,,7450,8248,8951,
SWZ,,325,244,147,,,439,500,261,,,,,,,
SWE,,44134,44261,44971,48477,52778,56196,58281,58685,58765,59412,60721,62450,63277,,
CHE,,9023,9138,9310,9866,11320,12397,13375,14374,16399,22755,24139,23847,25182,,
TJK,,,,,,,,,,,,,,,16528,
TZA,,381,,,,,,,,,,,,,1301,
THA,,,,,,,,,,,,,,104297,,
TTO,,,555,588,594,,1065,,,,,,,,,
TUN,,,,,,,,,,,,,14110,,,
TUR,70047,,,50192,54292,58618,76478,68258,79898,83524,86286,102787,128909,109494,,
UGA,,578,1401,865,,,1556,,,,,,,,,
UKR,,,,,,,,,,,,,,127520,,
GBR,,,,324377,346594,298463,321584,333362,343279,291728,327325,334131,337308,334114,,
USA,,,,,,,,,,,2318610,2289080,2444870,2511040,,
URY,,,,,,,,,,16273,16431,16605,,,,
UZB,,,,,,,,,9085,8621,8655,9668,9598,9193,,
VEN,,,,,,,,,,,151594,,,,,
VNM,,7848,7858,,11036,11873,,,,21434,29964,36759,46365,50128,,
ZMB,225,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,6841,890,878,
ECZ,,,,,,,,,1590600,1665480,,,,2362850,,
HIS,,,,,,,,,,,4509410,4568550,4848480,5421370,,
LCS,,,,,,,722669,919192,,1262140,1572350,1473580,1519720,,,
NAS,,,,,,,,,,,2318610,2289080,2444870,2511040,,
# Series: TEDHEWFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, health and welfare, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
