ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
KWT,2776,139335,139706,102708,102676,102726,109661,129860,132885,3206,1760,1453,1503,94665
KGZ,10609,9296,8362,6226,4209,3096,11940,10813,20961,25467,304053,210618,192685,12181
LVA,12,10,18,17,11,20,24,372667,365485,344358,327027,312687,297,268129
LBN,2672,2815,2821,3065,1753,2547,753414,250919,50943,51020,9480,15576,135852,862526
LSO,,,,,,,,,,,,37,37,25
LBR,69315,54760,371718,580613,513773,318343,361886,50735,19797,11312,27898,132476,96941,54918
LBY,2043,2036,11696,11955,12366,,4754,6876,11547,12322,11117,106590,73042,85748
LIE,,,,,,,25,,,,,151,124,116
LTU,189,327,569,,,,,1584,6751,4765,4548,4368,5001,4829
LUX,,,,,,,,,,,3950,1694,,1019
MKD,8977,20788,12298,2215,3216,2120,1924,1860,1772,3402,3132,2673,2748,2802
MDG,,,,,,,,,,,,11,10,6
MWI,3900,6200,13234,12052,7015,9571,9188,9711,10716,11286,12819,16853,16664,16935
MYS,287,50466,52183,78682,97444,106080,107670,140825,147312,177734,212857,217618,221836,260552
MLI,9260,9243,9814,10721,12341,13033,12469,11113,11494,15244,15261,18121,14168,28863
MLT,,,,,,,,3821,,3999,3224,3439,1628,4649
MRT,350,365,405,29975,29973,30224,30361,30496,34138,38925,28343,28184,84030,93612
MEX,18451,15467,12985,6157,4748,3390,3455,1665,1073,1331,1567,2026,1884,1829
MNG,,,,,,2,7,8,11,387,43,298,233,18
MNE,,,,,,,23132,24685,26242,25526,18042,21162,20096,20020
MAR,391,2091,2245,2298,2298,2066,,1457,1235,1091,1072,1351,2922,4973
MOZ,2278,5522,7200,,5520,5949,6874,6928,7619,7723,9991,13681,12598,15048
MMR,,283,760,,210,236495,669500,790861,790861,790861,859403,1147280,1238480,1212380
NAM,27740,32718,23415,21789,14773,6206,6486,7783,8140,8537,8703,7009,2895,5177
NRU,,,,,,,,,,,,,379,
NPL,129250,130958,132447,134610,136318,138636,3640040,1032460,925873,109806,891319,874123,56734,46954
NLD,,,,,,,,,,,13047,10420,,
NZL,,,,,,,,,,,,2174,276,1711
NIC,332,346,341,310,293,228,208,209,147,121,76,92,140,187
