ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,,,,,,20.1,
ALB,,,,,,,,23.3,,,,,,23.9,,,
AGO,,,,,,,,,,,,,,18,,,
ARM,22.5,,,,,,,,,,,,23,,,24.1,
AUS,28.6,,,,,,,,,,,30.5,,,,,
AUT,25.6,,,,,,,,,,,,,27.8,,28.2,
AZE,23.8,,,,,,,,,,,,23.7,,,23.7,
BGD,,17.4,,,,,,,,,,,18.1,,,,
BLR,22.9,,,,,,,,,,,,24.2,24.4,,,
BEL,27.5,,,,,,,,,,,27.7,,,,,
BEN,,19.8,,,,,,,,,,20,,,,,
BOL,,,,,,,,,20.9,,,,,,,,
BIH,,,,,,,,,,,,,24.8,24.9,,,
BWA,,,,,,,,,,,,,19,,,,
BRA,,22.1,,,,,,,,,,,,,,,
BGR,22.2,,,,,,,,,,,,25.3,,26.6,,
BFA,,,,19.1,,,,,19.3,,,,,,,19.4,
BDI,,,,,,,,,,,,,,,,21.3,
KHM,,,,,,,,,,,21.8,,,,,22.8,
CMR,,,,19,,,,,,19.4,,,,,,,
CAN,29.4,,,,,,,,,,,,27.6,,,,
CAF,19.4,,,,,,,,,,,,,,,,
TCD,,18.2,,,,,,,,18.2,,,,,,,
CHL,,,,,,,,,,23.7,,,,,,,
COL,22.4,,,,,,,,,,21.6,,,,,21.4,
COM,,22.4,,,,,,,,,,,,,,,
COG,,,,,,,,,,,19.8,,,,,,
CIV,,,,19.5,,,,,,,,,,,,,
HRV,25,,,,,,,,,,,,26.8,27.1,,,
CYP,25.5,,,,,,,,,,27.5,,,,,,
CZE,22.9,,,,,,,,,,,,27.1,,27.4,,
COD,,,,,,,,,,,,,20.2,,,,
DNK,27.4,,,,,,,,,,28.4,,,,,,
DOM,,21.2,,,,,,,,,,,20.3,,,,
ECU,,,,,21.6,,,,,21.1,,,,,,,
EGY,22,,,,,,,,,,,,,22.9,,,
SLV,,,,20.5,,,,,,,,,,20.8,,,
ERI,20.9,,,,,,,20.6,,,,,,,,,
EST,23,,,,,,,,,,,,25.4,,26.1,,
ETH,,,,,,,,,,,20.1,,,,,,19.6
FIN,27.2,,,,,,,,,,27.9,,,,28.2,,
FRA,28.1,,,,,,,,,,,28.6,,,,,
GAB,,,,,,18.7,,,,,,,,,,,
GEO,23.5,,,,,,,,,,,,24.1,23.7,,,
DEU,28.1,,,,,,,,,,,,,30,,,
GHA,,,,,,,,,21.1,,,,,21.8,,,
GRC,26.6,,,,,,,,,,,,29.2,,,,
GTM,20.2,,,,,,,20.2,,,,,,,,,
GIN,,,,,18.6,,,,,,18.8,,,,,,
GUY,,,,,,,,,,,,,,,20.8,,
HTI,21.9,,,,,,,,,,22.2,,,,,,
HND,,,,,,,,,,,20,,,,,,
HUN,23.4,,,,,,,,,,,,27.6,,27.4,,
ISL,24.9,,,,,,,,,,,26.4,,,25.9,,
IND,,,,19.5,,,,,,,19.9,,,,,,
IDN,,,,,,,,,,,,,22.5,,,,
IRL,27,,,,,,,,,,,28.8,,28.9,,,
ISR,,,,,,,,,,,,,,27,,,
ITA,28,,,,,,,,,,,,29.9,,,,
JPN,27.5,,,,,,,,,,,,29.4,,,29.9,
JOR,,,24.7,,,,,24.8,,,,,,,24.9,,
KAZ,22.2,,,,,,,,,,,,24.7,24.9,,,
KEN,,,,,,,,,20.1,,,,,19.8,,,
KGZ,21.9,,,,,,,,,,,,23.5,23.4,,,
LVA,23.5,,,,,,,,,,,,25.4,25.6,,,
LSO,,,,,,,,,,20.7,,,,,21.2,,
LBR,,,,,,,,,,,,,19.1,,19.1,,
LTU,23.2,,,,,,,,,,,,25.4,,26.1,,
LUX,27.9,,,,,,,,,,,,,29.3,,,
MKD,23.5,,,,,,,,,,,,25.4,25.6,,,
MDG,,,19.8,,,,,,19.8,,,,,19.5,,,
MWI,,,,,,,,,,19,,,,,,18.9,
MDV,,,,,,,,,,,,,,,23.9,,
MLI,18.6,,,,,,,,,,,18.6,,,,,
MLT,25.8,,,,,,,,,,,,,26.5,,,
MRT,,,,,,21.9,,,,,,,,,,,
MNG,,,,,,,,,,,,,,22.3,,,
MNE,,,,,,,,,,,,,25.8,25.5,,,
MAR,24.9,,,,,,,,25.4,,,,,,,,
MOZ,,,18.7,,,,,,18.8,,,,,,,,
MMR,,,,,,,,,,,,,21.83,,,,
NAM,,,,,,,,,,,,21.4,,,,,
NPL,,19.4,,,,,,,,,,19.6,,,,,20.1
NLD,28.4,,,,,,,,,,28.9,,,,29.2,,
NZL,29.2,,,,,,,,,,,,,27.7,,,
NIC,,,,19.8,,,19.6,,,,,,,,,,
NER,,,,,,,,,,,,18,,,,,
NGA,,,,,20.4,,,,,,,,,20.9,,,
NOR,26.5,,,,,,,,,,,,,28.1,,,
OMN,,,,,,18.6,,,,,,,,,,,
PAK,,,,,,,,,,,,22.7,,,,,
PRY,,,,,,,,,,21.8,,,,22.9,,,
PER,,21.9,,,,,,,,,,,22.3,,,,
PHL,,,,,,,,,,,,,,23.1,,,
POL,23.8,,,,,,,,,,,,25.8,25.9,,,
PRT,25.8,,,,,,,,,,27.4,,,,27.9,,
KOR,,,,27.1,,,,,,,,,,29.6,29.9,,
MDA,22,,,,,,,,,,,22.5,,23.1,,,
ROU,22.7,,,,,,,,,,,,25.3,25.5,,,
RUS,22.6,,,,,,,,,,,,,,24.6,,
RWA,,,,,,,,,,,21.7,,,,,22.9,
WSM,,,,,,,,,,,,,,,23.6,,
STP,,,,,,,,,,,,,,19.4,,,
SEN,,,,,,,,,,,21.2,,,,,21.4,
SRB,24.3,,,,,,,,,,,,26.2,26.5,,,
SLE,,,,,,,,,,,,,,19,,,
SGP,,,,28.6,,,,,,,,,,29.4,,29.8,
SVK,21.8,,,,,,,,,,,,26.3,,26.7,,
SVN,25.1,,,,,,,,,,,,28.1,,28.9,,
SLB,,,,,,,,,,,,,21.6,,,,
ZAF,,,,20.9,,,,,22.5,,,,,,,,
ESP,28.4,,,,,,,,,,,29.3,,,,,
LKA,,,,,,,,,,,,25.4,,,,,
SWZ,,,,,,,,,,,,19.5,,,,,
SWE,27.2,,,,,,,,,,28.6,,,,,28.9,
CHE,28.1,,,,,,,,,,29.5,,,,30,,
TJK,21.8,,,,,,,,,,,,,,,,
TZA,,19.4,,,,,,,,19.6,,,,,,19.6,
THA,,,,,,,,,,,,,,,23.3,,
TLS,,,,,,,,,,,,,,,22.1,,
TGO,,,,20,,,,,,,,,,,,,
TUR,,,,,,,,,22.9,,,,,,,,
TKM,24.1,,,,,,,,,,,24.6,,,,,
UGA,18.9,,,,,,,,,,,18.8,,,,,
UKR,,,,,,,,,,,,23.2,,25.8,,,
GBR,,,,,,,,,,,,30,,,,,
USA,24.5,,,,,,,,,,,25,,,,,
UZB,22.2,,,,,,,,,,,23.8,,,,,
VNM,,,22.6,,,,,22.6,,,,,,,,,
ZMB,,19,,,,,,,,,,,19.2,,,,
ZWE,,,,,,,,,,,20.1,,,,,20.5,
ACE,24.8119,,,,,,,,,,,,,,,,
HIA,26.1848,,,,,,,,,,,,,,,,
ASA,26.95,,,,,,,,,,,25,,,,,
ASE,,,,19.5,,,,,,,19.9,,,,,,
ECM,24.1,,,,,,,,,,,,,,,,
HIM,26.6,,,,,,,,,,,,,,,,
NAN,24.5,,,,,,,,,,,25,,,,,
SAM,,,,19.5,,,,,,,19.9,,,,,,
ECE,19.9398,,,,,,,,,,,,,,,,
HWW,22.2898,,,,,,,,,,,,,,,,
NAE,24.9857,,,,,,,,,,,22.5408,,,,,
SAE,,,,14.5948,,,,,,,14.8465,,,,,,
# Series: MAFBFWFR,,,,,,,,,,,,,,,,,
# Name: Mean age at first birth,,,,,,,,,,,,,,,,,
# Definition: The mean age at first birth is the mean age of mothers at the birth of their first child if women were subject throughout their lives to the age-specific fertility rates of first order births in a given year.,,,,,,,,,,,,,,,,,
"# Source: United Nations, World Fertility Report, 2012",,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
