ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
HUN,81768,91071,100617,117122,127926,141667,149487,158532,169090,180424,181355,182223,179819,173931,171775,169169,168595,169435,
ISL,3135,3082,3282,3242,3202,3682,3801,4262,4850,5219,5323,5605,5673,5915,6044,6598,7118,,
IND,3234130,3642700,3861860,,,5852430,6032550,6441310,6952630,7325330,7135720,7723310,9047440,,11227800,12444600,15521200,,
IDN,1375330,1499890,,,,1675410,1724800,1717480,1930340,1994860,,1928780,1929580,2323020,2503940,2667460,2892040,3066600,
IRN,,663632,,,740058,768907,825825,798076,844455,951000,1042610,1162190,1346340,1595920,1641190,1915890,2078920,2213200,
IRQ,,,,,178628,190364,,209755,,263332,271197,,,,,,,,
IRL,61552,63371,65084,67465,70237,73707,75442,79123,80402,84374,84060,83455,85306,81723,84126,92371,94768,94666,
ISR,,,,102680,104624,109265,117325,130378,133588,133101,136845,139312,144461,144384,151883,160124,161014,,
ITA,851678,835434,870727,816345,805791,787334,797372,811223,837099,869908,875191,873532,869672,857341,851227,839315,833400,818593,
JAM,,,,,,12587,14093,14145,,,,,,19177,19162,22363,21924,26373,
JPN,2192510,,,2196200,2180260,2195000,2190470,2176790,2168880,2183210,2185170,2219680,2193580,2136960,2100320,2073900,2094580,2088790,
JOR,,53323,60025,,,69092,,83106,91133,104414,108295,106463,112848,123951,129934,118218,119321,144862,
KAZ,216449,188641,,,151011,170254,203929,232671,261444,282745,315439,328152,323254,301012,264696,254736,265455,270845,
KEN,,,,,,57750,61657,63928,,67787,71222,,,,98775,,,,
KWT,10494,11014,11266,,12728,,12777,13568,13198,13165,,,,,,,,,
KGZ,39257,42712,47822,58135,64603,80215,93728,98370,92408,94356,98632,103601,105090,115640,114571,113553,115839,,
LAO,5658,8206,8887,7230,8196,9351,10628,14817,18064,20945,27901,34019,43854,50796,63678,67556,72962,69966,
LVA,,,22733,28852,31503,33387,39259,42509,45541,48183,48131,48115,46726,45475,45555,41936,40428,39194,
LBN,,41428,,,56172,56007,64461,67264,66215,73798,78257,81070,86050,89166,92514,93770,102265,97150,
LSO,1963,2105,,,1467,1706,1818,2100,2363,,3415,3810,,,,,,10355,
LBR,,,,,16817,33808,,,,,,,,,,22012,,27165,
LBY,,,,,158479,149019,161770,174522,182307,,,,,,,,,,
LIE,,,,,,,,,321,390,375,443,459,536,515,494,661,,
LTU,29605,30605,34079,38276,42963,48812,54587,58841,66997,73064,77912,79711,79844,82107,85908,81720,76738,72753,
LUX,,,,,,,1187,,1437,,,1303,,1558,,2585,,,
MKD,13365,13504,14016,14564,15782,16597,17783,20019,20003,20043,21377,20957,26471,30637,30659,29260,31613,29573,
MDG,16359,15884,14711,16797,16736,17208,16738,17443,19381,22198,23803,26563,30927,32763,35935,38887,44305,46963,
MWI,3770,3876,,,2303,2596,,3209,,3739,3757,4181,4287,,,6385,7424,,
MYS,,,,216246,236729,269127,254688,284070,310418,326037,306419,332935,355775,407488,444373,461546,458394,,
MDV,,,,,,,,,22,,,,1707,2456,,,,,
MLI,7028,7993,11042,11085,12777,13431,14647,15162,,,,,39359,46756,54516,57895,60519,69199,
MLT,3011,3153,3099,3540,3374,2949,3354,3128,3849,3470,4122,3833,4176,3988,4500,4733,4998,5353,
MHL,,,,,,,,393,,,,,,,,,,680,
MRT,6447,7010,7803,7732,8432,,7516,6436,7025,7092,6608,7552,,8616,8994,10434,11513,12634,
MUS,3101,,3870,,6012,6535,8377,8558,8886,9040,10194,11175,10684,11558,14088,15297,15739,17415,
MEX,757065,806320,842924,897297,950231,1006540,1043430,1087860,1126300,1162280,1186420,1217200,1257060,1304610,1346310,1423170,1497390,1594750,
MNG,,11714,13576,16179,22892,26777,31280,33179,36822,41554,47775,54238,56228,59270,63868,65823,69239,71835,
MNE,,,,,,,3596,3375,3442,3798,4381,5191,6925,8831,10176,10876,,,
MAR,173460,,183591,148747,159026,159477,174617,177416,185069,186552,201323,210933,193549,211456,222518,235554,,,
MOZ,4957,5396,,,,,,,11687,15230,18922,,,46351,51734,,69609,,
MMR,94496,,,129075,,,,,,,,,213596,,,,280112,,
NAM,4440,,4184,5238,,,7252,4646,5517,,7225,7023,,8506,,,,,
NPL,,,,,,68400,,95024,94696,106546,117877,128880,,171643,174441,223669,224930,,
NLD,265644,258307,242954,237018,238256,244015,249503,254765,258051,266843,276902,283235,286478,291177,297954,313519,375790,385503,
NZL,73028,71465,72433,67019,68575,70878,73486,76256,81031,101201,99042,97471,100305,101609,110655,111596,110427,108419,
NIC,24703,,26801,,,,,48014,49585,,,,,,,,,,
NER,,,,,,,,,6444,6368,7607,8223,7768,9032,11358,12009,12761,15706,
NGA,,,,,397093,,,,740536,764622,825020,,,,,,,,
NOR,78426,80663,81096,79237,79873,79391,77451,79519,85518,86428,86484,86426,85565,83297,85362,88060,91117,95028,
OMN,4993,5124,6613,8894,,,,21377,21536,20023,23842,27688,30340,,38045,39056,44228,,
PAK,,,,,,,,,227962,298311,429370,455215,529767,540362,680317,,838094,952652,
PLW,,,,,,185,175,177,,,,,,,,,,,361
PAN,,,,40993,42709,44878,44320,44528,51236,49347,49042,51129,52287,54111,54604,56039,53366,,
PNG,9810,9847,,6356,6445,,,,,,,,,,,,,,
PRY,,19232,,,28271,35789,41324,62132,61384,64588,74214,,78179,93674,98614,95141,,,
PER,,,,381350,,,422085,406557,410315,448518,454805,467748,,,,584386,,,
PHL,805926,875312,,908943,995158,,1181070,1096320,1085890,1085300,1100500,1130900,,1207870,1199250,,,,
POL,371656,426161,491363,514075,601355,670798,745093,802557,836717,867778,900009,914059,915136,918787,905430,877187,834920,805777,
PRT,130368,139019,,154711,157346,162524,166661,170488,173971,173567,168884,164520,168821,175177,174000,179151,,181515,
QAT,2236,2304,2280,2369,2500,,2090,2153,2130,2654,3082,3295,3871,4548,4707,5123,5498,6019,
KOR,1342730,1443390,1601480,1713230,1839580,1933480,2002360,2041980,2045150,2036620,2020010,2002730,1990220,1972200,1968300,1982260,2026010,2019440,
MDA,46830,38950,42348,,45756,45453,45548,46709,49833,51656,53876,61229,63342,59816,57734,56723,55906,54915,
ROU,134904,167077,177677,180480,199674,218049,247847,265778,294238,310027,335109,372229,407466,461253,480092,435520,383805,,
RUS,,,,,,,,,3497790,3698570,3866320,3947740,4044870,4078800,4046160,,3785340,3594650,
RWA,,,,,,,8493,10497,12896,15368,,,,,31174,35242,41875,39491,
KNA,,,,,,,,,,,,,,281,,,,,
LCA,,768,,,,,,,,508,576,251,422,780,772,547,956,532,
WSM,,,,814,983,658,,,,,,,,,,,,,
SMR,,,,,,397,,,,,,,,396,,392,386,380,
STP,,,,,,,,,,,,,,,369,392,,771,
SAU,123379,130579,146530,142248,169312,178099,195052,196519,219356,236883,253515,268080,305567,323903,343337,429842,497705,611861,
SEN,,,,,,,,,,,,42746,46544,59110,59493,57796,,,
SRB,,,,,,,,,,,,,106722,105986,105606,101328,101377,102441,
SYC,,,,,,,,,,,,,,,,,49,26,
SLE,,,,,,3695,6367,6439,,,,,,,,,,,
SGP,46759,,,,,,,,,,,,,94553,101116,107608,119986,122851,128005
SVK,41879,46129,50664,55261,59351,67424,70100,72919,74216,75643,81085,83762,89608,91120,92896,94400,91382,89356,
SVN,18903,20903,23496,30509,34785,36806,40171,42129,44421,45029,47343,47784,48356,48322,48087,48428,42182,43959,
ESP,724952,751339,794088,819176,839157,860798,871543,858721,862526,849597,837234,825575,817146,818747,826395,865648,899560,911887,
LKA,,,,,,,,,,,,,,,,92181,88022,102478,
SDN,,,,,81896,82448,108596,124349,119935,150458,172735,193895,193895,229185,235124,242544,259217,261924,
SUR,,,,,,,,1973,,,,,,,,,,,
SWZ,,2731,,,2543,2439,,2358,2446,3136,2833,2859,,,,,4401,,
SWE,110980,116754,121617,122831,142163,144916,146552,155169,167566,173770,172398,170832,165816,161570,168460,184736,189561,182626,
CHE,93000,92278,,89957,91155,89993,93626,96496,103707,107880,107751,108760,111703,113873,117535,126280,130782,136700,
SYR,126986,,,,,,,124956,132231,159997,194515,227335,257976,280115,282897,313544,292767,,
TJK,,,,,66895,71372,73933,76595,85495,95054,101332,111511,120699,125901,125885,128630,126116,128281,
TZA,10701,12270,14302,12707,14897,15916,16707,17702,21514,30421,34774,,,,,46721,,107311,
THA,,,,,845581,872038,992732,1033100,1038590,1043410,1123440,1145000,1139710,1118640,1104850,1072440,1105880,1058800,1032340
TLS,,,,,,,,2992,,,,,,,10033,10900,,,
TGO,9686,9894,,11894,,,,,,,,,,,,,,51570,
TON,,,,,164,,,237,264,,,,,,,,,,
TTO,,,,,3225,3149,3447,4876,4796,7466,,,,,,,,,
TUN,58452,63392,67509,74123,80602,,107533,104293,118740,126946,133257,138188,133611,144474,145841,152814,,141645,
TUR,724528,,929945,852476,884144,,951383,983564,1107850,1156060,1224430,1350660,1409120,1441720,1649660,1962630,2093480,2375200,
UGA,20406,23231,,,26586,36890,41011,49261,55176,54446,,52507,,59976,68972,,228275,,
UKR,,,,790267,821162,859266,915853,995292,1060970,1135930,1196630,1256400,1289160,1298420,1265580,1199450,1207140,1141160,
ARE,,,,,,,,,,,,,31950,35066,39343,43350,50561,54216,
GBR,889402,901733,911791,917556,973987,932284,939743,1002880,1008850,965426,979179,996937,1010390,996455,1039160,1076840,1087830,1091380,
USA,6371900,6342540,,5891740,6106320,5840760,5999140,6960820,7202120,7255550,7387260,7455920,7574820,7815910,8188900,8769500,9044810,9026500,
URY,,,,33909,33740,33740,35097,34105,34077,34969,41152,43149,58917,60633,60277,61175,,,
UZB,,,,,163927,167735,179869,192591,204262,212673,157583,166022,170388,179798,179075,173516,170483,,
VUT,,,,,,,,578,583,610,,,,,,,,,
VEN,,,,,,276465,,451382,481539,,,,,798887,,,,,
VNM,,,,439823,462443,427274,434103,448816,472850,,800187,738630,804219,847213,904337,1025710,1127240,,
YEM,,,57451,,130098,,,145752,144496,141704,147652,146238,169067,177035,,191084,187439,,
ZMB,,,,15520,15830,16786,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,,,,52048,52481,52606,
EAZ,,,,,,,,,18186900,19189100,19350700,22586900,22602500,24579600,26086100,25947800,26679100,25370700,
ECZ,8102050,7652420,8104510,7871020,8863940,8262900,9562790,9931680,13922000,14373500,14927900,15407400,15770800,15597800,15797500,12462600,17610800,16959500,
HIS,18288800,16254900,,16889100,17660400,17605200,17291600,18823700,22809700,23162300,23671900,23891700,24222400,24252200,24785900,22011700,27471900,27184000,
LCS,,,,3101840,3587400,4192260,4411160,5543900,5901140,5673170,5913810,,6409880,7810050,6841220,7855940,7465960,6659050,
LIS,,,,,,999526,,1156580,1171720,1296650,1330730,,,2123960,2708580,,3682840,,
LMS,5984800,6250940,,,,9576640,12311900,13292400,14920200,15203500,14217200,16021300,17084100,,20972400,20849800,24542800,,
MES,,,,,,,2873010,3524970,3313500,4051530,4265090,4198330,4642790,4457620,4961610,5608270,5255190,4975290,
NAS,7212880,7167300,,6420630,6643660,6373980,5999140,6960820,7202120,7255550,7387260,7455920,7574820,7815910,8188900,8769500,9044810,9026500,
SAZ,3234130,3642700,3861860,,,6412740,6613820,7117870,7892560,8314400,8291950,8996610,10327400,,13160900,12763900,17946200,,
SSS,,,,,776712,,,,,1380000,1542850,,,,,,,,
UMS,,,,,,,,,18758900,20574900,22459700,22027700,25282100,27341900,28346700,30506300,30573200,29846000,
WLD,41182600,42986500,44423300,45689300,48309000,50674800,54265500,58760100,62639700,66205600,69231200,72659300,76559600,80786600,84637700,89267900,94115500,96751800,
HIC,20628300,20951000,20983100,20766500,21570100,21796100,22650800,24294300,24869300,25329600,25845700,26096700,26466700,26835600,27361200,28186400,28627600,28690500,
LIC,1246500,1288700,1332050,1378760,1456710,1610300,1854010,1968620,2109150,2178450,2336400,2583660,2828540,3172830,3556140,4035840,4430220,4513390,
LMC,8813870,9648790,10427900,11394900,12528600,13407400,14008600,14684700,15555800,16572100,16956600,17674600,19484700,21485400,22738700,24442000,27812800,29135900,
UMC,10640100,11245100,11829100,12299600,12904900,14012900,15904500,17967800,20262900,22281600,24250400,26464400,27958000,29507800,31202300,32836600,33479400,34646900,
# Series: TEDALLMA,,,,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, all programs, male",,,,,,,,,,,,,,,,,,,
"# Definition: Number of males enrolled in tertiary education, per program",,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
