ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
VNM,,,,,,,,,,,,,16.8
YEM,,,,,,,,,29,,,,
ZMB,,,,,,,,,,35.4,,42.9,39
AAE,,13.5,11.16,,14.35,13.175,16.8667,,10.4,17.3167,12.4429,11.6167,14.5556
ACE,,7.38947,,,,8.25238,8.028,9.04348,8.05238,8.36539,10.05,10.3103,10.2214
GEA,,,,,,11.3214,,,,,,,15.5554
HIA,10.6591,9.31852,8.92083,8.572,9.44615,8.69259,8.48846,9.45652,9.132,8.52069,11.1656,11.1939,11.5939
AME,,17.325,,,14.9,19.1125,19.8625,20.4364,19.0917,19.6,20.2308,19.1846,21.8308
LMA,,,,,,16.4333,,,,,,,23.875
ANE,,,,,,,,,16.3545,,,,
ASA,12.95,12.8,13.35,11.7,14.15,10.5,12,12.7,10.1,8.2,14.3,15.2,14.85
ASE,15.7,19.6,,,,11.2,9.5,15.7,,,,,13.2
UMA,,13.7571,17.6,,13.3778,15.9583,16.8154,,15.5,15.28,16.5333,16.5957,17.4227
EAM,,13.6,13.6,,13.7,14,19.3,,5.1,7.8,11.7,10.8,15.8
ECM,,6.6,,,,7.9,7.7,8.8,7,7,9.6,9.4,10.2
GEM,,,,,,9.3,,,,,,,13.5
HIM,9.3,7.5,8.8,8.2,7.4,7.9,7.6,8.8,8,7.2,10,9.4,10.8
LCM,,16,,,11.8,13.9,17.5,17.2,18,18.1,21.2,19.7,19.7
LMM,,,,,,18.3,,,,,,,19.1
MEM,,,,,,,,,15.8,,,,
NAN,12.6,12.6,11,11.5,13.1,8.3,12,12.7,10.1,8.2,14.3,15.2,14.6
SAM,15.7,19.6,,,,11.2,9.5,15.7,,,,,13.2
UMM,,14.6,14.3,,11.8,13.7,17.5,,16.1,13.2,15.3,15.6,15.8
EAE,,9.8941,9.32973,,10.8029,14.3505,12.9671,,13.5302,10.6816,17.1586,10.2101,15.2557
ECE,,3.72311,,,,5.007,4.44924,4.91699,3.93648,4.97161,6.68846,7.35202,5.52691
GLE,,,,,,8.92959,,,,,,,11.7659
HWW,8.23842,7.88002,7.07505,6.47591,7.3039,7.20759,5.98747,7.4984,6.53713,6.2715,8.96141,9.1593,9.23411
LCE,,10.0455,,,7.95988,11.5715,10.9561,14.142,12.3695,15.2741,14.8693,14.3229,16.7089
LMW,,,,,,8.24448,,,,,,,13.6792
MEE,,,,,,,,,11.254,,,,
NAE,13.2314,12.9608,15.2388,11.8607,14.9935,12.2672,10.8188,11.447,9.10027,7.38522,12.8751,13.6801,15.0499
SAE,11.7242,14.6299,,,,8.35687,7.09006,11.7205,,,,,9.85797
UMW,,10.9151,10.316,,11.6619,13.4611,14.8836,,16.1383,14.2665,20.2315,14.2223,14.7848
# Series: ESEAMGEM,,,,,,,,,,,,,
"# Name: Early stage entrepreneurial activity, Male",,,,,,,,,,,,,
# Definition: Percentage of male 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,
# Source: Global Entrepreneurship Monitor (GEM),,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,
