ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NLD,,186018,195952,202969,209308,215750,219302,225124,217163,218504,224667,233176,248574,306558,,
NZL,46807,46444,50387,51533,56095,61480,107697,103363,82690,81790,80333,88931,92852,90370,,
NER,,,,,,,,,4335,3797,6652,8689,9829,10538,7582,
NOR,50232,48583,52338,52090,56152,66228,69901,68918,,69501,67120,71041,71030,72951,,
OMN,,,,,,,,,,,,,,18862,,
PAN,,,,,49881,55561,52234,49069,51861,54705,55124,56393,58117,49235,,
PNG,755,,,,,,,,,,,,,,,
PHL,,,,,,744048,678362,,,,,,,,,
POL,458060,571474,681454,771377,825958,829961,831554,844085,877299,865403,873635,876155,852809,796379,740318,
PRT,,,133011,,126549,126827,124082,119471,115808,117209,120405,119303,121926,,,
QAT,,,,2930,,3172,4489,,,,,,,,4621,
KOR,547468,572006,624265,633997,629956,658032,676581,685292,691884,703135,711790,722442,737356,749565,748991,
ROU,,166932,189723,230509,254453,279357,304836,347858,417599,473551,592110,628795,549369,427217,,
RWA,,,,,,,,,,,,,,,40047,
WSM,,,402,,,,,,,,,,,,,
SMR,,,335,,,,,,,,,,,,,
SAU,21328,53880,30542,45166,58445,55374,86456,87964,105734,114170,121780,129039,161544,233312,292277,
SRB,,,,,,,,,,96635,94624,94576,88633,86914,85265,
SYC,,,,,,,,,,,,,,58,21,
SLE,,,391,982,,,,,,,,,,,,
SGP,,,,,,,,,,,62542,70461,79387,91220,96500,104163
SVK,,30861,34722,38068,41459,43953,44841,49939,56056,64062,67268,70774,72098,70071,67607,
SVN,,33787,35186,39303,42707,44837,45097,49207,49903,48310,45372,43437,43025,37134,34962,
ESP,,679115,673970,651258,630467,616679,609115,582472,570202,561571,564727,572817,590826,608467,,
LKA,,,,,,,,,,,,,57588,41691,54439,
SUR,,,,,1820,,,,,,,,,,,
SWZ,,1443,1561,1545,,,2334,2019,2590,,,,,,,
SWE,,83148,88311,91704,98582,108259,113383,112907,110665,108614,106234,111530,123679,125130,,
CHE,,54316,55999,59922,63996,71415,75276,75507,76022,78949,81282,84530,90634,92129,,
TJK,,,,,,,,,,,,,,,44510,
TZA,,6968,,,,,,,,,,,,,68391,
THA,,,,,,,,,,,,,,1337270,,
TTO,,,1618,2142,,,4475,,,,,,,,,
TUN,,,,,,70356,,,57062,,,,91873,,,
