ISO,1997,2002,2007
AFG,14.139,14.397,14.74
ALB,17.158,18.366,18.095
DZA,16.549,16.649,16.774
AGO,13.638,14.455,14.793
ATG,18.267,18.915,19.564
ARG,17.342,17.647,18.173
ARM,16.229,16.915,17.365
AUS,20.321,21.683,22.927
AUT,18.859,20.172,21.126
AZE,15.488,15.562,15.948
BHS,18.687,19.613,20.165
BHR,17.654,18.171,18.679
BGD,17.367,17.455,17.534
BRB,16.886,17.151,17.413
BLR,13.225,13.091,13.464
BEL,18.853,19.732,20.785
BLZ,18.054,18.804,19.338
BEN,14.334,14.439,14.856
BTN,17.107,18.095,19.197
BOL,16.52,16.9,17.34
BIH,16.954,17.518,17.935
BWA,14.062,13.64,13.807
BRA,18.381,18.96,19.5
BRN,18.739,19.177,19.608
BGR,15.585,16.015,16.289
BFA,13.522,13.883,14.461
BDI,14.577,14.844,15.113
KHM,18.174,19.981,21.99
CMR,15.356,15.349,15.542
CAN,19.915,21.051,21.998
CPV,15.84,16.238,16.756
CAF,14.406,14.472,14.648
TCD,14.401,14.542,14.775
CHL,19.06,20.34,20.71
CHN,16.641,18.135,18.522
COL,18.52,19.02,19.46
COM,14.532,14.716,14.902
COG,15.576,15.607,15.975
CRI,20.75,21.3,21.61
CIV,13.538,12.688,13.414
HRV,16.736,16.911,17.451
CUB,19.936,20.442,20.954
CYP,19.259,19.535,19.807
CZE,16.325,17.286,18.315
PRK,12.214,13.053,13.229
COD,14,14.291,14.383
DNK,18.166,19.224,20.274
DJI,16.026,16.204,16.462
DOM,19.53,19.84,20.1
ECU,20.82,21.59,21.74
EGY,15.643,15.694,15.783
SLV,19.37,19.96,20.47
GNQ,14.465,14.578,14.934
ERI,11.765,12.349,12.811
EST,14.819,15.417,16.209
ETH,15.048,15.736,16.612
FJI,14.521,14.696,15.017
FIN,18.485,19.671,20.725
FRA,19.856,20.792,21.883
GAB,16.887,16.932,17.319
GMB,14.077,14.283,14.478
GEO,16.647,17.027,17.161
DEU,18.632,19.802,20.848
GHA,14.354,14.311,14.877
GRC,19.981,20.672,21.268
GRD,15.719,16.257,16.83
GTM,18.39,19.79,20.01
GIN,14.466,13.886,14.232
GNB,14.103,14.433,14.308
GUY,14.336,14.474,14.94
HTI,15.19,15.342,16.144
HND,19.326,19.664,19.996
HUN,15.265,16.07,16.608
ISL,20.373,21.87,22.401
IND,14.88,15.294,15.713
IDN,15.689,16.02,16.348
IRN,17.672,18.451,18.794
IRQ,16.955,16.725,15.587
IRL,17.671,19.227,20.899
ISR,20.422,21.288,22.186
ITA,19.754,20.879,21.872
JAM,19.133,19.165,19.384
JPN,20.866,21.916,22.573
JOR,17.007,17.248,17.481
KAZ,12.905,12.834,13.406
KEN,16.183,16.397,16.707
KIR,15.265,15.537,15.784
KWT,16.684,16.938,17.183
KGZ,14.949,14.948,14.522
LAO,14.958,15.425,15.808
