ISO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ARG,,,,,,,,,,,,,,20.5,,18.3,
ARM,,,,,,,,,,,,,,,,27.4,
AUS,16,14.9,13.6,13.2,13,12.7,12.6,12.3,11.4,11.4,10.5,10.4,12.3,11.8,11.5,,
AUT,,,,,,10.2,9.5,11.7,11,11.6,10.7,10.4,11.1,11.1,9.8,,
BEL,15.2,15.4,14.3,12.9,11.7,14,14.4,14,14.2,13.9,12.7,12.1,12.7,14.2,13.9,,
BEN,,,,,,,,,,,,,,,,25.3,
BRA,,,,,,,,,,,19.9,19,18.4,,19.3,,
BGR,,,,,30.4,28.1,29,26.4,25.1,22.2,19.1,17.4,19.5,21.8,21.8,21.5,
KHM,,,,,,,,,,,,,,,,8.7,
CAN,15.8,15.2,14.1,13.7,13.1,13.6,12.9,13,12.4,12,12.1,11.7,13.3,13.5,13.3,,
CHL,,,,,,,,,,,,,,11.8,23.7,,
HRV,,,,,,19.7,18,17.1,16.7,14.2,11.3,10.1,11.9,14.9,15.7,16.7,
CYP,,,,10.1,7.8,8.4,8.9,9.4,19.5,10.7,9,9.7,9.9,11.7,14.6,16,
CZE,15.5,16.3,19,18.5,17.4,16.9,16.9,17.2,15.9,14.1,11.7,10.9,12.8,13.2,12.7,,
DNK,5.9,5.7,6.5,5.8,6.2,5.6,8.9,8.6,8.2,6.2,7.1,6.9,9,10.5,11,,
EGY,,,,,,,,,,,,,,,,29,
SLV,,,,,,,,,,,,,,,,30.4,
EST,,,,14.5,14.3,10.3,10.2,12.1,10.2,8.8,8.9,8.8,14.9,14.5,11.8,12.5,
FIN,,,,,,,11.6,12.4,10.9,10.4,10.1,9.9,12,12.6,11.8,,
FRA,,,,10.2,9.9,10.3,10,10.6,10.9,11,10.3,10.2,12.4,12.4,12,12.2,
DEU,14.3,,13.2,13.3,13.1,12.6,12.9,13.5,14.7,13.6,12.6,11.6,11.6,12,11,,
GRC,21.8,23.4,21.8,21.5,19.9,20.3,19.6,20.7,19.7,16.9,16.8,16.2,16.8,18.3,21.8,,
HUN,23.7,24.2,22.2,20.2,18.9,19.5,18.8,17.1,17.2,17,15.6,16.3,17.7,18.9,18.5,,
ISL,6.6,6.1,4.8,4.1,3.4,5.1,7.6,5,6.8,3.9,5.3,4.3,9.6,10.3,7.9,,
IDN,,,,,,,,,,,,,27.6,25.7,,,
IRL,,,,,,14,11.7,11.9,10.9,10.1,10.7,14.8,18.4,19.2,18.8,18.7,
ISR,,,,,,31.5,32.3,30.5,29.6,29.4,29.7,27.5,28.7,27.4,27.6,,
ITA,,,,19.1,18.1,16.8,16.6,16.6,17,16.8,16.2,16.6,17.7,19.1,19.8,21.1,
JPN,7.7,7.6,9,8.8,8.4,9.5,9.8,9.2,8.8,9.1,7.6,7.4,8.5,9.9,10.1,,
JOR,,,,,,,,,,,,,,,,30,
LVA,,,,,,14.3,11.5,10.9,10,11.1,11.8,11.4,17.4,17.8,16,14.9,
LBR,,,,,,,,,,,,,,,,29,
LTU,,,,17,16,11.8,10.3,10.9,8.6,8.2,7,8.9,12.4,13.5,11.5,11.1,
LUX,11.2,10.5,10.4,8.1,8.2,7.5,7,8.7,7.3,8.6,8.9,8.5,7.9,7.1,7.2,,
MKD,,,,,,,,,,41.3,33.1,30.7,27.7,25.5,25.2,24.8,
MWI,,,,,,,,,,,,,,,,17.6,
MLI,,,,,,,,,,,,,,13.5,,,
MLT,,,,27.4,17.7,16.9,19.4,13.1,11.9,10.3,11.7,9.5,9.8,9.5,10.6,11.1,
MEX,25.4,25.2,24.1,24.6,24.6,24.2,24.8,24.2,24.9,24.2,24.2,23.9,24.8,24.4,24.7,,
MNG,,,,,,19.3,19.8,,,,18.5,17.8,18.7,17.6,16.5,,
NLD,7.9,,,3.8,4.1,4,5.1,5.3,5.3,4,3.5,3.4,4.1,4.3,3.8,4.3,
NZL,,,,,,,,13.5,12.6,12.7,13.2,13.2,16.1,16.3,14.3,,
NOR,8.8,6.8,6.1,7,7.5,8,8.7,8.6,8.1,7.9,7.5,6.8,8,8.5,8.5,,
PRY,,,,,,,,,,,,,17.6,19.5,,,
PER,,,,,,,,,,,,,,,,17.9,
PHL,,,,,,,,,,,,,24.7,25.2,,,
POL,18.8,17.6,19.9,22.1,20.7,21,20.5,20.3,18.4,17.4,15.5,13.7,14.2,15.2,15.7,,
PRT,12.9,12.1,11.3,10.5,9.9,10.7,12.1,12.7,12.9,12.4,13.4,12.2,12.8,13.5,15.3,,
KOR,,,,,,,,,,,,18.5,19,19.2,18.8,,
ROU,,,,20.2,18.3,21.6,20.3,19.8,16.8,14.8,13.3,11.6,13.9,16.4,17.4,16.8,
RUS,,,,,,,,,,,,,,,,15.7,
WSM,,,,,,,,,,,,,,,,43.5,
SGP,,,,,,,,,,,,,16.9,18.9,,,
SVK,22.6,23.8,26.7,,,,,,,,,,,,19.1,,
SVN,,,,,10.4,9.5,10,9.2,10.1,10.8,10.1,8.5,9,8.8,10.7,,
ESP,21.4,19.4,17.8,15.3,14.2,14.6,14.6,14.6,17.2,15.9,15.7,16.8,22.7,23.7,24.4,,
SWE,12,9.4,8.1,7.9,7.3,7.9,8.4,9.5,9.2,10.5,9.6,8.7,11,10.3,9,,
CHE,10.2,9.5,8.7,8.3,8.9,9.5,11.4,10.2,10.4,10,10.2,9.6,10.5,9.7,9,,
TGO,,,,,,,,,,,,,,,,10.9,
TUR,38,35.1,35.2,37.8,38.9,39.6,41.1,41.9,43.6,42.6,41.3,42,39.6,36.6,34.6,,
UKR,,,,,,,,,,,,,,,,,18.7
GBR,,,,13.3,13.1,13.3,13.6,13.5,14.2,15.1,14.9,14.8,15.7,15.9,15.5,,
USA,12.6,12.2,12.6,12.2,13.3,13.4,,13.9,13.1,12.8,13.1,14.6,16.9,16.1,15.9,,
URY,,,,,,,,,,,,,22.9,23,,,
VEN,,,,,,,,,,,,,18.5,19.2,,,
VNM,,,,,,,,,,,,,,,,11.1,
YEM,,,,,,,,,,,,,,48.1,,,
ZMB,,,,,,,,,,,,,,,,28.3,
ACE,,,,13.9783,13.944,13.969,13.9733,14.0133,14.0333,13.9355,13.029,12.7032,14.3516,14.8871,14.8687,,
HIA,13.5368,,,12.744,11.8308,12.7065,,12.7485,12.6697,11.8727,11.497,11.4294,13.6361,14.0459,14.0028,,
ASA,14.2,13.7,13.35,12.95,13.2,13.5,,13.45,12.75,12.4,12.6,13.15,15.1,14.8,14.6,,
ECM,,,,13.3,13.1,12.6,11.6,12.1,11,11.6,11.3,10.9,12.7,13.5,13.9,,
HIM,12.9,,,12.9,11.7,12.6,,12.3,11.4,11.1,10.7,10.4,12.4,13.5,12.7,,
NAN,12.6,12.2,12.6,12.2,13.1,13.4,,13,12.4,12,12.1,11.7,13.3,13.5,13.3,,
ECE,,,,10.645,10.7192,11.1309,11.3551,11.5295,11.8158,11.5171,10.9787,10.8604,11.5812,11.7439,11.6867,,
HWW,7.86531,,,9.60413,9.6148,10.1286,,10.423,10.2953,10.0466,9.69207,10.6422,12.1542,12.4882,12.5081,,
NAE,12.9159,12.4955,12.7474,12.3472,13.2804,13.4196,,13.8116,13.0312,12.7213,13.0016,14.3139,16.5437,15.8417,15.6409,,
# Series: NEETTOIN,,,,,,,,,,,,,,,,,
"# Name: Not in education, employment or training, Total",,,,,,,,,,,,,,,,,
"# Definition: The proportion of total female and male youth not in employment, education or training, the NEET rate, which is a broad measure of untapped potential of youth.",,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
