ISO,2000,2009,2012
ALB,,,0.49
ARG,,,0.37
AUS,,,0.9
AUT,,,0.83
AZE,,0.2,
BEL,,,0.85
BRA,,,0.41
BGR,,,0.55
CAN,,,0.91
CHL,,,0.63
COL,,,0.36
CRI,,,0.6
HRV,,0.85,
CZE,,,0.87
DNK,,,0.87
EST,,,0.95
FIN,,,0.95
FRA,,,0.8
GEO,,0.33,
DEU,,,0.89
GRC,,,0.83
HUN,,,0.76
ISL,,,0.88
IDN,,,0.41
IRL,,,0.91
ISR,,,0.83
ITA,,,0.82
JPN,,,0.95
JOR,,,0.57
KAZ,,,0.32
KGZ,,0.08,
LVA,,,0.89
LTU,,,0.86
LUX,,,0.79
MKD,0.43,,
MYS,,,0.47
MLT,,0.72,
MUS,,0.43,
MEX,,,0.53
MNE,,,0.63
NLD,,,0.89
NZL,,,0.84
NOR,,,0.92
PAN,,0.2,
PER,,,0.19
POL,,,0.92
PRT,,,0.79
QAT,,,0.61
KOR,,,0.95
MDA,,0.37,
ROU,,,0.57
RUS,,,0.77
SRB,,,0.72
SGP,,,0.89
SVK,,,0.64
SVN,,,0.87
ESP,,,0.83
SWE,,,0.81
CHE,,,0.88
THA,,,0.74
TTO,,0.57,
TUN,,,0.43
TUR,,,0.8
ARE,,,0.79
USA,,,0.84
URY,,,0.45
VEN,,0.35,
VNM,,,0.92
ACE,,,0.792424
HIA,,,0.835135
AME,,,0.4425
ASA,,,0.875
ECM,,,0.83
HIM,,,0.86
LCM,,,0.41
NAN,,,0.84
ECE,,,0.620955
HWW,,,0.776323
LCE,,,0.327641
NAE,,,0.846999
# Series: PIREFELQ,,,
"# Name: PISA reading scores, female, lowest income quintile",,,
"# Definition: PISA scores are usually scaled so that the OECD average in each domain (mathematics, reading and science) is 500 and the standard deviation is 100, by household wealth index.",,,
# Source: Organisation for Economic Co-operation and Development (OECD),,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
