ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
KAZ,,,,,,,,,3.54,3.56,3.74,3.88,4.01,3.98,4.1,4.31,3.84,3.58,
KEN,,,,,,,,0.14,,0.04,,,,0.18,0.18,0.18,0.18,,
KIR,,,,0.3,,,,,,0.23,,0.3,,0.24,0.33,0.38,,,
KWT,,,,,,,1.53,,,,,1.25,1.66,1.72,1.79,,,,
KGZ,,,,,,,,,,,,,,2.4,2.39,2.4,2.47,1.96,
LAO,0.35,,,,,0.29,,,,0.35,0.27,,,,0.19,,,0.18,
LVA,,,,,,,,,,,,,,,,2.9,2.88,,
LBN,,,,,,,3.25,,,,2.36,3.25,3.06,,3.54,3.07,3.2,,
LSO,,,,,,,,,0.05,,,,,,,,,,
LBR,,,,,,,,,,0.03,,,,0.01,,,,,
LBY,,,1.29,,,,,,,1.25,,,,1.8,1.9,,,,
LTU,4.14,4.17,4.19,4.16,4.15,,,,,,,,,,,3.64,3.75,4.12,
LUX,,,,,,,,,,,,,,,,,2.77,2.82,
MKD,,,,,,,,,,,,,,,2.62,,,,
MDG,,,,,,,,,,0.29,,,0.16,,,,,,
MWI,,,,,,,,,,0.02,,,,0.02,0.02,,,,
MYS,,,,,,0.7,,0.71,,,,,,0.94,,1.2,,,
MDV,,0.67,,,,,,,,0.92,,,1.6,,1.45,1.42,,,
MLI,,,,,,,,,,0.08,,,0.07,0.05,0.07,0.08,,,
MLT,,,,,,,,,,,,,,,,,3.23,3.5,
MHL,,,,,,0.47,,,,,,,,0.46,,0.44,,,
MRT,,,,,,,,,,0.11,,,,,0.13,,,,
MUS,,,,,,,,,,1.06,,,,,,,,,
MEX,,,,,,1.98,,,,2.89,1.75,1.86,1.89,1.93,1.96,1.99,2.1,,
FSM,,,,,,0.6,,,0.55,,0.56,,,0.57,0.18,,,,
MCO,,,,,,,,,,,,,,,,,7.06,7.17,
MNG,,,,,,,,2.63,,,,,,2.76,,,,,
MNE,,,,,,,,,,,,,,,,2.03,1.98,,
MAR,,,,,,,,,,0.52,,,0.56,,0.62,,,,
MOZ,,,,,,,,,,0.03,,0.03,,0.03,,0.04,0.04,0.04,
MMR,,,,,,,,,,0.36,0.37,0.4,0.42,0.46,0.47,0.5,0.58,0.61,
NAM,,,,,,,,,,0.3,,,0.37,,,,,,
NRU,1.46,,,,,,,,,0.77,,,,0.71,0.71,0.71,,,
NPL,,,,,,,,,,0.21,,,,,,,,,
NLD,,,,,,,,,3.15,,,,,,,,,,
NZL,,,,,,,2.37,2.13,,,,,2.38,2.55,2.68,2.74,,,
NIC,,,,,,,,,0.37,,,,,,,,,,
NER,,,,,,,,,,0.02,,,,0.02,,,,,
NGA,,,,,,,,,0.28,,0.3,0.37,0.4,0.4,0.41,,,,
NIU,,1.5,,,,,,,,2,,4,,3,,,,,
NOR,,,,,,,,,,,,,,,4.16,,3.74,,
OMN,1.11,,0.8,0.85,0.86,1.25,,,,1.32,1.63,1.75,1.84,1.9,1.99,2.05,2.22,,
PAK,0.56,0.58,0.6,0.61,0.63,0.64,0.66,,,0.74,0.8,,0.78,0.8,0.81,0.83,,,
PLW,,,,1.44,,1.58,,,,,,1.3,,,1.45,1.38,,,
PAN,,,,,,1.5,1.28,1.37,1.38,1.36,1.39,1.39,,,,1.46,1.55,,
PNG,,,,,,0.05,,,,,,,,0.05,,,,,
PRY,,,,,,,,1.11,,,,,,,,,,,
PER,,,,,1.17,,,,,,,,,,0.92,,,1.13,
PHL,,,,,,0.59,,1.15,,1.15,,,,,,,,,
POL,,,,,,,,,2.47,,,,,,,2.07,2.2,,
PRT,,,,,,,,,3.42,,,,,,,,,,
QAT,,,,,,,2.22,,,,2.65,2.76,,5.3,5.82,7.74,,,
KOR,,,,,,,,,1.57,1.71,1.79,1.84,1.9,1.97,2.03,2.02,2.1,2.14,
MDA,,,,,,,,,,,,,,,,3.07,3.64,2.86,
ROU,,,,,,,,1.93,,,,,,,,,2.39,,
RUS,,,,,,,,,,,,4.31,,,,,,,
RWA,,,,,,,,,,0.05,,,,0.05,0.06,0.06,,,
KNA,1.05,1.09,1.12,1.07,1.07,,1.17,,,,,,,,,,,,
LCA,,,,,5.17,,0.88,0.47,,,,,,,,,,,
VCT,,,0.87,,,0.75,0.53,,,,,,,,,,,,
WSM,,,,,0.7,,,,0.28,,0.27,,,0.45,,,,,
SMR,,,,,,,,,,,,,,,,,4.88,5.13,
STP,,,,,,,,,,0.49,,,,,,,,,
SAU,,,,,,0.68,0.63,,,,,,,0.94,0.77,,,,
SEN,,,,,,,,,,0.06,,,,0.06,,,,,
SRB,,,,,,,,,,,,,,,2.11,,,,
SYC,,,,,,,,,,1.51,,,,,,,,,
SLE,,,,,,,,,,0.03,,,,0.02,,0.02,,,
SGP,,,,,1.36,,1.4,,1.5,1.51,1.56,1.58,1.67,1.75,1.83,1.92,,,
SVK,,,,,,,,,3.18,,,,3,,,,,,
SVN,,,,,,,,,,,,,,,,2.54,2.52,,
SLB,,,,,0.13,,,,0.13,,0.19,,,,0.22,,,,
SOM,,,0.04,,,,,,,,,0.04,,,,,,,
ZAF,,,,,,,,,,0.77,,,,,,,0.76,,0.78
ESP,,,,,,,,,3.3,,,,,,,,3.96,3.7,
LKA,,0.29,0.31,0.35,0.38,0.43,0.45,,,0.55,0.49,0.49,0.52,0.59,0.64,0.68,,,
SDN,,,,,,,,,,0.22,,0.3,0.3,0.28,,,,,
SUR,,,,,,0.45,,,,0.91,,,,,,,,,
SWZ,,,,,,0,0.17,,0.15,0.16,,,,,0.17,,,,
SWE,,,,,,,,3.28,,,,,3.27,,,,,,
CHE,,,,,,,,3.62,,,,,,,,4.08,3.94,,
SYR,,,,,1.32,1.35,1.4,1.44,1.38,1.42,,,1.48,1.5,,,,,
TJK,,,,,,,,,,,,,,,,1.83,1.9,,
TZA,,,,,,,,0.02,,,,0.01,,,,,,,
THA,0.25,,0.28,0.3,0.3,0.37,0.31,0.31,,0.3,,0.29,0.3,0.32,0.34,0.39,,,
TLS,,,,,,,0,,,0.1,,,0.03,0.03,0.04,0.07,0.07,,
TGO,,,,,,,,,,0.05,,,0.05,0.05,,,,,
TON,,,,,,,0.34,0.29,,,,,0.56,0.55,0.6,0.56,,,
TTO,,,0.79,,,,,,,,,1.22,1.18,,,,,,
TUN,0.67,0.68,0.7,0.73,0.76,0.78,0.81,0.82,0.83,1.34,0.93,,1.02,1.16,1.19,1.22,,,
TUR,1.1,1.11,1.13,1.17,1.22,1.25,1.3,1.31,1.32,1.34,1.38,1.41,1.44,1.49,1.54,1.58,1.71,,
TKM,,,,,,,,4.18,,,,,,,,,,,
TUV,,,,,,,,0.55,0.91,,,,,0.91,1.09,,,,
UGA,,,,,,,,,,0.08,0.12,,,,,,,,
UKR,,,,,,,,,,,,,,,,,3.52,3.53,
ARE,,,,,,,2.02,1.69,,,1.55,,1.93,,,,,,
GBR,,,2.3,,,,,,,,,,,,,,2.78,2.79,
USA,2.4,,,,,2.56,,,,2.67,2.41,2.4,2.41,2.42,2.42,2.41,2.45,,
URY,,,,,,,,3.65,,,,,,3.74,,,,,
UZB,,,,,,,,,,,,,,,,,2.43,2.38,
VUT,,,0.11,,,,,,,0.14,,,0.12,0.12,,,,,
VEN,,,,,,,1.94,,,,,,,,,,,,
VNM,,,,,,,0.53,0.56,,,1.2,1.19,1.2,1.22,,,1.16,,
YEM,,,0.23,,,,,,,0.33,,,,0.3,0.3,0.2,,,
ZMB,,,,,,,,,,0.14,0.06,0.06,,0.07,0.06,0.07,,,
ZWE,0.14,,,,,,,,,0.16,,,0.05,0.06,0.06,,,,
AAE,,,,,,,1.02889,,1.023,,,,,,0.972632,1.26,,,
ACE,,,,,,,,,,,,,,,,,3.25132,,
GEA,,,,,,,,,,,,,,,1.41519,1.90371,,,
HIA,,,,,,,,,,,,,,,,,3.226,,
AME,,,,,,1.47143,,,,2.44,1.9,1.9475,1.99571,2.241,1.65545,,,,
LIA,,,,,,,,,,0.0985185,,,,,,,,,
LMA,,,,,,0.504545,0.62375,,0.404545,0.362083,0.58625,0.397,0.561176,0.748261,0.637727,0.552308,,1.89333,
ASA,2.4,,,,,2.56,,,,2.245,2.41,2.155,2.41,2.2,2.42,2.24,2.45,,
ASE,,,,,,0.54,0.418,0.58,0.42,0.475714,0.478,0.3875,0.575714,0.45,0.746,0.762,0.443333,0.48,
AEE,,,,,,,,,,0.206279,,,,0.107391,,,,,
UMA,,,,,,,1.48937,,1.81571,,,,,,1.78667,2.0413,,,
EAM,,,,,,,0.78,,0.55,,,,,,0.6,1.2,,,
ECM,,,,,,,,,,,,,,,,,3.26,,
GEM,,,,,,,,,,,,,,,0.93,1.58,,,
HIM,,,,,,,,,,,,,,,,,3.23,,
LCM,,,,,,1.15,,,,1.62,1.51,1.39,1.42,1.6,1.02,,,,
LIM,,,,,,,,,,0.05,,,,,,,,,
LMM,,,,,,0.55,0.53,,0.28,0.2,0.3,0.3,0.33,0.4,0.22,0.3,,2.38,
NAN,2.4,,,,,2.56,,,,1.82,2.41,1.91,2.41,1.98,2.42,2.07,2.45,,
SAM,,,,,,0.55,0.45,0.58,0.25,0.55,0.49,0.31,0.52,0.59,0.65,0.69,0.36,0.26,
SSM,,,,,,,,,,0.11,,,,0.06,,,,,
UMM,,,,,,,1.06,,1.32,,,,,,1.45,1.47,,,
EAE,,,,,,,0.723797,,0.96963,,,,,,0.997272,1.18071,,,
ECE,,,,,,,,,,,,,,,,,2.35298,,
GLE,,,,,,,,,,,,,,,0.796245,0.842489,,,
HWW,,,,,,,,,,,,,,,,,1.92036,,
LCE,,,,,,0.991982,,,,1.48858,1.19067,1.2053,1.21891,1.2939,1.37545,,,,
LIW,,,,,,,,,,0.122158,,,,,,,,,
LMW,,,,,,0.355488,0.362564,,0.350822,0.428188,0.50601,0.377045,0.547302,0.486707,0.544749,0.427913,,0.472927,
NAE,2.16213,,,,,2.30883,,,,2.58652,2.17302,2.3518,2.17277,2.37659,2.18046,2.37622,2.20587,,
SAE,,,,,,0.485516,0.520912,0.432925,0.464795,0.564162,0.573246,0.494325,0.586174,0.575212,0.58556,0.618588,0.591052,0.522957,
SSE,,,,,,,,,,0.115837,,,,0.112751,,,,,
UMW,,,,,,,0.743244,,0.956257,,,,,,1.27558,1.16398,,,
# Series: PHYSDENS,,,,,,,,,,,,,,,,,,,
# Name: Physicians density (per 1000 population),,,,,,,,,,,,,,,,,,,
"# Definition: number of medical doctors (physicians), including generalist and specialist medical practitioners, per 1,000 of the population",,,,,,,,,,,,,,,,,,,
# Source: World Health Organization (WHO),,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
