ISO,1990,2000,2010
AFG,20.7,22.95,30.76
ALB,49.66,60.6,65.49
DZA,36.85,45.98,51.56
AND,71.84,73.5,75.93
AGO,20.29,21.71,29.24
ATG,59.64,61.96,66.01
ARG,60.26,63.59,66.29
ARM,52.11,60.55,64.98
AUS,67.73,70.72,73.95
AUT,69.35,70.91,73.21
AZE,40.08,46.34,54.41
BHS,45.34,48.77,51.96
BHR,46.29,52.31,51.23
BGD,30.09,39.37,49.69
BRB,60.91,63.25,63.92
BLR,61.19,61.7,63.44
BEL,70.29,71.48,73.75
BLZ,46.44,49.58,52.08
BEN,17.22,21.09,27.79
BTN,27.4,38.36,47.96
BOL,29.17,34.89,40.89
BIH,60.57,65.41,69.02
BWA,31.81,31.86,40.62
BRA,45.13,52.8,59.56
BRN,56.13,57.14,61.93
BGR,67.04,68.31,70.36
BFA,15.75,16.89,16.81
BDI,22.18,26.6,32.7
KHM,24.07,29.65,43.03
CMR,24.67,26.47,30.26
CAN,68.49,71.12,73.26
CPV,40.07,46.44,54.54
CAF,32.17,32.56,36.22
TCD,18.05,19.2,19.78
CHL,59.22,64.24,66.82
CHN,53.41,59.31,64.3
COL,44.28,48.34,55
COM,26.59,30.42,34.03
COG,35.52,32.85,36.91
CRI,56.22,60.55,64.72
CIV,23.54,31.55,33.08
HRV,64.45,67.7,70.59
CUB,65.08,68.83,71.89
CYP,69.44,71.44,72.76
CZE,67.09,68.48,70.46
PRK,45.22,40.24,57.81
COD,17.82,19.99,23.03
DNK,71.06,72.35,73.58
DJI,21.37,29.81,36.48
DMA,54.26,58.56,62.05
DOM,40.68,52.36,59.4
ECU,42.45,47.73,55.18
EGY,36.67,48.51,54.72
SLV,40.73,49.32,56.23
GNQ,30.45,25.28,28.94
ERI,25.27,27.75,30.35
EST,61.6,63.47,67.43
ETH,22.19,25.35,34.89
FJI,48.11,49.95,53.21
FIN,67.07,69.6,71.95
FRA,68.94,71.15,73.42
GAB,39.64,41.31,44.2
GMB,18.26,21.76,24.97
GEO,58.13,61.78,65.37
DEU,69.68,70.6,73.38
GHA,24.84,30.12,37.98
GRC,71.38,73.56,75.17
GRD,52.14,58.76,61.04
GTM,32.4,37.71,44.2
GIN,15.44,18.79,24.34
GNB,18.01,20.28,25.59
GUY,49.93,50.4,51.47
HTI,29.45,36.02,35.21
HND,36.34,44.61,52.85
HUN,65.31,66.48,69.06
ISL,70.43,72.65,74.86
IND,38.18,43.3,49.9
IDN,36.91,46.65,53.11
IRN,39.27,52.8,58.99
IRQ,35.22,38.52,34.21
IRL,69.96,70.52,71.81
ISR,68.95,70.83,73.02
ITA,70.24,73.3,76.07
JAM,55.59,54.31,60.75
JPN,69.72,72.19,76.03
JOR,49.84,49.34,56.13
KAZ,49.23,53.3,53.32
KEN,24.32,25.72,31.66
KIR,39.67,44.04,48.02
KWT,45.39,51.47,54.34
KGZ,41.91,48.09,49
LAO,27.5,34.62,42.67
LVA,62.55,63.52,66.54
LBN,51.13,59.58,63.83
LSO,37.21,37.29,36.07
LBR,13.46,17.47,21.08
LBY,39.11,49.81,54.13
LTU,63.22,64.08,65.76
LUX,68.53,69.87,71.47
MKD,62.24,66.18,69.11
MDG,24.83,30.46,37.38
