ISO,1990,1995,2000,2005,2010
PAN,321,356.53,326.24,247.05,169.02
PNG,1892.06,1661.62,1331.32,1116.05,867.7
PRY,137.69,91.5,109.6,134.49,113.72
PER,711.99,547.86,275.53,186.94,161.44
PHL,797.08,495.37,337.47,221.85,170.35
POL,32.88,27.56,16.63,13.75,11.74
PRT,11.54,8.08,7.27,6.56,6.71
QAT,62.28,65.07,56.66,37.03,21.88
KOR,30.02,17.79,11.06,6.63,5.36
MDA,32.2,32.06,27.02,25.88,23.21
ROU,39.7,35.53,28.23,22.8,18.35
RUS,28.5,29.98,29.54,26.58,20.95
RWA,3687.88,4893.07,3223.19,1582.69,981.38
LCA,158.5,92.24,45.41,49.39,39.83
VCT,262.76,206.69,117.35,106.99,75.16
WSM,348.42,328.22,253.05,182.22,134.3
STP,1958.97,1780.43,1359.2,916.92,714.62
SAU,152.31,129.1,104.01,85.43,65.9
SEN,624.94,604.62,604.06,415.88,339.9
SRB,26.92,28.16,23.22,23.24,20.7
SYC,177.72,158.3,148.01,134.97,123.18
SLE,9024.37,7961.56,7103,5381.82,3679.76
SGP,24.57,15.78,13.98,13.41,12.27
SVK,14.3,13.51,11.68,10.82,9.49
SVN,14.71,12.81,11.14,9.86,8.65
SLB,1427.92,1191.61,1017.14,913,711.69
SOM,4958.09,4720.45,3899.12,3236.28,3354.25
ZAF,336.9,231.45,182.34,134.26,68.64
ESP,10.45,10.64,11.27,11.98,11.54
LKA,470.91,354.21,238.77,164.6,125.48
SDN,2470.65,2221.55,1712.23,1433.34,1020.53
SUR,167.23,162.14,127.22,115.42,87.68
SWZ,208.62,196.97,234.31,276.31,142.57
SWE,6.6,6.09,6.57,6.77,6.5
CHE,11.22,10.03,10.01,9.63,8.89
SYR,284.92,206.24,150.55,121.73,95.63
TJK,182.67,184.41,158.66,122.88,109.02
TZA,2403.12,2116.46,1698.58,1302.87,1091.2
THA,102.57,68.31,61.71,45.87,38.31
TLS,1193.38,880.98,747.54,518.59,425.26
TGO,2243.57,1952.53,1657.41,1774.52,1596.07
TON,255.62,225.56,216.07,171.8,128.75
TTO,56.4,66.7,59.58,45.05,33.34
TUN,1534.7,1292.27,804.8,600.22,483.77
TUR,181.02,96.41,52.12,37.09,29.28
TKM,157.38,145.74,108.49,65.5,51.16
UGA,2570.36,2331.16,2014.96,1443.36,889.86
UKR,20.12,21.53,22.17,18.25,15.15
ARE,196.34,166.46,142.89,110.43,87.67
GBR,21.46,17.72,11.15,8.04,7.38
USA,9.3,9.98,11.1,11.27,11.44
URY,113.23,82.62,58.85,56.46,41.7
UZB,111.68,111.13,89.13,65.97,56.09
VUT,1067.71,866.82,830.1,855.53,615.42
VEN,220.98,224.38,152.18,118.8,89.42
VNM,383.98,275.26,191.29,130.32,101.7
YEM,1030.54,989.97,786.41,595.65,525.79
ZMB,4053.11,3973.34,3728.49,2852.8,2125.89
ZWE,476.7,454.29,498.21,685.77,792.59
HIA,144.153,125.486,99.5469,66.4665,50.519
LIA,2994.58,5116.32,2422.88,1945.26,1689.96
LMA,1111.36,963.621,805.431,653.26,526.055
UMA,402.319,338.524,267.602,202.628,155.66
HIM,13.2,12.86,11.68,11.98,10.86
LIM,3041.33,2491.27,2198.63,1624.39,1500.25
LMM,797.08,660.98,534.97,398.15,337.79
UMM,172.56,139.65,97.6,82.16,58.33
HWW,,19.0596,17.5428,15.718,14.1725
LIW,,5402.73,2094.7,1689.72,1468.33
LMW,,1203.79,933.236,731.397,585.527
UMW,,163.545,129.24,94.0163,72.6352
WLD,,1160.45,690.05,554.72,484.4
EAS,,1334.5,122.37,89.32,67.11
ECS,,63.74,49.3,37.62,30.28
LCN,,283.11,212.85,163.74,131.55
MEA,,433.57,320.67,245.78,205.76
SAS,,1464.71,1102.19,848.23,637.72
SSF,,2836.27,2522.53,2012.47,1783.71
# Series: DAMAFEIN,,,,,
"# Name: DALYs per 100,000, Protein-energy malnutrition, female",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
