ISO,1995,1996,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,9,,,,,,,,,
BIH,0,,,,,,,,,,,,,
BDI,,,,0,,,,,,,,,,
CAF,,,,,,,,,,,0,,,0
CIV,,,,,,,0,,,,,,,
HRV,0,,,,,,,,,,,,,
COD,,,,,,,5,,,,5,,,
GTM,,11,,,,,,,,,,,,
HND,,,,,,,,,,,,33,,
IRQ,,,,,,,,,,,,,0,
KEN,,,,,,,,,,,0,,,
KSV,,,0,,,,,,,,,,,
LBR,,,,,,,0,,,,,,,
MKD,,,,,0,,,,,,,,,
NPL,,,,,,,,,0,,,,,
PNG,,,,,7,,,,,,,,,
PHL,,,,,,,,,,0,,,,33
SLE,,,0,,,,,,,,,,,
SOM,,,,,,0,,,,,0,,,
SDN,,,,,,,,0,0,,,,,
UGA,,,,,,,,,,,0,,,
YEM,,,,,,,,,,,,,,0
ZWE,,,,,,,,,,,0,,,
# Series: FEMPEACE,,,,,,,,,,,,,,
"# Name: Women signatories in peace processes, %",,,,,,,,,,,,,,
# Definition: Share of female signatories of total signatories in specific peace processes the country signed in the year of the data point.,,,,,,,,,,,,,,
"# Source: UN Women, Women’s Participation in Peace Negotiations: Connections Between Presence and Influence",,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
