ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
AGO,,,,,,,,,,,,,21.8,,
ARM,,,,,,25.1,,,,,33.1,,,,
AZE,,,,,,,,,,,,24.4,,,
BGD,,,,,,,,,,,,,13.2,,
BEN,,,,,,,,,,,,21.1,,,
BOL,,,,,,,,,17.1,,,,,,
BRA,,13.7,,,,,,,,,,,,,
BFA,,,,,,,,,7.5,,,,,,
KHM,,,,,,,,,,,23,,,,
CMR,,,,,,,,,,22.9,,,,,
CAF,18.8,,,,,,,,,,,,,,
TCD,,,21.5,,,,,,,19.1,,,,,
COL,,,,,,,,,,,21.7,,,,
COM,,31.9,,,,,,,,,,,,,
COG,,,,,,,,,,,23.4,,,,
CIV,,,,,13.3,,,,,,,,,,
COD,,,,,,,,,,,,,20,,
DOM,,,,,,,,,,,,,29.7,,
EGY,,,,,,,,,,,,,,12,
ERI,25.9,,,,,,,43.2,,,,,,,
ETH,,,,,,21.3,,,,,20.1,,,,
GAB,,,,,,25.4,,,,,,,,,
GHA,,,,,,,,,,,,,,30.8,
GTM,18,,,,16.1,,,,,,,,,,
GIN,,,,,10.8,,,,,,15.8,,,,
HTI,32.9,,,,,,,,,,,38.6,,,
HND,,,,,,,,,,,,20.2,,,
IND,,,,,,,,,,,,14.9,,,
IDN,,,,,,,,,,,,,12.3,,
JOR,,,9,,,,,,,,,,10.9,,
KAZ,23.4,,,,22,,,,,,,,,,
KEN,,,,,,,,,33.8,,,,,,
KGZ,,,18,,,,,,,,,,,,
LSO,,,,,,,,,,36.3,,,,,
LBR,,,,,,,,,,,,,28.8,,26.6
MDG,,,,,,,,,,20.6,,,,,
MWI,,,,,,,,,,26.3,,,,,
MLI,,7,,,,,,,,,,11.5,,,
MRT,,,,,,,31.7,,,,,,,,
MAR,,,,,,,,,,12,,,,,
MOZ,,,28.2,,,,,,26.3,,,,,,
NAM,,,,,,,,,,,,,47.4,,
NPL,,12.4,,,,,,,,,,24,,,
NIC,,,,20,,,19.3,,,,,,,,
NER,,,,,,,,,,,,18.8,,,
NGA,,,,,,,,,,,,,,18.6,
PAK,,,,,,,,,,,,,11,,
PER,,,,,,16.3,,,,,,,,,
PHL,,,,12.1,,,,,,,,,,14.4,
RWA,,,,,,,,,,,34,,,,
SEN,,,,,,,,,,,,,,,10.7
SLE,,,,,,,,,,,,,,20.7,
ZAF,,,,50,,,,,,,,,,,
SWZ,,,,,,,,,,,,,52.1,,
TZA,,,,,,,,,,,25,,,,
TGO,,,,22.1,,,,,,,,,,,
TUR,,,,9.1,,,,,,,,,,,
TKM,,,,,,18.6,,,,,,,,,
UGA,23.8,,,,,,,,,,,29.3,,,
UKR,,,,,,,,,,,,,47.9,,
UZB,,11.6,,,,,,,,,,,,,
VNM,,,20.7,,,,,22.4,,,,,,,
YEM,,,9.5,,,,,,,,,,,,
ZMB,,,,,,,,,,,,,25.4,,
ZWE,,,,,,,,,,,,42.6,,,
ASE,,,,,,,,,,,,19.45,,,
SAM,,,,,,,,,,,,14.9,,,
SAE,,,,,,,,,,,,11.5305,,,
# Series: SRHFHFAO,,,,,,,,,,,,,,,
"# Name: Share of rural households that are female headed, Total",,,,,,,,,,,,,,,
# Definition: Share of rural households that are female-headed,,,,,,,,,,,,,,,
# Source: Food and Agriculture Organization of the United Nations (FAO),,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
