ISO,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012
ARG,,,,,79.94,,,,,
ARM,,,,,,,,,76.95,
AUS,,,,,,,,,93.72,
AZE,,,,,,,,,77.09,
BHR,,,,,,,,,71.78,
BEN,,,,33.39,,,,,,
BWA,,,,,,75.06,,,,
BRA,,,,,75.72,,,,,
BFA,,,,,,49.14,,,,
BDI,,,,,,,63.19,,,
CMR,,,,61.5,,,,,,
CAN,,,,,55.1,,,,,
TCD,,,33.91,,,,,,,
CHL,,,,,,,,,84.29,
COL,,,,,,41.31,,,,
COM,,,,,,,48.55,,,
COG,,,,,,37.4,,,,
CRI,,,,,91.07,,,,,
CIV,,,,,,,17.8,,,
HRV,,,,,,,,,94.81,
CUB,,,,,91.22,,,,,
CYP,,92.99,,,,,,,,
CZE,,,,,,,,,96.12,
DNK,,,,,,,,,98.45,
DOM,,,,,38.31,,,,,
ECU,,,,,58.6,,,,,
SLV,,,,,,28.96,,,,
FIN,,,,,,,,,98.99,
GAB,,,,,62.86,,,,,
GEO,,,,,,,,,76.74,
DEU,,,,,,,,,99.4,
GTM,,,,,60.26,,,,,
HUN,,,,,,,,,92.11,
IND,,,,,,,,,,26
IRN,,,,,,,,,71.16,
IRL,,,,,,,,,95.58,
ITA,,,,,,,,,96.3,
JPN,,,,,,,,,99.59,
KAZ,,,,,,,,,92.33,
KEN,,,,,,89.92,,,,
KWT,,,,,,,,,28.41,
LVA,,,,,,97.84,,,,
LBN,,,,,,,,71.41,,
LSO,,,,,,57.72,,,,
LTU,,,,,,,,,97.95,
MDG,,,,81.81,,,,,,
MWI,,,,,,44.5,,,,
MLI,,,,,,,,,92.33,
MRT,,,13.7,,,,,,,
MUS,,,,,,86.44,,,,
MNG,,,,,,74.09,,,,
MAR,,,,,,,,,28.1,
MOZ,,,,,,70.38,,,,
NAM,,,,,,52.39,,,,
NLD,,,,,,,,,99.93,
NZL,,,,,,,,,88.9,
NIC,,,,,62.19,,,,,
NER,25.6,,,,,,,,,
NGA,,,,,,48.23,,,,
NOR,,,,,,,,,94.91,
OMN,,,,,,,,,46.64,
PAK,,,,,,,,,,42.9
PRY,,,,,63.36,,,,,
PER,,,,,71.8,,,,,
PHL,,35.07,,,,,,,,
POL,,,,,,,,,91.18,
PRT,,,,,,,,,98.2,
QAT,,,,,,,,,58.97,
KOR,,,,,,,,,99.81,
MDA,,90.34,,,,,,,,
RUS,,,,,,,,,98.58,
SAU,,,,,,,,,55.65,
SEN,,,,,,57.39,,,,
SRB,,,,,,,,,93.08,
SYC,,,,,,76.69,,,,
SGP,,,,,,,,,99.47,
SVK,,,,,,,,,94.05,
SVN,,,,,,,,,97.39,
SOM,,,,,,,,,83.26,
ZAF,,,,,,57.53,,,,
ESP,,,,,,,,,93.31,
SWZ,,,,,,92.76,,,,
SWE,,,,,,,,,96.88,
TZA,,,,,,89.67,,,,
THA,,,,,,,,,79.73,
TGO,,,,,,,,33.9,,
TUN,,,,,,,,,39.52,
TUR,,,,,,,,,82.25,
UGA,,,,,,63.45,,,,
UKR,,,,,,83.79,,,,
ARE,,,,,,,,,66.92,
USA,,,,,,,,,98.14,
URY,,,,,91.87,,,,,
YEM,,,,,,,,,9.97,
ZMB,,,,,,36.09,,,,
ZWE,,,,,,71.76,,,,
ACE,,,,,,,,,93.0242,
HIA,,,,,,,,,87.8107,
ASA,,,,,,,,,98.14,
ASE,,,,,,,,,,34.45
ECM,,,,,,,,,94.91,
HIM,,,,,,,,,95.58,
NAN,,,,,,,,,98.14,
SAM,,,,,,,,,,26
ECE,,,,,,,,,60.8695,
HWW,,,,,,,,,78.9683,
NAE,,,,,,,,,88.361,
SAE,,,,,,,,,,24.1269
# Series: PRMAMAIN,,,,,,,,,,
"# Name: Achieving basics in mathematics, male",,,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics. (Primary level),,,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
