ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,19.1,,,,,,
ALB,,,34.2,,,,,38.3,,29,31,,,31.9,,,
DZA,38.8,,,,,,,,,,,,,,,,
AGO,,,,,,16.3,,,,,,,,,,,
ARG,12.9,13.8,13.1,14.5,15,16.2,18,23.4,21.6,17.6,14.4,12.3,9.7,7.2,5.9,4.2,
ARM,,,,43.9,,,44.8,45.6,48.4,50,49.9,50.1,50.1,47,,,
AZE,47.5,,,,,,47.3,,,,,,,26.7,,,
BGD,9.5,,,,,10.6,,,,,17.2,,,,,20.1,
BLR,,,,,,19.3,12,18.9,,8.9,4.3,2.4,1.2,0.9,,,
BLZ,,28.7,27.9,26.7,27.4,,,,,,,,,,,,
BEN,,,,,,,,,21.6,,,,,,,,
BTN,,,,,,,,,29.6,,,,39.1,,,,
BOL,,,22.9,,19.9,21.4,24.1,24.3,,,24.2,23.8,24.4,21.7,,,
BIH,,,,,,,2.3,,,4.1,,,3.5,,,,
BRA,17.2,16.7,16.8,17.1,17.5,,17,17.3,17.5,17.3,16.6,15.6,14.2,13.4,12.6,,
BFA,,,,10.7,,,,,14.9,,,,,,20.8,,
BDI,,,,3.6,,,,,,,,4.7,,,,,
KHM,,,,,,,,,,26.4,,,28.2,34.4,,,
CMR,,34.2,,,,,40.3,,,,,,38.8,,,,
CPV,,,,,,,,30,,,,,,,,,
CAF,,,,,,,,,15.4,,,,,15.7,,,
TCD,,,,,,,,,13.9,,,,,,,,
CHL,,17.4,,16.1,,15.8,,,14.8,,,11.1,,,8.2,,
CHN,20.4,27.3,,,27.4,,,29.5,,,34.1,,,31.5,,,
COL,,25.5,,,26.3,28.6,28.5,27.4,28.2,28.4,27.5,,,23.2,23.1,22.6,
COM,,,,,,,,,,21.2,,,,,,,
COG,,,,,,,,,,,18.4,,,,,,
CRI,17,18.2,18.2,15.5,16.4,16.2,15.9,16.2,15.5,16.6,15.1,15.1,13.1,12.1,12.1,,
CIV,35.4,,,32.4,,,,31.9,,,,,,33.8,,,
