ISO,1990,2008
CHN,890,1092
IND,265,257
WLD,1212,1427
EAS,893,1096
ECS,7,14
LCN,0,0
MEA,5,6
SAS,265,258
SSF,42,53
# Series: FMMWEYEE,,
"# Name: Excess Female Deaths in the World, Girls at birth",,
"# Definition: Excess Female Deaths in the World, By Age and Region, 1990 and 2008 (thousands), Girls at birth",,
# Source: World Bank,,
# Data from the No Ceilings project: http://noceilings.org,,
"# For more about the data, please visit http://noceilings.org/data",,
