ISO,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,22.2,22.2,11.1,11.1,11.1,11.1
ARM,,,,0,0,0,14.3,14.3,28.6,28.6,20,40,40,20
AUT,,,,25,25,25,25,0,0,0,0,0,0,0
AZE,,,,,,,,,,0,,,,
BLR,,,,,,,,,16.7,18.2,,,,
BEL,,,,,,,25,25,25,25,,,,
BGR,10,14.3,12.5,14.3,14.3,14.3,14.3,14.3,14.3,14.3,0,14.3,,
CAN,,,,,,,,,16.7,16.7,,,,
HRV,,0,0,7.7,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
CYP,0,0,0,0,0,0,0,0,0,0,20,0,,
CZE,,,0,14.3,14.3,14.3,14.3,14.3,14.3,0,0,14.3,14.3,14.3
DNK,,,,,,28.6,28.6,28.6,28.6,28.6,28.6,28.6,,
EST,,12.5,0,0,0,0,0,11.1,12.5,12.5,12.5,12.5,25,25
FIN,0,0,20,33.3,33.3,25,25,25,25,25,25,25,25,25
FRA,,,,,,,14.3,14.3,14.3,14.3,,,,
GEO,,,,0,0,0,0,0,11.1,11.1,0,0,0,0
DEU,5.9,0,0,0,0,0,0,0,0,0,,,,
GRC,0,8.3,8.3,8.3,8.3,8.3,8.3,0,0,0,0,8.3,,
HUN,,0,9.1,0,0,0,0,11.1,15.4,15.4,25,25,,
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,0,10,10,0,0,0,0,8.3,8.3,8.3,8.3,8.3,8.3,9.1
ISR,,,,,,,,,0,0,,,,
ITA,,,,,,,,,0,0,,,,
KAZ,,,11.1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,11.1,22.2,22.2
KGZ,,,,,,,,,44.4,44.4,,,,
LVA,,,33.3,33.3,16.7,16.7,37.5,25,25,25,25,25,,
LTU,,0,23.1,27.3,23.1,18.2,18.2,20,20,20,20,20,0,0
LUX,,,,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,,
MKD,,,,,,,,,22.2,22.2,,,,
MLT,,,,,,,20,20,20,20,,,,
MNE,,,,,,,,0,14.3,14.3,14.3,14.3,,
NLD,0,0,0,0,0,0,0,0,0,0,25,25,25,25
NOR,,,,28.6,28.6,,,42.9,42.9,42.9,42.9,28.6,,
POL,,,,,,,10,,11.1,11.1,,,,
PRT,,,,,,0,0,0,0,0,16.7,83.3,83.3,83.3
MDA,,,25,40,40,40,0,0,0,0,20,33.3,33.3,33.3
ROU,,,,,,,11.1,,22.2,22.2,,,,
RUS,,,,,,,,,0,25,,,,
SRB,,,,,,,,37.5,37.5,37.5,,40,,
SVK,,,12.5,12.5,16.7,16.7,16.7,12.5,28.6,14.3,20,20,,
SVN,,,,85.7,85.7,85.7,87.5,90.9,90.9,80,88.9,77.8,66.7,75
ESP,,,,0,0,0,10,10,10,20,20,20,20,20
SWE,,,,,,,50,50,50,50,33.3,33.3,42.9,40
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJK,,,,,,,,,,0,,,,
TUR,0,0,0,14.3,16.7,14.3,14.3,14.3,0,0,0,0,0,0
UKR,,,,,,,,,7.1,18.8,18.2,18.2,,
GBR,0,0,11.1,26.3,31.6,31.6,36.8,36.8,21.1,21.1,,,,
USA,14.3,16.7,33.3,0,14.3,14.3,14.3,14.3,20,16.7,0,20,,
# Series: CBBOMFEM,,,,,,,,,,,,,,
"# Name: Seats held by women in central banks, % of total",,,,,,,,,,,,,,
"# Definition: Seats held by women members in Central Banks, expressed as a percentage of all occupied seats",,,,,,,,,,,,,,
# Source: Central Bank Directory; country-specific central bank websites; United Nations Economic Commission for Europe (UNECE),,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
