ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ESP,,30779,36545,42223,46782,53180,56761,57030,57195,55794,55816,46590,54930,50168,,
SUR,,,,,52,,,,,,,,,,,
SWZ,,8,5,,,,40,43,28,,,,,,,
SWE,,3459,3269,3589,3660,3789,4105,4269,4490,4922,5158,5758,6587,6770,,
CHE,,2988,2569,2602,2640,3036,3370,3631,3975,3736,4231,5331,6031,5972,,
TJK,,,,,,,,,,,,,,,294,
TZA,,1,,,,,,,,,,,,,387,
THA,,,,,,,,,,,,,,22750,,
TTO,,,44,53,,,468,,,,,,,,,
TUN,,,,,,,,,,,,,6278,,,
TUR,35552,,,13082,13703,15239,21098,17924,25239,28869,28375,31695,35126,41475,,
UGA,,518,836,1149,,,1743,,,,,,,,,
UKR,,,,,,,,,,,,,,52988,,
GBR,,,,14269,13475,,9427,9562,10292,58075,21325,22684,23911,24853,,
USA,,,,,,,,,,,656927,644590,688656,707295,,
URY,,,,,,,,,,614,804,1008,,,,
UZB,,,,,,,,,1891,1929,2209,2143,2619,2649,,
VEN,,,,,,,,,,,36615,,,,,
VNM,,,,,,,,,,,11412,12851,13360,18917,,
ZWE,,,,,,,,,,,,,50,683,683,
ECZ,,,,,,,,,345133,417379,,,,531673,,
HIS,,,,,,,,,,,1221080,1212590,1291210,1371160,,
LCS,,,,,,,,153742,,214173,262684,227189,236987,,,
NAS,,,,,,,,,,,656927,644590,688656,707295,,
# Series: TEDSVCFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, services, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
