ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NOR,31810,31939,10334,19909,20265,21432,23661,24571,,24954,22837,23228,24045,23923,,
OMN,,,,,,,,,,,,,,9449,,
PAN,,,,,8596,10258,15822,12281,12811,9700,10183,10131,10200,10914,,
PNG,704,,,,,,,,,,,,,,,
PHL,,,,,,75281,78392,,,,,,,,,
POL,109911,136539,144236,157140,164266,169310,175687,180635,196563,218078,218898,204193,196643,189888,181294,
PRT,,,29887,,34903,34302,33841,32658,31494,31086,32821,32170,34187,,,
QAT,,,,1086,,1181,598,,,,,,,,4077,
KOR,440067,477652,524583,550296,574885,568444,594855,591361,587041,585050,584781,586857,594735,610875,609704,
ROU,,44304,49057,58070,63323,72594,76069,78347,87851,92108,89391,86055,78020,70666,,
RWA,,,,,,,,,,,,,,,3768,
WSM,,,89,,,,,,,,,,,,,
SMR,,,147,,,,,,,,,,,,,
SAU,86630,153017,61935,87919,66947,73075,137593,195402,251279,277497,293526,310934,308392,318890,354467,
SRB,,,,,,,,,,25137,23467,23965,23249,23803,25106,
SYC,,,,,,,,,,,,,,,7,
SLE,,,1116,1617,,,,,,,,,,,,
SGP,,,,,,,,,,,16531,17170,18330,21307,22889,22976
SVK,,8471,8364,7963,8862,9028,9776,10374,11879,13530,14917,15448,16205,16534,16629,
SVN,,5469,5777,6296,6113,6681,7752,8559,8596,9022,9365,9341,9566,9078,9016,
ESP,,192331,194928,195478,195434,194392,193789,189957,185442,183639,185387,187012,200008,214434,,
LKA,,,,,,,,,,,,,135114,122875,134904,
SUR,,,,,156,,,,,,,,,,,
SWZ,,621,773,796,,,979,894,1201,,,,,,,
SWE,,43689,44598,46162,49803,55298,57488,55209,53198,51657,53317,57983,61790,62336,,
CHE,,20689,20887,21413,21743,23610,24565,25407,26576,26996,27624,29148,29825,30482,,
TJK,,,,,,,,,,,,,,,38028,
TZA,,469,,,,,,,,,,,,,6614,
THA,,,,,,,,,,,,,,185349,,
TTO,,,930,1003,,,1414,,,,,,,,,
