ISO,1996,1998,1999,2000,2001,2003
ALB,,,,42.1,,
AZE,,,,3.3,,
BGD,,,,,,62.9
BLZ,,,,,14.5,
BIH,,,,2.6,,
BDI,,,,44.6,,
KHM,,,,,15.5,
CMR,,,,,45.3,
CAF,,,,48.3,,
CHL,,,,,,3.2
CIV,,,,39.4,,
COD,,,,29.6,,
SLV,,,,,,24.5
GMB,,,,33.2,,
GNB,,,,59.8,,
IND,,,,89.9,,
IRQ,,,,43.9,,
KAZ,6.3,,,,,
KEN,,,43.5,,,
KGZ,,9.3,,,,
LSO,,,,23.6,,
MDG,,,,,86.6,
MNG,,,,30.8,,
MAR,,,90.5,,,
NAM,,,12.3,,,
NPL,,,23.2,,,
NIC,,,,,38.7,
PHL,,,,,18.3,
PRT,,,,,3.6,
MDA,,,,4.5,,
ROU,,,,25,,
RWA,,,,25.5,,
SLE,,,,51.3,,
ZAF,,,4.7,,,
LKA,,,5.9,,,
SDN,,,,52.1,,
SWZ,,,,14,,
TZA,,,,,42.7,
TTO,,,,21.2,,
TUR,,,64.9,,,
UZB,,,,4.4,,
VEN,,,,,,21.9
YEM,,,43.2,,,
ZWE,,,12.8,,,
# Series: CHEMPSWM,,,,,,
"# Name: Children in employment, study and work, male, (% of male children in employment ages 7-14), male",,,,,,
"# Definition: Children in employment, study, and work, % of male children in ages 7-14",,,,,,
# Source: World Bank,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
