ISO,2011,2012
AFG,,1.06
ALB,,1.08
DZA,1.05,
AGO,1.03,
ARG,,1.04
ARM,,1.14
AUS,1.05,
AUT,1.05,
AZE,1.16,
BHS,1.06,
BHR,1.04,
BGD,1.05,
BRB,1.04,
BLR,1.06,
BEL,,1.05
BLZ,,1.03
BEN,1.04,
BTN,,1.04
BOL,,1.05
BIH,,1.06
BWA,,1.03
BRA,,1.05
BRN,,1.05
BGR,1.06,
BFA,1.05,
BDI,1.03,
KHM,1.05,
CMR,,1.03
CAN,1.06,
CPV,,1.03
CAF,,1.03
TCD,,1.03
CHL,1.04,
CHN,1.16,
COL,1.05,
COM,1.05,
COG,1.03,
CRI,,1.05
CIV,1.03,
HRV,,1.06
CUB,1.06,
CYP,1.07,
CZE,,1.06
PRK,,1.07
DNK,1.06,
DJI,,1.04
DOM,1.05,
ECU,1.05,
EGY,,1.05
SLV,1.05,
GNQ,1.03,
ERI,1.03,
EST,,1.06
ETH,1.04,
FJI,1.06,
FIN,,1.04
FRA,1.05,
GAB,,1.03
GMB,1.03,
GEO,,1.11
DEU,1.05,
GHA,1.05,
GRC,1.06,
GRD,,1.05
GTM,1.05,
GIN,1.02,
GNB,1.03,
GUY,,1.05
HTI,,1.05
HND,1.05,
HUN,1.06,
ISL,1.05,
IND,1.11,
IDN,,1.05
IRN,1.05,
IRQ,1.06,
IRL,1.07,
ISR,1.05,
ITA,1.06,
JAM,1.05,
JPN,1.06,
JOR,1.05,
KAZ,1.06,
KEN,,1.03
KWT,1.04,
KGZ,1.06,
LAO,1.05,
LVA,1.05,
LBN,1.05,
LSO,,1.03
LBR,1.05,
LBY,1.06,
LTU,1.05,
LUX,1.05,
MKD,,1.05
MDG,,1.03
MWI,,1.03
MYS,,1.06
MDV,1.06,
MLI,1.05,
MLT,1.06,
MRT,1.05,
MUS,1.04,
MEX,,1.05
MNG,,1.03
MNE,1.07,
MAR,1.06,
MOZ,1.03,
MMR,1.03,
NAM,,1.03
NPL,,1.06
NLD,1.06,
NZL,1.05,
NIC,1.05,
NER,,1.05
NGA,1.06,
NOR,,1.06
OMN,1.05,
PAK,1.09,
PAN,1.05,
PNG,,1.08
PRY,,1.05
PER,,1.05
PHL,,1.06
POL,1.06,
PRT,,1.06
QAT,1.05,
KOR,1.05,
ROU,,1.06
RUS,1.06,
RWA,,1.02
LCA,1.03,
VCT,,1.03
WSM,,1.08
STP,1.03,
SAU,1.03,
SEN,,1.04
SRB,1.05,
SLE,1.02,
SGP,1.07,
SVK,1.05,
SVN,1.05,
SLB,,1.07
SOM,1.03,
ZAF,1.03,
ESP,1.06,
LKA,1.04,
SDN,,1.04
SUR,,1.07
SWZ,,1.03
SWE,1.06,
CHE,,1.05
SYR,1.05,
TJK,1.05,
TZA,,1.03
THA,,1.06
TLS,1.05,
TGO,,1.02
TON,1.05,
TTO,1.04,
TUN,,1.05
TUR,,1.05
TKM,,1.05
UGA,1.03,
UKR,1.06,
ARE,,1.04
GBR,,1.05
URY,,1.05
UZB,1.05,
VUT,,1.07
VEN,,1.05
VNM,,1.1
YEM,1.05,
ZMB,,1.02
ZWE,,1.02
AAE,1.06083,
ACE,1.06033,
GEA,1.05173,
HIA,1.05243,
AME,,1.048
LMA,1.053,
ANE,1.05,
ASE,1.07,
AEE,1.0364,
UMA,1.05963,
EAM,1.05,
ECM,1.06,
GEM,1.05,
HIM,1.05,
LCM,,1.05
LMM,1.05,
MEM,1.05,
SAM,1.06,
SSM,1.03,
UMM,1.05,
EAE,0.849241,
ECE,0.77248,
GLE,0.767915,
HWW,0.684041,
LCE,,0.792706
LMW,0.809271,
MEE,0.781024,
SAE,1.06188,
SSE,0.624907,
UMW,0.828641,
# Series: SRABWBQL,,
# Name: Sex ratio at birth,,
# Definition: Males born per one female,,
# Source: World Bank,,
# Data from the No Ceilings project: http://noceilings.org,,
"# For more about the data, please visit http://noceilings.org/data",,
