ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,60.8,,,75.2,,,,,,,,62.5,71.1
DZA,,,,,,,,,,60.7,,64.2,65.1,63.7,
AND,,,,,30,23.5,11.8,13.6,,,10,,,,33.3
AGO,,50,,,41.2,,,,,,,,,,
ATG,,,,,,,,,,,,34.2,70.6,75,33.3
ARG,,,,,,,,,52,54,50.6,53.5,51.4,25.9,
ARM,,,,,,,,,,,,,48.5,,
AUS,,40.6,40,36.7,35.3,35,,35.9,34.4,35.7,35.5,35.4,34.9,,
AUT,,,35.2,39,,33.8,35.7,36.3,,32.5,32.6,32.9,34.1,35.4,
AZE,,,,,,,,,,,52.2,53.3,55.5,56.6,54.2
BHR,,,,,,73.8,,81.2,73.2,,,,,,
BGD,,,,,29.3,24.2,,,,,,,,,
BRB,,,,,,,,,,53.6,,,49.2,44.9,
BLR,,,,,,,,,,,,,51.4,53.8,53.9
BEL,,,30.1,31.4,31.3,,,,31.8,,28.7,33.1,29.6,31,
BEN,,23.4,,,,,,,,,,27.2,,24.6,
BRA,,,,43.4,42.6,42.1,40.6,39.1,,36.6,37.1,34.6,31,,
BRN,,50,56.5,51,,58.9,47.8,50.6,69.2,53,63.9,57.4,53.9,56.6,57.8
BGR,,63.4,67,56.6,59,55.9,56.4,55.5,,58.2,55.3,55,54.1,52.6,
BFA,,,,,,,,,,,,,,16.3,19.9
BDI,,,,,,,16.2,,,,,,36.7,,
KHM,,,32.5,28.6,21.4,,13.6,,,12.9,11.2,,,,
CAN,41.5,42,,,42,,,,,,,,,,
CAF,,,,,,,,,,,,,,,18.2
TCD,,,4.1,,,,,,,,,,,,
CHL,,,,,,48.6,32.7,,34.5,27.5,27.6,24,23,,21.8
COL,,,,,54.7,,57.9,62,54.4,51.3,38.5,51,,47.1,45.9
COM,,36,,,,,,,,,,39.7,33,,42.7
CRI,,,,39.6,35.7,,,,,31,,,28.6,30.5,
HRV,,57.8,,58.7,51.5,50.1,,49,52.3,47.3,44.9,46.6,52.6,,
CUB,,,,,,,,,,,,,,45.3,48
CYP,,55.9,,,50.2,42.4,42.9,,48,37.1,42.8,45.7,48.3,35.5,
CZE,,32.3,26.4,25.1,26.8,38.7,39.5,38.6,37.1,38.8,38.1,38.9,38.3,39.4,
DNK,,32.3,35.5,32.5,31.8,30.6,33.5,32.8,33.4,35.7,36.1,35.4,35.2,36.9,
ECU,,,,,,,,,,57.2,40.8,,,,
SLV,,,,,45.8,48.5,,47.1,43.5,44.1,40.8,38,39,36.1,36
ERI,,12.8,10.2,,4.1,13.1,10.9,,,,,,,,
EST,,37.1,42.5,45.4,42.6,44.6,47.9,48,48.5,43.2,48.9,44.7,46.2,,
ETH,,16,13,,22.9,21.3,22.4,14.3,,,18.2,,19,,
FIN,46.8,45.2,46.4,46.7,48.5,48.8,49.4,,44.6,44.5,,46,46.3,44.7,
FRA,,46.9,41.8,,40.7,41,36.3,35.9,36.1,35.8,36,35.8,,,
GMB,,,,,,,8.5,,,,,,,,
GEO,,75.3,72.4,70.5,67.5,72.2,70.3,,61.3,53.2,,,49.4,,50.6
DEU,,31.4,31.4,32.9,33.8,34.9,34.9,35.6,,,43.9,43.7,44.2,43.6,
GHA,,,,,,,,,,,,,,,22.5
GRC,,,,,,,41.9,42.6,,50.4,47.1,,46.8,,
GTM,,,,,70.7,,,,,75,,,,,
GUY,,,,,,,43.1,33.5,51,47.3,46,38.9,42.1,42.1,33.9
HND,,,,,,48.4,,,,,,,,,42.7
HUN,,28.9,31.6,33.4,34.7,33.2,37.6,39.5,27.9,,28.3,35.3,38,33.3,
ISL,,37.1,44,41.4,35.5,41,42,38.9,40.6,35.7,39.2,38.6,47.4,,
IRN,,,,,,,59.5,69.1,67,69.1,,68.1,,70,67.4
IRQ,,,,,,,50.8,,,,,,,,
IRL,51.8,51.3,50.3,47.6,46.5,45.3,43,42,42.1,39.7,41.2,43.5,41.1,,
ISR,,42.9,42.5,,,,,,,,,,,,
ITA,57.2,55,54.5,53.6,52.9,52.2,53.7,53.8,53.6,53.8,54.5,,,53.9,
JPN,23.5,24.3,24.6,25.2,25.2,25.6,25.7,26,26.1,25.8,25.6,25.2,25.6,25.7,
JOR,,,,,,,46,49.2,,51.9,,,,65.2,
KEN,,,29.6,27.1,,,,,,,,,,,
KGZ,,50.9,,60.4,62.7,64,61.7,57,57.6,49.6,56.2,51,48.8,55.1,53.6
LAO,,39.6,,34.4,,,45.1,41.3,45.7,,,37.2,,41,36.6
LVA,,56.7,53,56.9,51.5,46.8,39.3,39.9,39.5,38.8,36.8,38.7,40,35.3,
LBN,,,43,48.2,47.5,,49.4,45.2,49.3,51,52.4,58.4,62.1,61.5,61.5
LSO,,,,,,,,,,,,,,,25.5
LBR,,,80.5,,,,,,,,,,27.9,,42.3
LIE,,,,,,18.2,,,,,,,,5.9,
LTU,,47,42,52.1,47.5,47.8,43.9,42.5,40.4,38.4,39.5,37.5,36.5,40.5,
LUX,,,,,,,,,,,54.6,,,,
MKD,,65.3,67.9,61.8,71,67.9,66.1,66.6,66.7,54.4,48.4,46.1,39.2,43.2,
MDG,,,,,,,,37.2,41.3,38.4,37.7,33.9,34.9,31.4,35.3
MYS,,,,,,,49.3,,56.7,59.9,58.2,56.2,57.2,58.9,
MLT,,32.1,31.7,30.1,29.7,35.7,30,32.4,,46.1,31.3,32.1,33,36.7,
MUS,,,,,,,,,,,,,47.8,42.8,42.9
MEX,,,46.2,45.4,45.7,44.5,,42.8,43.6,43.1,42.9,42.8,48,46.6,
