ISO,2000,2001,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,38.3,
ALB,,,,,,,99.4,,,
DZA,,,,,99.3,,,,,
AGO,,28.6,,,,,,,,
ARG,,,0,,,,,,,
ARM,,,,,,,,,100,
AZE,,,,,93.4,,,,,
BGD,,,,,10.1,,,,,
BLZ,,,,,,,,,,95
BEN,,,,,60.9,,,,,
BTN,,,,,,,,,100,
BOL,,,,,,,76.2,,,
BIH,,,,,99.7,,,,,
BWA,,,,,,71.8,,,,
BRA,,,,,,,,,0,
BFA,,,,,,,,,77,
BDI,,,,,,,,,75.4,
KHM,,,,,,,,,62,
CMR,,,,,71.1,,,,,
CPV,,,,,,,,,0,
CAF,,,,,,,,,60.6,
TCD,,,,,,,,,16.1,
CHL,,,,,,,,0,,
COL,,,,,,,,,0,
COM,83.4,,,,,,,,,
COG,,,,80.8,,,,,,
CIV,,,,,53.6,,,,,
CUB,,,,,,,,,,100
PRK,,,,,,,,100,,
COD,,,,,,,,,27.5,
DJI,,,,,90.6,,,,,
DOM,,,,,,,,80.8,,
ECU,,,,,,,,,92,
EGY,,,,99.1,,,,,,
SLV,,,,,,,98.8,,,
GNQ,34.6,,,,,,,,,
ETH,,,,6.4,,,,,,
GAB,89.1,,,,,,,,,
GMB,,,,,,,,,52.5,
GEO,,,,,,,,,,98.1
GHA,,,,,,,,,,62.8
GTM,,,,,,,0,,,
GIN,,,,43.9,,,,,,
GNB,,,,,,,,,24.6,
GUY,,,,,,,,88.2,,
HTI,,,,80.5,,,,,,
HND,,,,93.2,,,,,,
IND,,,,41,,,,,,
IDN,,,,,,52.7,,,,
IRQ,,,,,95.2,,,,,
JAM,,,,,,,97,,,
KAZ,,,,,,,,,99.8,
KEN,,,,,,,60.9,,,
KIR,,,,,,,,94.5,,
KGZ,,,,94.8,,,,,,
LAO,,,,,72.2,,,,,
LBN,,,,,,,,99.5,,
LSO,,,,,,,,45.7,,
LBR,,,,,,3.2,,,,
MKD,,,,,,,,,,99.9
MDG,,,,,,,80.3,,,
MDV,,,,,,,,92.8,,
MLI,,,,,,,,,81.4,
MHL,,,,,,95.8,,,,
MRT,,,,,,56.6,,,,
MNG,,,,,,,,,98.8,
MNE,,,,97.4,,,,,,
MAR,0,,,,,,,,,
MOZ,,,,,,,31,,,
MMR,,,,,,,,72.7,,
NAM,,,,,65.7,,,,,
NRU,,,,,,79.3,,,,
NPL,,,,,,,,,,44
NIC,,,,,0,,,,,
NER,,,,,32.2,,,,,
NGA,,,,,,,29.6,,,
PAK,,,,,26.3,,,,,
PER,,,,,,0,,,,
PHL,82.7,,,,,,,,,
MDA,97.9,,,,,,,,,
RWA,,,,,,,,,63.6,
WSM,,,,,,,,48.1,,
STP,,,,,,,74.6,,,
SEN,,,,,,,,,75,
SRB,,,,,,,,,99.2,
SLE,,,,,,,,,77.7,
SOM,,,,,3.3,,,,,
ZAF,,,,,,,0,,,
SSD,,,,,,,,,34.9,
LKA,,,,,97.4,,,,,
SDN,,,,,,,,,61.3,
SUR,,,,,97.4,,,,,
SWZ,,,,,,,,,50.2,
SYR,,,,,95.4,,,,,
TJK,,,,87.6,,,,,,
TZA,,,,,,,,,16.6,
THA,,,,99.5,,,,,,
TLS,,,,,,,,54.8,,
TGO,,,,,,,,,77.7,
TTO,,,,,95.5,,,,,
TUR,,,,,,,94.8,,,
TKM,,,,,95.2,,,,,
TUV,,,,,,49.2,,,,
UGA,,,,,,,,,,29.9
UKR,,,,99.8,,,,,,
UZB,,,,,99.8,,,,,
VUT,,,,,,24.5,,,,
VEN,90.8,,,,,,,,,
VNM,,,,,,,,,,94.6
YEM,,,,,22.4,,,,,
ZMB,,,,,,14,,,,
ZWE,,,,,,,,,48.3,
ASE,,,,41,,,,,,
SAM,,,,41,,,,,,
SAE,,,,30.5883,,,,,,
# Series: PCUFWBRM,,,,,,,,,,
# Name: % of male children under five with birth registration,,,,,,,,,,
# Definition: % of male children under five with birth registration,,,,,,,,,,
# Source: UNICEF Global Databases: Child Protection: Birth Registration,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,
