ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LSO,,,,71.83,,,,66.69,,,,,49,,,,,50.04,
LBR,,,,,,,,,,,76.49,,,,,,71.64,,
LBY,,,,,,,,,,,,,,,,,,61.58,
LIE,,,86.94,,,,86.72,,,,86.47,,,,84.63,,,,79.8
LTU,,52.92,,,,58.18,,,,40.21,,,,32.37,,,,35.91,
LUX,,,,,86.51,,,,,91.68,,,,,90.93,,,,91.15
MKD,,,,50.46,,,,74.6,,,,55.98,,57.99,,,63.48,,
MDG,,,,60.13,,,,67.86,,,,,,,,,,,50.72
MWI,,,,,92.28,,,,,60.18,,,,,53.9,,,,
MYS,71.8,,,,68.65,,,,,73.9,,,,75.99,,,,,84.84
MDV,,,,,77.4,,,,,,71.29,,,,78.87,,,,
MLI,,,21.58,,,,,26,,,,,32.19,,,,,,37.24
MLT,,97.16,,95.4,,,,,95.7,,,,,93.3,,,,,92.95
MHL,,,,,,,,,,,,,50.07,,,,,,
MRT,,52.06,,,,,54.45,,,,,69.49,,,,,,,73.9
MUS,79.69,,,,,80.87,,,,,81.25,,,,,77.82,,,
MEX,,,57.69,,,57.24,,,41.68,,,58.9,,,44.61,,,62.45,
FSM,,,,,,,,,,,,,52.58,,,,,,44.68
MCO,,,,65.41,,,,,79.73,,,,,76.85,,,,,74.55
MNG,,88.39,,,,82.42,,,,81.84,,,,74.31,,,,65.24,
MNE,,,,,,,,,,,,72.05,,,66.19,,,70.56,
MAR,,,58.3,,,,,51.61,,,,,37,,,,45.4,,
MOZ,,,,,68.09,,,,,36.34,,,,,44.44,,,,
MMR,,,,,,,,,,,,,,,,77.26,,,
NAM,,,,,62.79,,,,,84.81,,,,,,,,,
NRU,99.83,,91.84,,,88.8,,,,,,,,88,,92.69,,,96.91
NPL,,,88.13,,65.79,,,,,,,,,63.29,,,,,
NLD,,,,73.23,,,,79.06,80.04,,,80.35,,,,75.4,,74.56,
NZL,,88.28,,,84.77,,,76.98,,,80.29,,,79.46,,,74.21,,
NIC,,77.07,,,,,75,,,,,66.73,,,,,79.09,,
NER,34.97,39.17,,,99.41,,,,,44.67,,,,,,,49.22,,
NGA,,,,,40.69,,,,49.32,,,,0,,,,28.66,,
NOR,,,78.33,,,,75.48,,,,77.44,,,,76.37,,,,78.23
OMN,,,,,,,,,,,,,62.7,,,,,,
PAK,,,35.17,,,,,41.8,,,,,,44.55,,,,,53.62
PLW,,79.27,,,,81.15,,,,,,,,42.66,,,,40.63,
PAN,,,,,75.94,,,,,76.27,,,,,70.05,,,,
PNG,,,65.74,,,,,,,,,,,,,,,,
PRY,,,,80.48,,,,,64.02,,,,,65.48,,,,,68.24
PER,63.39,,,,,81.98,81.37,,,,,88.66,,,,,83.72,,
PHL,70.68,,,78.75,,,81.08,,,30.42,,,63.68,,,74.98,,,60.7
POL,,,47.93,,,,46.18,,,,40.57,,53.88,,,,48.92,,
PRT,66.3,,,,61.05,,,62.84,,,64.26,,,,59.68,,58.03,,
KOR,,63.91,,,,57.21,,,,59.98,,,,46.01,,,,54.26,
MDA,,,,69.12,,,69.96,,,,64.84,,,,58.77,63.37,,,
ROU,,76.01,,,,65.31,,,,58.51,,,,39.2,,,,41.76,
RUS,64.73,,,,62.33,,,,55.67,,,,63.71,,,,60.1,,
RWA,,,,,,,,,96.48,,,,,98.5,,,,,98.8
KNA,68.37,,,,,64.24,,,,58.98,,,,,,83.51,,,
LCA,,,66.55,,,,31.54,,,,,58.46,,,,,56.84,,
VCT,,,,67.36,,,69.2,,,,63.68,,,,,62.33,,,
WSM,,86.35,,,,,82.54,,,,,,,,,,0,,
SMR,,,,75.28,,,73.8,,,,,71.84,,68.48,,,,63.85,
STP,,,,64.68,,,,66.29,,,,66.85,,,,88.45,,,
SEN,,,,39.28,,,67.26,,,,,,34.75,,,,,36.67,
SRB,,,,,,,,,,,,,60.57,61.35,,,,57.77,
SYC,,,,86.73,,,,84.52,,,,,85.9,,,,,,
SLE,,60.33,,,,,,83.26,,,,,75.8,,,,,79.28,
SGP,,,95.91,,,,94.61,,,,,94.01,,,,,93.18,,
SVK,,,,84.25,,,,70.07,,,,54.67,,,,58.84,,59.11,
SVN,,73.67,,,,70.36,,,,60.64,,,,63.1,,,65.6,,
SLB,,,68.35,,,,61.88,,,,,56.95,,,,52.36,,,
ZAF,,,,,89.28,,,,,76.73,,,,,77.3,,,,
ESP,,78.06,,,,68.71,,,,75.66,,,,75.32,,,68.94,,
LKA,,,,,,75.63,76.03,,,75.96,,,,,,61.26,,,
SDN,,72.2,,,,,,,,,,,,,,,,,
SUR,,66.66,,,,69.85,,,,,46.68,,,,,73.21,,,
SWE,,,,81.39,,,,80.11,,,,81.99,,,,84.63,,,
CHE,42.25,,,,43.22,,,,45.22,,,,48.28,,,,49.1,,
SYR,,,,82.22,,,,,63.45,,,,56,,,,,51.26,
TJK,84,,,,,93.36,,,,,93.23,,,,,90.84,,,
TZA,76.51,,,,,72.77,,,,,72.52,,,,,39.49,,,
THA,62.04,62.39,,,,,69.95,,,,75.13,64.77,78.51,,,,75.03,,
TLS,,,,,,,86.03,,,,,,80.54,,,,,,
TGO,,,,,,,,67.43,,,,,84.92,,,,,,66.06
TON,,56.09,,,50.75,,,,,,50.52,,,46.69,,90.85,,,
TTO,63.3,,,,,63.05,66.13,69.64,,,,,66.03,,,69.45,,,
TUN,,,,,91.51,,,,,86.41,,,,,89.4,,,,
TUR,85.2,,,,87.09,,,79.28,,,,,84.25,,,,87.59,,
TKM,,,,,,,,,,76.88,,,,93.87,,,,,91.33
TUV,,,,,,,,79.99,,,,,,,,,,,
UGA,,59.3,,,,,70.31,,,,,68,,,,,59.29,,
UKR,,,,70.65,,,,69.24,,,,67.19,62.03,,,,,57.4,
GBR,,,71.46,,,,59.38,,,,61.36,,,,,65.77,,,
USA,,65.97,,51.55,,63.76,,45.31,,68.75,,47.52,,64.36,,41.59,,67.95,
URY,,,,,91.71,,,,,89.62,,,,,89.91,,,,
UZB,,,,,93.46,,,,,85.1,,,,,,87.76,,,
