ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EST,,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2
ETH,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
FJI,,,,,,,3|2wl,2|3,2|3,3|2wl,4|2,4|2,4|2,4|2
FIN,,,4|2,4|2,4|2,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
FRA,4|2,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,
GAB,2|3,4|2,4|2,3|2wl,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2
GMB,,,4|2,4|2,3|2wl,4|2,3|2wl,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl,2|3
GEO,4|2,4|2,2|3,3|2wl,4|2,4|2,5|1,5|1,5|1,5|1,5|1,5|1,4|2,4|2
DEU,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
GHA,4|2,4|2,5|1,5|1,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2
GRC,2|3,2|3,2|3,3|2wl,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
GTM,4|2,4|2,4|2,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2
GIN,,,,4|2,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,3|2wl,3|2wl
GNB,,,,,,4|2,4|2,3|2wl,3|2wl,3|2wl,2|3,3|2wl,2|3,2|3
GUY,,,,2|3,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,3|2wl,3|2wl
HTI,4|2,4|2,2|3,,3|2wl,,,,,0|sc,,3|2wl,3|2wl,3|2wl
HND,4|2,4|2,4|2,3|2wl,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2
HUN,4|2,4|2,4|2,4|2,4|2,4|2,5|1,5|1,4|2,4|2,4|2,4|2,4|2,4|2
ISL,,,,,,,,,4|2,4|2,4|2,5|1,5|1,5|1
IND,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2
IDN,2|3,2|3,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
IRN,,2|3,,4|2,4|2,2|3,2|3,2|3,2|3,2|3,2|3,2|3,2|3,2|3
IRQ,,,,,,,,,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2
IRL,,,,,,5|1,,4|2,4|2,5|1,5|1,5|1,5|1,5|1
ISR,2|3,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,5|1,5|1,5|1
ITA,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
JAM,,,4|2,3|2wl,2|3,3|2wl,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,3|2wl
JPN,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
JOR,,,,,,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2
KAZ,2|3,4|2,2|3,3|2wl,4|2,4|2,3|2wl,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2
KEN,,,4|2,3|2wl,4|2,3|2wl,3|2wl,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl
KIR,,,,,,,,,,3|2wl,3|2wl,4|2,4|2,4|2
KSV,,,,,,,,,4|2,4|2,4|2,4|2,4|2,4|2
KWT,,,4|2,4|2,2|3,3|2wl,2|3,2|3,2|3,2|3,2|3,2|3,2|3,2|3
KGZ,4|2,2|3,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
LAO,4|2,4|2,4|2,3|2wl,4|2,2|3,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,3|2wl
LVA,,4|2,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2
LBN,2|3,2|3,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,3|2wl,2|3,3|2wl,3|2wl,3|2wl
LSO,,,,,,,,,3|2wl,3|2wl,4|2,4|2,3|2wl,3|2wl
LBR,,,2|3,,,,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,4|2
LBY,,,,,4|2,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,2|3,2|3,2|3,2|3
LTU,4|2,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,4|2,4|2
LUX,,,,,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
MKD,4|2,5|1,5|1,5|1,4|2,4|2,4|2,5|1,5|1,4|2,5|1,5|1,5|1,5|1
MDG,,,,3|2wl,4|2,4|2,4|2,5|1,4|2,3|2wl,2|3,2|3,3|2wl,3|2wl
MWI,,,4|2,3|2wl,4|2,5|1,5|1,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2
MYS,2|3,4|2,4|2,4|2,4|2,3|2wl,2|3,3|2wl,2|3,2|3,3|2wl,3|2wl,3|2wl,2|3
MDV,,,,,,,,,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2
MLI,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,4|2,3|2wl,3|2wl
MLT,,,,,,4|2,4|2,4|2,4|2,3|2wl,3|2wl,4|2,4|2,4|2
MHL,,,,,,,,,,,4|2,4|2,3|2wl,3|2wl
MRT,,,,3|2wl,4|2,3|2wl,3|2wl,4|2,2|3,2|3,2|3,3|2wl,2|3,2|3
MUS,,,5|1,4|2,3|2wl,4|2,4|2,4|2,5|1,5|1,5|1,5|1,4|2,4|2
MEX,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2
FSM,,,,,,,,,,3|2wl,2|3,3|2wl,3|2wl,4|2
MNG,,,,,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
MNE,,,,,,,4|2,3|2wl,3|2wl,4|2,4|2,4|2,4|2,4|2
MAR,4|2,4|2,5|1,5|1,5|1,5|1,5|1,4|2,4|2,4|2,4|2,4|2,3|2wl,3|2wl
MOZ,,,4|2,4|2,4|2,4|2,3|2wl,3|2wl,4|2,3|2wl,4|2,4|2,4|2,4|2
MMR,,,,,,,,,,,2|3,3|2wl,3|2wl,3|2wl
NAM,,,,,,,,,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl
NPL,4|2,4|2,4|2,4|2,5|1,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
NLD,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
NZL,,,,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
NIC,,,4|2,4|2,3|2wl,4|2,4|2,4|2,3|2wl,3|2wl,4|2,5|1,5|1,5|1
NER,,,4|2,4|2,3|2wl,4|2,4|2,3|2wl,2|3,3|2wl,3|2wl,3|2wl,4|2,4|2
