ISO,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,10.8,,,,,,
DZA,,,15,,,,,,
AGO,,,,,,56.6,,,
ATG,,,,,,21.3,,,
ARG,,,,,,38,,,
ARM,,,,,31.8,,,,
AZE,,,,,,,,,4.1
BHS,,,,,,58.3,,,
BGD,,,,,,,,,12.7
BRB,,,,,,43.5,,,
BLR,,,,,,,,,43.6
BLZ,,,,,,30.4,,,
BEN,,,,,45.4,,,,
BTN,,,,,31.3,,,,
BOL,,,,,,41.3,,,
BIH,,,,,32.8,,,,
BWA,,,,,,55.3,,,
BRA,,,,,59.3,,,,
BGR,,,,,,,,,39.1
BFA,,,,,19.2,,,,
BDI,,34.8,,,,,,,
CMR,,,,,15.7,,,,
CPV,,,,,33.1,,,,
CAF,,,,,,,53.3,,
TCD,,,,,40.1,,,,
CHL,,,,,,29.6,,,
CHN,,,,,,,,64.2,
COL,,,,,,35.3,,,
COG,,,,,31.8,,,,
CRI,,,,,,43.5,,,
CIV,,,,,61.9,,,,
HRV,,,33.5,,,,,,
CZE,,,,,25,,,,
COD,,,,,,38.9,,,
DMA,,,,,,41,,,
DOM,,,,,,30,,,
ECU,,,,,,24.1,,,
EGY,,,,34,,,,,
SLV,,,,,,40.2,,,
ERI,,,,,4.2,,,,
EST,,,,,36.3,,,,
ETH,,,,,,,35.3,,
FJI,,,,,49.1,,,,
GAB,,,,,33.1,,,,
GMB,,21.3,,,,,,,
GEO,,,,,,,,,33.8
DEU,20.3,,,,,,,,
GHA,,,44,,,,,,
GRC,24.4,,,,,,,,
GRD,,,,,,57.3,,,
GTM,,,,,,44.2,,,
GIN,,25.4,,,,,,,
GNB,,19.9,,,,,,,
GUY,,,,,,58.3,,,
HND,,,,,,43.3,,,
HUN,,,,,42.4,,,,
IND,,9.1,,,,,,,
IDN,,,,,42.8,,,,
IRQ,,,,,,,6.8,,
IRL,41.6,,,,,,,,
JAM,,,,,,38.2,,,
JOR,,13.1,,,,,,,
KAZ,,,,,,,,,28.3
KEN,,,,,,,,,49.2
KSV,,,,,10.9,,,,
KGZ,,,,,,,,,49
LAO,,,,,,,,41.3,
LVA,,,,,46.3,,,,
LBN,,,,,33.5,,,,
LSO,,,,,18.4,,,,
LBR,,,,,53,,,,
LTU,,,,,38.7,,,,
MKD,,,,,36.4,,,,
MDG,,,,,50,,,,
MWI,,,,,23.9,,,,
MYS,,,13.1,,,,,,
MLI,,,,,,58.3,,,
MRT,,17.3,,,,,,,
MUS,,,,,16.9,,,,
MEX,,,,,,25.7,,,
FSM,,,,,86.8,,,,
MNG,,,,,52,,,,
MNE,,,,,26,,,,
MAR,,,13.1,,,,,,
MOZ,,,24.4,,,,,,
NAM,,33.4,,,,,,,
NPL,,,,,,,,,21.8
NIC,,,,,,61.9,,,
NER,,,,,17.6,,,,
NGA,,,20,,,,,,
PAK,,,6.7,,,,,,
PAN,,,,,,24.7,,,
PRY,,,,,,51.6,,,
PER,,,,,,28.7,,,
PHL,,,,,69.4,,,,
POL,,,,,47.9,,,,
PRT,50.8,,,,,,,,
KOR,19.1,,,,,,,,
MDA,,,,,,,,,47.5
ROU,,,,,47.9,,,,
RUS,,,,,,,,28.5,
RWA,,,,,,,42.7,,
KNA,,,,,,57.8,,,
LCA,,,,,,32.1,,,
VCT,,,,,,76,,,
WSM,,,,,79.8,,,,
SEN,,,26.3,,,,,,
SRB,,,,,,,,,38.3
SLE,,,,,7.9,,,,
SVK,,,,,29.6,,,,
SVN,,,,,42.2,,,,
ZAF,,,22.6,,,,,,
ESP,34.1,,,,,,,,
LKA,,,,,,,26.1,,
SUR,,,,,,18.3,,,
SWZ,,28.6,,,,,,,
SYR,,,,,14.4,,,,
TJK,,,,34.4,,,,,
TZA,,,,,,,,,25.2
TLS,,,,,42.9,,,,
TGO,,,,,31.8,,,,
TON,,,,,65.3,,,,
TTO,,,,,,45.1,,,
TUR,,,,40.7,,,,,
UGA,,,,,,,,,26.4
UKR,,,,47.1,,,,,
URY,,,,,,23.1,,,
UZB,,,,39.8,,,,,
VUT,,,,,51.4,,,,
VEN,,,,,,30.7,,,
VNM,,,,,59.2,,,,
YEM,,,,,,6.4,,,
ZMB,,,,,,,,,49.8
ZWE,,,,,,,56.2,,
AAE,,,,,,,,52.75,
AME,,,,,,39.7833,,,
ASE,,9.1,,,,,,,
EAM,,,,,,,,41.3,
LCM,,,,,,38.2,,,
SAM,,9.1,,,,,,,
EAE,,,,,,,,39.2806,
LCE,,,,,,20.4746,,,
SAE,,6.78996,,,,,,,
# Series: FFPOFEAF,,,,,,,,,
# Name: Percentage of firms with female participation in ownership,,,,,,,,,
# Definition: Percentage of firms with females among the owners,,,,,,,,,
# Source: World Bank Enterprise Survey,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
