ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ISR,,8.35,9.58,10.65,11.08,10.98,11.65,12.85,13.35,12.95,11.22,10.48,9.15,7.6,9.4,8.25,6.98,6.85,6.2
ITA,11.15,11.15,11.24,11.33,10.94,10.1,9.1,8.61,8.45,7.98,7.71,6.8,6.1,6.78,7.82,8.42,8.41,10.68,12.24
JAM,16.2,16,16.5,15.5,15.7,15.5,15,15.1,11.4,11.7,11.2,10.3,9.8,10.3,11.3,12.4,12.7,13.7,14.9
JPN,3.15,3.35,3.4,4.11,4.68,4.72,5.03,5.38,5.26,4.72,4.42,4.13,3.84,3.97,5.05,5.02,4.58,4.35,4.02
JOR,12,12,12,12.7,13.4,13.7,14.7,14,,14.2,,,13.1,12.7,12.9,12.5,12.9,12.2,12.6
KAZ,10.98,12.96,13.01,13.12,13.46,12.75,10.48,9.37,8.8,8.4,8.11,7.79,7.26,6.62,6.58,5.78,5.4,5.29,5.22
KIR,0.2,,,,,1.6,,,,,6.1,,,,,,,,
KGZ,,,,,,7.5,7.8,12.5,9.9,8.5,8.1,8.3,8.2,8.2,8.4,8.6,,,
LAO,2.6,,,,,,,,,,1.4,,,,,,,,
LVA,6.34,7.02,7.47,7.58,9.69,8.4,7.8,8.89,8.64,8.75,8,7.02,5.66,5.31,12.07,15.61,12.76,11.37,9.86
LBN,,7.2,12.3,,,,,,,,,,,,,,,,
LTU,,,,13.21,14.6,16.38,17.36,13.77,12.42,11.38,8.27,5.62,4.25,5.82,13.78,17.81,15.39,13.36,11.77
LUX,2.62,2.86,3.08,2.85,2.7,2.4,2.24,2.5,3.32,3.73,4.12,4.27,4.21,4.18,5.49,5.84,5.68,6.12,6.87
MKD,,31.87,36,34.48,32.41,32.25,30.52,31.94,36.69,37.16,37.25,36.03,34.94,33.76,32.18,32.02,31.38,31.02,28.7
MDG,,,,,,5.8,5.3,,5,,2.6,,,,,,,,
MYS,2.8,2.5,2.5,3.22,3.42,3.1,3.68,3.48,3.6,3.5,3.5,3.3,3.2,3.3,3.7,3.38,3.05,3.02,3.1
MLI,8.9,8.6,8.3,8.5,8.2,8.3,8.3,8.4,8.6,8.8,8.5,8.3,8.5,8.4,8.5,8.1,8.1,8.1,
MLT,,,,,,6.76,7.62,7.43,7.72,7.22,6.91,6.89,6.47,6.05,6.92,6.92,6.48,6.41,6.48
MHL,,34.3,34.8,30.6,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,,,,,
MRT,,,,,,20.6,,,,32.5,,,,31.2,,,,,
MUS,5.1,5.8,6.6,6.9,7.7,5.07,6.8,7.2,7.7,8.4,9.6,9.1,8.5,7.2,7.3,7.8,7.9,8.1,8.2
MEX,,,,,,2.58,2.76,2.98,3.41,3.92,3.6,3.59,3.72,3.97,5.47,5.37,5.23,4.95,4.92
FSM,,,,,,22,,,,,,,,,,,,,
MNG,,,,5.9,,,,6.2,6.8,,,,7.2,5.6,5.9,6.5,4.8,,
MAR,22.9,18.1,17.49,20.13,13.8,13.4,12.3,11.3,11.4,10.8,11,9.7,9.8,9.6,9.1,9.1,8.9,9,9.2
MMR,4.15,4.1,4.08,4.1,4.1,4.1,4,4.7,5.3,5.2,5,5.3,5.2,5,4.9,5.7,5.5,5.4,5.2
NLD,7.02,6.44,5.42,4.3,3.56,3.04,2.58,3.08,4.14,5.09,5.3,4.33,3.58,3.06,3.71,4.47,4.42,5.27,6.7
NZL,6.45,6.3,6.88,7.72,7.05,6.15,5.45,5.28,4.75,4.05,3.82,3.82,3.68,4.12,6.15,6.52,6.52,6.9,6.2
NIC,16.91,15.95,13.65,13.21,10.68,5.96,11.3,11,7,6.54,5.56,5.13,5.85,6.06,8.24,7.83,7.28,7.43,7.2
NER,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5.1,5,5.1,5.1,5.1,
NOR,4.9,4.82,4.05,3.22,3.18,3.45,3.52,3.9,4.5,4.45,4.58,3.45,2.5,2.6,3.18,3.6,3.25,3.2,3.48
PAK,5.4,5.4,6.1,5.9,5.9,7.8,7.8,8.3,8.3,7.7,7.7,6.2,5.3,5.2,5.5,5.6,6,6,6.6
PAN,14,14.3,13.4,13.6,11.8,13.5,14.7,14.1,13.7,12.4,10.3,9.1,6.8,5.8,6.9,6.8,4.5,4,4.1
PRY,,8.17,4.96,5.68,6.83,7.3,7.55,10.77,8.06,7.31,5.83,6.65,5.6,5.39,7.95,7.2,7.1,8.1,7.5
PER,8.3,7.1,7.7,7.8,8,7.4,9.23,8.9,9.7,8.8,7.6,7.5,7,8.1,8.9,6.6,7.9,5.2,6.5
PHL,9.52,8.52,8.68,10.05,9.75,11.18,11.12,11.4,11.4,11.82,11.35,7.95,7.32,7.4,7.48,7.32,7.02,6.98,7.1
POL,15.21,14.29,11.49,9.98,11.99,14.01,16.22,19.71,19.92,19.51,18.19,16.19,12.69,9.82,10.97,12.11,12.39,12.8,13.53
PRT,7.15,7.25,6.75,5,4.38,4,4.08,5.08,6.25,6.65,7.6,7.65,8,7.6,9.48,10.8,12.72,15.65,16.25
QAT,,2.8,2.7,3,3.3,3.5,3.9,3,2.5,2,1.5,0.9,0.45,0.4,0.5,0.5,0.4,0.5,0.3
KOR,2.07,2.06,2.62,6.95,6.58,4.42,4.02,3.28,3.57,3.68,3.73,3.47,3.25,3.18,3.65,3.72,3.41,3.22,3.12
MDA,,,,,,,7.3,6.8,8,8.2,7.3,7.6,5.1,4,6.4,7.5,6.68,5.6,5.8
ROU,9.5,6.6,8.9,10.3,11.5,10.5,8.8,8.4,7.4,6.3,5.9,5.2,4.1,4.4,7.8,6.97,5.12,5.59,5.65
RUS,8.3,9.26,10.81,11.88,13.03,10.56,8.94,8.04,8.6,8.16,7.59,7.16,6.12,6.36,8.38,7.49,6.63,5.45,5.5
STP,,,,,,14.4,,,,,,16.7,,,,,,,
SAU,,,,,8.1,8.15,8.34,9.66,10.35,11,11.52,12,11.2,10,10.5,11.2,12.4,12.2,11.6
SRB,,,,,15.06,12.08,12.23,13.28,14.63,18.5,20.8,21.63,18.78,14.41,16.89,20.06,23.68,25.87,27.2
SYC,,,,,,,,9.8,,,5.5,,,,,,,,
SGP,1.72,1.65,1.42,2.58,2.8,2.6,2.68,3.58,4,3.38,3.12,2.68,2.1,2.28,3,2.18,2.02,1.92,1.9
SVK,13.68,12.6,12.91,13.81,17.47,18.24,18.26,17.82,15.2,14.27,11.65,10.38,8.43,7.65,11.44,12.48,13.16,13.59,14.1
SVN,14.02,13.91,14.42,14.48,13.57,12.18,11.57,11.59,11.18,10.59,10.13,9.43,7.71,6.71,9.15,10.74,11.84,11.99,13.12
ZAF,16.5,20.3,22,26.1,23.3,23.3,26.3,28.15,28,25.45,25,23.85,23.25,22.52,23.7,24.88,24.8,24.88,24.72
ESP,22.9,22.08,20.58,18.6,15.62,13.9,10.58,11.48,11.5,10.98,9.15,8.52,8.28,11.38,18.02,20.08,21.62,25.02,26.38
LKA,12.27,11.29,10.5,9.17,8.86,7.57,7.93,8.76,8.38,8.27,7.65,6.49,5.97,5.37,5.83,4.95,4.18,3.97,4.3
SWE,10.36,10.81,10.78,8.81,7.58,6.34,5.84,5.97,6.58,7.38,7.64,7.03,6.12,6.18,8.32,8.57,7.75,7.98,8
CHE,4.23,4.66,5.2,3.86,2.72,1.82,1.7,2.55,3.69,3.88,3.76,3.33,2.77,2.58,3.7,3.52,2.84,2.9,3.2
SYR,,,,,,9.5,11.2,11.7,10.8,12.3,8,8.3,9.2,10.9,8.1,8.6,14.9,25,35
THA,1.7,1.5,1.5,4.4,4.2,3.6,3.3,2.4,2.2,2.1,1.9,1.5,1.4,1.4,1.5,1,0.7,0.7,0.7
TTO,17.2,16.3,15,14.2,13.2,12.2,10.8,10.4,10.5,8.4,8,6.2,5.6,4.6,5.3,5.9,4.9,5,5.2
TUN,,,15.7,,16,15.7,15.1,15.3,14.5,13.9,12.9,12.5,12.4,12.4,13.3,13,18.3,17.4,15.9
TUR,7.6,6.6,6.8,6.85,7.65,6.52,8.35,10.35,10.5,10.3,10.6,10.25,10.28,10.98,14.05,11.95,9.8,9.2,9.75
UKR,,,,,,11.6,10.9,9.6,9.1,8.6,7.2,6.8,6.4,6.4,8.8,8.1,7.9,7.5,7.2
GBR,8.66,8.12,6.98,6.27,5.98,5.45,5.08,5.18,5.02,4.75,4.87,5.43,5.36,5.72,7.63,7.87,8.07,7.97,7.58
USA,5.59,5.41,4.94,4.5,4.22,3.97,4.74,5.78,5.99,5.54,5.08,4.61,4.62,5.8,9.28,9.62,8.93,8.08,7.35
URY,10.3,11.9,11.4,10.1,11.3,13.6,15.3,17,16.88,13.12,12.18,10.9,9.15,7.58,7.32,6.68,6,6.02,6.6
UZB,0.28,0.29,0.3,0.33,0.4,3.9,4.3,4.4,3.94,4.12,4.1,4.3,4.3,4.4,4.5,4.2,4.3,4.9,4.9
VEN,10.25,11.75,11.35,11.15,14.52,14.01,13.36,15.98,18,15.1,12.24,9.96,8.5,7.36,7.88,8.51,8.2,7.83,7.54
VNM,6.4,5.88,6.01,6.85,6.74,6.42,6.28,6.01,5.78,5.6,5.31,4.82,4.64,4.65,4.6,4.29,3.6,3.21,1.9
# Series: UNEMPLOY,,,,,,,,,,,,,,,,,,,
# Name: Unemployment rate,,,,,,,,,,,,,,,,,,,
# Definition: Recorded official unemployment as a percentage of total labour force.,,,,,,,,,,,,,,,,,,,
# Source: Economist Intelligence Unit,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,
