ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,52.3751,52.9728,53.5085,53.9922,54.4329,54.8486,55.2562,55.6719,56.1076,56.5697,57.0584,57.5707,58.0914,58.6071,59.1123,59.6001,60.0654
ALB,72.236,72.5274,72.8981,73.3266,73.7934,74.2721,74.7342,75.158,75.5294,75.839,76.0894,76.2905,76.4649,76.6323,76.8019,76.9785,77.1632
DZA,67.8482,68.0789,68.3076,68.5261,68.7329,68.9302,69.1204,69.3053,69.4862,69.6639,69.8386,70.0084,70.1711,70.3271,70.4749,70.6166,70.7517
AGO,42.0515,42.5016,43.0621,43.7143,44.439,45.2048,45.9731,46.7117,47.3932,48.0035,48.5388,49.007,49.4357,49.8474,50.251,50.6542,51.0593
ATG,72.3177,72.5388,72.7576,72.9738,73.186,73.3973,73.6061,73.8134,74.0192,74.2221,74.4219,74.6161,74.8048,74.9869,75.1624,75.3339,75.5004
ARG,72.6646,72.8853,73.104,73.3201,73.5341,73.7457,73.9537,74.1588,74.3599,74.5577,74.7517,74.9412,75.1269,75.3082,75.4871,75.6636,75.8386
ARM,68.7636,69.2169,69.7164,70.2402,70.7671,71.2765,71.7557,72.2022,72.611,72.9749,73.2886,73.5498,73.7646,73.9439,74.093,74.2197,74.3322
AUS,77.8293,78.078,78.4805,78.6317,78.9317,79.2342,79.6341,79.9366,80.239,80.4902,80.8415,81.0415,81.2927,81.3951,81.5439,81.6951,81.8463
AUT,76.7156,76.9837,77.3876,77.5732,77.7756,78.0268,78.5268,78.678,78.6317,79.1805,79.3317,79.8317,79.9829,80.2342,80.0829,80.3829,81.0317
AZE,64.5758,64.994,65.4624,65.9234,66.3555,66.7582,67.1503,67.5611,68.0037,68.4702,68.9373,69.3747,69.756,70.0629,70.2927,70.4503,70.5513
BHS,71.2626,71.3904,71.5499,71.7479,71.9844,72.2543,72.5451,72.8413,73.1273,73.3947,73.6389,73.8589,74.0595,74.2474,74.4239,74.5924,74.7549
BHR,73.5551,73.773,73.987,74.1954,74.3958,74.5892,74.7767,74.9602,75.1408,75.3188,75.4923,75.6607,75.823,75.9766,76.124,76.2648,76.402
BGD,62.6939,63.2421,63.7838,64.3134,64.8266,65.3197,65.7903,66.2399,66.6709,67.086,67.4896,67.8873,68.2831,68.6807,69.0819,69.4858,69.8918
BRB,72.0011,72.2124,72.4198,72.6237,72.8236,73.0195,73.2129,73.4018,73.5877,73.7701,73.949,74.1248,74.2972,74.4676,74.6354,74.8018,74.9671
BLR,68.461,68.6122,68.461,68.4073,67.9073,68.9122,68.5073,68.0561,68.5537,68.9561,68.8512,69.4049,70.2034,70.4561,70.4073,70.4049,70.6512
BEL,76.8407,77.1873,77.3707,77.4732,77.6195,77.7219,77.9732,78.0756,78.1293,78.8781,78.9805,79.3805,79.7829,79.6805,79.9829,80.2342,80.4854
BLZ,70.1447,70.0621,70.0619,70.1438,70.3064,70.539,70.8244,71.1369,71.4534,71.7595,72.0463,72.3124,72.5637,72.8077,73.0432,73.2705,73.4878
BEN,54.8159,54.8318,54.8423,54.8901,54.9988,55.1882,55.4665,55.8143,56.2081,56.6332,57.067,57.4869,57.8739,58.216,58.5068,58.7467,58.9449
BTN,56.4547,57.2377,58.0128,58.7793,59.5378,60.2908,61.0448,61.8002,62.5541,63.3005,64.0264,64.7183,65.3657,65.9627,66.5077,67.0047,67.4607
BOL,61.0909,61.4803,61.8572,62.2262,62.5918,62.9546,63.3155,63.6716,64.0203,64.3635,64.7008,65.0331,65.3619,65.6857,66.0055,66.3197,66.6269
BIH,68.2293,69.9351,71.6222,73.033,74.0596,74.6692,74.9211,74.9872,75.0105,75.0411,75.1124,75.2309,75.3705,75.511,75.6559,75.8067,75.9624
BWA,57.6784,56.1703,54.6351,53.1407,51.7422,50.4896,49.4112,48.4997,47.7455,47.1554,46.727,46.448,46.2961,46.2504,46.3003,46.4403,46.6689
BRA,68.4827,68.862,69.2312,69.5875,69.9297,70.2574,70.5697,70.8696,71.1596,71.4418,71.7185,71.9918,72.2629,72.5339,72.8042,73.0753,73.3474
BRN,74.9297,75.158,75.3824,75.6022,75.8186,76.031,76.2388,76.4426,76.6425,76.8393,77.0327,77.2246,77.4161,77.6062,77.7979,77.9887,78.181
BGR,71.0534,70.8973,70.3512,71.061,71.4122,71.6634,71.7683,71.8659,72.0658,72.5634,72.561,72.6122,72.6634,72.9634,73.4122,73.5122,74.1634
BFA,49.3443,49.4693,49.6478,49.8761,50.1546,50.4828,50.8581,51.2728,51.7176,52.1828,52.6587,53.1397,53.6197,54.0942,54.5577,55.0068,55.4405
