ISO,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,0.5,,,,0.5,0.07,,
ALB,,,,,,,,,,,4.05,4.03,,3.9,3.9,,3.99
DZA,,,,,,,2.23,,,,,1.95,,,1.95,,
AND,,,,,,,,,,,3.87,4.18,,4.57,4.57,,
AGO,,,,,,,,,1.35,,,,,1.66,,,
ATG,,,,3.28,,,,,,,,,,,,,
ARG,,,0.8,,,,,,0.48,,,,,,,,
ARM,,,,,,,,,,,4.92,4.87,,,4.82,4.92,4.91
AUS,,,,,,9.71,,,,,10.91,,,9.59,9.59,10.65,
AUT,,,,,,,,,,,6.55,6.64,7.84,,7.97,7.91,
AZE,,,,,,,,,,,8.41,8.42,,,8.34,6.84,6.69
BHS,,,4.47,,,,,,,,,,4.14,,,,
BHR,,,,,,,,,,6.07,,5.8,3.73,,3.86,2.41,
BGD,,,,,,,,,,0.28,,0.27,,,0.27,0.22,
BRB,,,,3.7,,,,,,4.86,,,,,4.86,,
BLR,,,,,,,,,,,12.51,12.56,,,13.11,10.53,
BEL,,,,,,,,,14.2,,,,,,15.78,,
BLZ,,,,,1.26,,,,,,,,,1.96,1.96,,
BEN,,,,,,,,,0.84,,,,0.77,,0.77,,
BTN,,,,,,,,,,,,0.24,0.29,,0.24,,0.98
BOL,,,,,,2.13,,,,,,,,,,1.01,
BIH,,,,,,,,,,4.69,,,,,5.17,,
BWA,,,,,,,,,2.65,,2.84,,,,2.84,,
BRA,,,,,3.84,,,,,,2.91,6.5,6.42,,6.42,,
BRN,,,,,,,6.06,,,,,,4.88,,7.02,7.73,
BGR,,,,,,,,,,,4.57,4.68,4.72,,4.71,4.68,
BFA,,,,,,,,,0.49,,,,0.73,,0.57,,
BDI,,,,,,,,,0.19,,,,,,,,
KHM,,,,,0.85,,,,,,,,0.79,,0.88,,0.93
CMR,,,,,,,,,1.6,,,,,0.44,,,
CAN,,,,,,,,,,,10.05,,,,,9.29,
CPV,,,,,,,,,0.87,,,,1.32,,0.45,,
CAF,,,,,,,,,0.41,,,,,0.26,,,
TCD,,,,,,,,,0.28,,0.19,,,,,,
CHL,,,,,,,,0.63,,,,,,0.14,0.14,,
CHN,,,,,1.02,,,0.96,,1.03,1.09,1.18,1.27,1.39,1.53,1.67,1.85
COL,,,,,,,0.55,,,,,,,,0.62,,
COM,,,,,,,,,0.74,,,,,,,,
COG,,,,,,,,,0.96,,,0.82,,,0.82,,
CRI,,,,,0.93,,,,,,,,,,,,
CIV,,,,,,,,,0.6,,,,0.48,,0.48,,
HRV,,,,,,,,,,,5.46,5.58,,,5.52,5.8,5.27
CUB,,,,,,,7.44,,,,,8.64,,,9.05,,
CYP,,,,,,,,,,,3.98,,4.3,,4.46,,
CZE,,,,,,,,,,,8.93,8.95,8.55,,8.79,8.43,
PRK,,,,,,,,4.12,,,,,,,,,
COD,,,,,,,,,0.53,,,,,,,,
DNK,,,,,,,,,10.06,,9.76,14.54,,16.09,16.09,,
DJI,,,,,,,,,0.42,0.57,,,0.8,,0.8,,
DMA,,4.17,,,,5.62,,,,,,,,,,,
DOM,,,,,1.84,,,,,,,,,,,1.33,
ECU,,,,,1.66,,,,,,,,,1.98,1.98,,
EGY,,,,,,,,,,3.35,,,,3.52,3.52,,
SLV,,,,,,,0.8,,,,,,0.41,,0.41,,
