ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,46.8,,,,,,
ALB,,,0.1,,,,,0.3,,0.3,0.4,,,0.3,,,
DZA,4.2,,,,,,,,,,,,,,,,
AGO,,,,,,47.9,,,,,,,,,,,
ARG,2.5,2.8,2.4,2.6,2.7,3.3,5.4,8.3,6.4,4.2,3,2.4,1.8,1.3,1.3,0.6,
ARM,,,,11.3,,,12.1,8.6,5.9,4,2,1.4,1.6,0.6,,,
AZE,15.4,,,,,,5.5,,,,,,,0.3,,,
BGD,60.7,,,,,58,,,,,49.4,,,,,41.7,
BLR,,,,,,0.2,0.3,0.4,,0.1,0.1,0.1,0.1,0.1,,,
BLZ,,6.6,8.9,8,8.9,,,,,,,,,,,,
BEN,,,,,,,,,43.6,,,,,,,,
BTN,,,,,,,,,26.8,,,,10.7,,,,
BOL,,,16.5,,22.5,26,20.6,21,,,17.4,15.3,12.2,14.6,,,
BIH,,,,,,,0.1,,,0.1,,,0,,,,
BRA,6.3,6.9,6.9,6.2,6.4,,6.6,5.9,6.3,5.4,4.7,4.2,3.9,3.2,3.3,,
BFA,,,,69,,,,,55.5,,,,,,43.3,,
BDI,,,,85.3,,,,,,,,79.3,,,,,
KHM,,,,,,,,,,34.6,,,28.6,19.9,,,
CMR,,23.8,,,,,10.1,,,,,,9,,,,
CPV,,,,,,,,16.3,,,,,,,,,
CAF,,,,,,,,,61.7,,,,,61.6,,,
TCD,,,,,,,,,61.4,,,,,,,,
CHL,,1.6,,1.7,,1.6,,,1.4,,,0.8,,,1,,
CHN,53.5,36.9,,,35,,,28,,,15.4,,,11.5,,,
COL,,9.9,,,12.6,14,15.4,16.2,15.6,15.2,10.1,,,9,7.7,6.5,
COM,,,,,,,,,,44.5,,,,,,,
COG,,,,,,,,,,,52.2,,,,,,
CRI,4.3,5,3.9,3.1,4,4,4.5,4.5,4.3,3.9,2.9,3,1.6,1.8,2.3,,
CIV,21,,,23.8,,,,23.3,,,,,,23.7,,,
CUB,,,,,,,,,,,0.1,,,,,,
PRK,,,,,,,,,,,33.2,,,,,,
COD,,,,,,,,,,,,86.2,,,,,
DOM,,4,4.3,,,4.5,3.2,4.9,5.7,6.9,5.3,3.6,3.3,2.9,2.6,1.9,
ECU,,,,13.1,21.7,18.9,,,11.1,,8.3,5.6,6.6,5.8,5.8,4.2,
EGY,,1.6,,,,1.2,,,,,1.3,,,1.1,,,
SLV,7.1,8.1,,12.1,9.5,,10.1,10.4,9.3,8,8.2,3.7,4.5,3.8,6.3,,
GNQ,,,,,,,,,,,3.5,,,,,,
ERI,,,,,,,,,,,36.9,,,,,,
ETH,61.8,,,,56.2,,,,,,39.3,,,,,,
FJI,,,,,,,,25.4,,,,,,5,,,
GAB,,,,,,,,,,,3.6,,,,,,
GMB,,,,56.7,,,,,29.5,,,,,,,,
GEO,,,,,,,,11.9,13.3,,11.8,11.5,11,11.2,,,
GHA,,,,34.6,,,,,,,24.8,,,,,,
GTM,,,,10.3,,8.7,,17.1,14.6,15.8,,7.5,,,,,
GIN,,,,,,,,,58.9,,,,45.8,,,,
GNB,,,,,,,,48.2,,,,,,,,,
GUY,,,,7.3,,,,,,,,,,,,,
HTI,,,,,,,51,,,,,,,,,,
HND,22.1,26.1,17.1,21.1,21.3,,14.8,23.4,21.7,20.7,21.6,18.9,13.5,17.7,15.1,,
IND,,,,,,,,,,,38.6,,,,,29.3,
IDN,,41.9,,,46.1,,,28.3,,,20.5,27.5,23.2,21.8,19.5,17.2,15.5
IRN,,,,0.9,,,,,,,1,,,,,,
IRQ,,,,,,,,,,,,,1.8,,,,
JAM,,1.3,,,0.9,,,0.2,,0.2,,,,,,,
JOR,,,1.4,,,,,1,,,,0.3,,0.1,,0.1,
KAZ,,3.6,,,,,,3.4,2,1.1,,0.3,0.1,0.1,0.1,,
KEN,,,17,,,,,,,,,,,,,,
KGZ,,,,27,,,,27.8,,11.7,18.9,4.9,1.6,5.2,5,,
LAO,,,50.3,,,,,43.7,,,,,,32.8,,,
LSO,,,,,,,,33.5,,,,,,,,,
LBR,,,,,,,,,,,,,83.8,,,,
MKD,,,,0.1,,2.5,,0.3,0.3,0.3,0.2,0.6,,0.2,0.1,,
MDG,,,67.7,,77.2,,71.3,,,,64.1,,,,,76.9,
MWI,,,,79.3,,,,,,70.7,,,,,,,
MYS,1.6,,0.4,,,,,,,,,,0.1,,0.1,,
MDV,,,,16.9,,,,,,1.1,,,,,,,
MLI,,,,,,,60.8,,,,,51.3,,,,51.5,
MRT,19.3,,,,,18,,,,22.1,,,,18.8,,,
MEX,,5.1,,5.6,,3.6,,2.5,,1,,0.4,,0.7,,,
MNE,,,,,,,,,,,0.1,0.1,0.1,0.1,,,
MAR,,,,5.5,,,4.9,,,,,,1.8,,,,
MOZ,,,80.7,,,,,,73.6,,,,,58.1,,,
MMR,,,,,,,,,,,35.6,,,,,,
NAM,,,,,,,,,,19.2,,,,,,,
NPL,,62.9,,,,,,,48.2,,,,,,,21.9,
NIC,,,,9.8,,,11.4,,,,9.5,,,,,,
NER,,,,,,,,,,,46.6,,40.3,,,,
NGA,,63.3,,,,,,,,56.4,,,,,,59.2,
PAK,,,40,,,,,29.9,,,19.3,19.4,18.1,,,,
PAN,11.3,,10.6,,,,11.2,8.1,7.7,7.2,7,7.4,,,4.3,4.7,
PNG,,34.2,,,,,,,,,,,,,,,
PRY,10.4,,11.7,,12.8,,10.1,14.5,9.8,7.5,6.5,9.9,7.9,5,6.8,6.3,
PER,,,14.6,15.2,16.7,13.1,15.3,11.3,10,7.7,9,8.5,8.2,6.3,5.7,5,
PHL,,,18.5,,,19,,,18.7,,,19,,,15.2,,
MDA,,,10.4,18.2,25.9,,17.3,11.4,4.1,4.9,7.4,1.2,0.5,0.6,0.2,0.2,
RUS,,1.7,,,1.4,,0.5,0.2,0.2,0.1,0.1,0,0,0,0,,
RWA,,,,,,75.1,,,,,,71.4,,,,,61.5
SEN,,,,,,,45.8,,,,34.4,,,,,,
SRB,,,,,,,,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,,
SLE,,,,,,,,,54.1,,,,,,,,
SLB,,,,,,,,,,,23.6,,,,,,
SOM,,,,,,,,,,,39.1,,,,,,
ZAF,10,,,,,12.5,,,,,,8.3,,,6.3,,
LKA,,13.4,,,,,,11.7,,,,,5.8,,,,
SDN,,,,,,,,,,,,,,,18.8,,
SUR,,,,,10.6,,,,,,,,,,,,
SWZ,35.1,,,,,,31.2,,,,,,,,23,,
SYR,,,,,,,,,,1.3,,,,,,,
TJK,,,,,50.2,,,,32.3,18.7,,,13,,5.9,,
TZA,,,,,,84.5,,,,,,,66.4,,,,
THA,,1.9,,1.6,2.4,2.3,,1.2,,,,0.7,,0.3,0.3,,
TLS,,,,,,,47,,,,,,30.9,,,,
TGO,,,,,,,,,,,,35.8,,,,,
TUN,4.4,,,,,1.6,,,,,0.8,,,,,,
TUR,,,,,,,,1,1.3,1.2,1,0.8,0.5,0.1,,,
TKM,,,,16.8,,,,,,,,,,,,,
UGA,,62,,,57.7,,,53.6,,,47.8,,,,34.5,,
UKR,1.2,1.2,,,,,,0.3,0.1,0.2,0.1,0.1,0,0,0,,
URY,,,,,,,,,,,,0.5,0.3,0.2,0.2,0.1,
VEN,7.1,,,7.5,8.7,,7.4,12.2,14.8,12.1,10.2,5,,,,,
VNM,,,,48.2,,,,38.4,,26.6,,20.3,,15.8,,,
YEM,,,,8.6,,,,,,,11.5,,,,,,
ZMB,,58.4,,53.2,,,,,60.9,60.5,,64.1,,,,,
ZWE,,,,,,,,,,,61.4,,,,,,
AAE,27.55,28.725,,,27.8333,,,27.5,,,25.66,,,15.3,,,
GEA,,,,,,,,,,,17.6288,,,,,,
AME,,7.03636,,8.82857,11.3786,,13.3571,10.7,9.90714,8.27143,8.25333,6.04375,,5.56154,4.8,,
LMA,,,,,,,,,,,17.2611,,,,,22.44,
ASE,,,,,,,,,,,38.525,,,,,30.9667,
UMA,10.9636,7.63636,,,10.8833,,,6.765,,,4.165,,,2.46,,,
EAM,1.6,34.2,,,35,,,28,,,23.6,,,15.8,,,
GEM,,,,,,,,,,,9.5,,,,,,
LCM,,5.1,,7.5,9.5,,10.1,10.4,9.3,7.2,8.2,4.2,,3.8,4.3,,
LMM,,,,,,,,,,,11.8,,,,,17.2,
SAM,,,,,,,,,,,38.6,,,,,29.3,
UMM,6.3,5,,,8.7,,,3.4,,,2.9,,,0.3,,,
EAE,33.8932,27.809,,,26.9144,,,22.1467,,,13.0399,,,10.3337,,,
GLE,,,,,,,,,,,14.4407,,,,,,
LCE,,4.86527,,5.58453,6.01751,,6.79541,6.93136,6.29433,5.44648,4.71327,3.43367,,3.11255,2.69581,,
LMW,,,,,,,,,,,23.3566,,,,,20.0895,
SAE,,,,,,,,,,,36.4965,,,,,26.2278,
UMW,32.6339,22.8991,,,21.8087,,,17.7337,,,9.89032,,,7.21317,,,
# Series: EECTTOEP,,,,,,,,,,,,,,,,,
"# Name: Employment by economic class extremely poor, Total",,,,,,,,,,,,,,,,,
"# Definition: The share of extremely poor (<US$1.25, PPP) males and females in total employment",,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
